"id","strategy_name","symbol","exchange","type","entry_price","exit_price","qty","fee","size","PNL","PNL_percentage","holding_period","opened_at","closed_at"
"8a370fc8-0aa2-451a-a463-ef8ec9cbfe63","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","8529.03","8630.84","1.1138429575227193","10.512370193327964","9500.0","-123.91272169871546","-1.304344438933847","36000.0","1583082000000.0","1583118000000.0"
"3bbe7ae9-9f52-455e-bb9b-04d385cfb44c","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","8741.59","8813.91","1.07329249191351","10.363202487983195","9382.28291438622","-87.98371550316793","-0.9377644684776993","43200.0","1583247600000.0","1583290800000.0"
"f5a966f5-b1d1-4cba-93b6-eb63fef18324","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","long","8927.51","9119.93","1.0415780418793381","10.338799468874164","9298.69838465821","190.08164734954815","2.044174781097978","57600.0","1583377200000.0","1583434800000.0"
"724f463f-50af-45b6-8a18-27c05fb9ec38","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","long","9119.93","9061.98","1.03940227059202","10.394075195734867","9479.275949640281","-70.62743677654319","-0.745072061956624","79200.0","1583434800000.0","1583514000000.0"
"30d31447-e566-46b2-9034-4c41aa200cbc","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","8936.0","8730.79","1.0532878116274136","10.234518017669592","9412.179884702568","205.91067380639103","2.187704403536248","32400.0","1583604000000.0","1583636400000.0"
"4f8cd2e4-91ae-4e16-bf2a-d2c33f8265f7","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","8730.79","8400.0","1.1004496757817606","10.368364765761985","9607.795024818639","353.6493834860875","3.680858954344347","46800.0","1583636400000.0","1583683200000.0"
"95de97a0-f509-40ce-8b81-f6848c0e013b","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","8400.0","8038.46","1.1837811832298122","10.702746796101767","9943.761939130422","417.28150218880444","4.1964148452380945","28800.0","1583683200000.0","1583712000000.0"
"c18c8344-3ac7-4f08-8ac0-3bbcbd852fc6","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","8038.46","8042.049999999999","1.2863383491626241","11.376737177901187","10340.179366209788","-15.994691851394025","-0.15468485879135102","126000.0","1583712000000.0","1583838000000.0"
"8344546b-64b3-46ba-bcca-6f9ae8f567ff","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","7845.089999999999","7994.76","1.3161078341932293","11.465822872595094","10324.98440895096","-208.447682416297","-2.0188668007632926","14400.0","1583859600000.0","1583874000000.0"
"6b541384-4175-4c30-a58f-dd6375d463ca","SupertrendTrendTypeStrategy","BTC-USDT","Bybit Perpetual","short","7897.66","7953.55","1.2822733709295513","11.179071464006718","10126.95911065548","-82.84533016525975","-0.8180671933205572","82800.0","1583884800000.0","1583967600000.0"
