month,pnl_usdt
2021-01,1536.3
2021-02,2879.35
2021-03,-1258.25
2021-04,-503.9
2021-05,5949.45
2021-07,-2153.79
2021-08,-5208.9
2021-10,1293.31
2021-12,2839.32
2022-01,3202.85
2022-02,-3001.72
2022-03,-2986.83
2022-04,2575.0
2022-05,3546.69
2022-06,5142.04
2022-11,4973.63
2023-01,-5082.5
2023-03,-4404.75
2023-06,-2315.9
2023-07,-59.07
2023-08,2083.2
2023-10,-4403.52
2023-11,833.6
2023-12,-2416.29
2024-01,-2003.26
2024-02,-1819.69
2024-03,625.91
2024-04,-282.19
2024-05,306.86
2024-07,542.25
2024-08,-556.48
2024-09,-155.41
2024-10,-846.25
2024-11,808.73
2024-12,-1629.68
2025-01,-2094.96
2025-02,951.51
2025-03,-68.15
2025-04,-81.58
2025-05,337.94
2025-06,-491.31
2025-07,372.8
2025-08,-230.42
2025-09,258.03
2025-10,-742.96
2025-11,719.67
2025-12,746.37
2026-01,-856.34
2026-02,2378.25
2026-03,-2023.31
2026-04,61.05
