month,pnl_usdt
2018-05,781.78
2018-06,-1422.23
2018-07,1398.09
2018-08,-1480.68
2018-11,-2831.66
2019-02,932.21
2019-04,2857.28
2019-05,5580.48
2019-06,3763.72
2019-07,-981.13
2019-08,-523.39
2019-09,-3450.07
2019-10,1844.78
2019-11,-3431.57
2020-01,2101.82
2020-02,1756.34
2020-03,-4130.82
2020-04,3669.25
2020-07,3997.53
2020-10,3063.65
2020-11,10164.53
2020-12,14865.93
2021-01,9351.75
2021-02,16455.25
2021-03,-369.74
2021-04,-8487.03
2021-05,-8004.25
2021-07,4197.39
2021-08,10136.93
2021-09,-12143.25
2021-10,28981.75
2021-11,-7448.65
2022-01,-25602.97
2022-02,6266.97
2022-04,-4433.52
2022-05,-11995.94
2022-06,-14181.83
2022-08,-43.41
2022-11,-6346.95
2022-12,931.56
2023-01,8983.81
2023-03,6870.39
2023-04,4176.75
2023-05,-4802.83
2023-06,5356.49
2023-08,-6696.29
2023-10,10113.0
2023-11,6067.27
2023-12,6605.53
2024-01,-3451.39
2024-02,24621.88
2024-03,9400.39
2024-04,-11990.86
2024-05,3936.14
2024-06,-7166.21
2024-07,11395.91
2024-08,-16155.25
2024-09,-6492.78
2024-10,7436.86
2024-11,21842.38
2024-12,5642.2
2025-02,-15905.08
2025-03,-8350.92
2025-04,8922.94
2025-05,8788.15
2025-06,-508.33
2025-07,7132.99
2025-08,-8599.23
2025-10,-2456.74
2025-11,-8392.44
2026-02,-10059.91
2026-04,749.14
