month,pnl_usdt
2017-08,-1084.01
2017-09,-1180.44
2017-10,2374.76
2017-11,-646.75
2017-12,3263.98
2018-01,-2795.15
2018-02,5272.97
2018-03,-511.07
2018-04,2335.05
2018-05,-12.27
2018-06,-442.7
2018-07,2765.37
2018-08,4101.43
2018-09,3871.58
2018-10,-2580.15
2018-11,9266.17
2018-12,-1808.46
2019-01,1086.5
2019-02,-4593.46
2019-03,-1215.66
2019-04,1470.23
2019-05,6806.95
2019-06,8314.8
2019-07,-99.29
2019-08,-3975.82
2019-09,7924.2
2019-10,15045.55
2019-11,4612.87
2019-12,-4769.63
2020-01,-532.95
2020-02,14802.06
2020-03,19831.26
2020-04,1247.26
2020-05,10772.05
2020-06,-6899.77
2020-07,2873.01
2020-08,-1981.03
2020-09,-1800.36
2020-10,-8940.8
2020-11,17481.32
2020-12,18129.95
2021-01,3608.34
2021-02,43390.91
2021-03,-19014.07
2021-04,-29039.8
2021-05,-35972.92
2021-06,-6131.81
2021-07,8274.08
2021-08,-15091.9
2021-09,-6571.71
2021-10,11231.47
2021-11,-11828.18
2021-12,-5803.59
2022-01,-13403.55
2022-02,4081.17
2022-03,9023.83
2022-04,-1378.34
2022-05,4130.38
2022-06,17191.69
2022-07,-7529.91
2022-08,-5272.88
2022-09,-4991.51
2022-10,8285.33
2022-11,30683.42
2022-12,4065.83
2023-01,14285.91
2023-02,31069.54
2023-03,37448.04
2023-04,-10433.4
2023-05,17290.11
2023-06,-4786.42
2023-07,-9609.18
2023-08,20577.06
2023-09,-12165.33
2023-10,14304.85
2023-11,9403.08
2023-12,-4093.07
2024-01,14889.02
2024-02,-5199.98
2024-03,27157.11
2024-04,-50202.92
2024-05,19698.83
2024-06,-2517.23
2024-07,8418.48
2024-08,11729.57
2024-09,-14766.8
2024-10,20097.63
2024-11,-6772.56
2024-12,-28250.28
2025-01,-5057.08
2025-02,-15190.36
2025-03,-21703.33
2025-04,9930.11
2025-05,-3027.02
2025-06,-20732.96
2025-07,-10559.97
2025-08,13283.53
2025-09,-12802.86
2025-10,-7394.03
2025-11,-19199.95
2025-12,-30977.7
2026-01,3820.07
2026-02,4716.75
2026-03,15949.45
2026-04,624.34
