month,pnl_usdt
2018-04,-767.14
2018-05,52.99
2018-06,2622.84
2018-07,-2307.76
2018-08,-2849.99
2018-09,-770.92
2018-11,1625.23
2018-12,1511.52
2019-02,-955.33
2019-03,-1337.62
2019-04,2327.23
2019-05,4989.58
2019-06,3365.19
2019-09,-3830.67
2019-11,2065.68
2020-01,-449.15
2020-03,2988.55
2020-04,-4367.6
2020-07,3384.18
2020-10,2593.58
2020-11,8604.95
2020-12,12585.0
2021-01,8031.77
2021-02,34206.03
2021-05,-19195.47
2021-06,16702.34
2021-07,-20434.7
2021-08,13354.6
2021-09,-12247.91
2021-10,-292.51
2021-12,-11862.9
2022-01,7215.59
2022-03,-7606.02
2022-04,-7777.28
2022-05,9341.85
2022-06,12094.0
2022-08,7717.22
2022-09,-17418.85
2022-11,9046.32
2022-12,-10611.95
2023-01,7598.39
2023-03,11645.19
2023-04,7079.52
2023-05,-8140.72
2023-06,-9135.64
2023-08,1306.44
2023-10,2048.12
2023-11,7767.44
2023-12,8456.54
2024-02,36710.38
2024-03,17098.1
2024-05,-39575.89
2024-06,-7943.74
2024-07,-2135.69
2024-08,-25744.4
2024-09,-13119.11
2024-10,4476.46
2024-11,15030.5
2024-12,911.99
2025-03,10053.23
2025-04,-13617.56
2025-05,6180.74
2025-07,4983.27
2025-08,-1826.72
2025-09,-9530.33
2025-10,-5218.1
2025-11,1070.56
2026-02,20546.86
2026-03,-11761.23
2026-04,-3966.53
