month,pnl_usdt
2017-08,3107.44
2017-09,-6167.64
2017-10,948.4
2017-11,6195.13
2017-12,-6387.36
2018-01,-4100.03
2018-02,-1009.48
2018-03,255.66
2018-04,289.07
2018-05,261.17
2018-06,-573.32
2018-07,1374.84
2018-08,-1510.57
2018-09,-170.66
2018-10,-312.23
2018-11,1323.28
2018-12,-569.12
2019-01,-528.08
2019-02,-11.7
2019-03,-509.53
2019-04,-2.7
2019-05,431.15
2019-06,2784.19
2019-07,-607.8
2019-08,1938.68
2019-09,2533.58
2019-10,800.16
2019-11,443.28
2019-12,-2380.91
2020-01,4133.2
2020-02,536.17
2020-03,4548.84
2020-04,-325.78
2020-05,2226.8
2020-06,-7142.24
2020-07,1493.85
2020-08,-179.53
2020-09,1432.67
2020-10,294.73
2020-11,4335.21
2020-12,7164.9
2021-01,20092.35
2021-02,182.65
2021-03,-16138.25
2021-04,-5475.4
2021-05,-11141.76
2021-06,776.37
2021-07,769.54
2021-08,-5780.65
2021-09,-3233.54
2021-10,4019.1
2021-11,-2605.27
2021-12,-1425.73
2022-01,-2188.67
2022-02,96.79
2022-03,760.28
2022-04,-1415.79
2022-05,-1270.53
2022-06,1014.66
2022-07,-469.0
2022-08,-587.5
2022-09,-1279.91
2022-10,-295.19
2022-11,13.71
2022-12,-64.83
2023-01,208.52
2023-02,38.13
2023-03,-249.54
2023-04,-57.63
2023-05,-71.06
2023-06,57.4
2023-07,-156.47
2023-08,-65.57
2023-09,-50.53
2023-10,161.67
2023-11,-74.86
2023-12,68.81
2024-01,-91.05
2024-02,59.71
2024-03,-96.33
2024-04,-4.49
2024-05,55.32
2024-06,-101.08
2024-07,57.02
2024-08,-11.89
2024-09,23.3
2024-10,69.08
2024-11,70.9
2024-12,95.81
2025-01,-263.15
2025-02,-29.84
2025-03,-168.18
2025-04,-31.36
2025-05,-11.44
2025-06,-4.45
2025-07,5.08
2025-08,-10.18
2025-09,-11.23
2025-10,6.73
2025-11,-18.6
2025-12,-48.3
2026-01,18.94
2026-02,-15.75
2026-03,-13.71
2026-05,4.85
