opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1609671660000.0,1613559660000.0,long,34464.06,51373.56,0.826948421050799,13969.087668893335,14.196656865151699
1613559660000.0,1621425660000.0,long,51373.56,34249.04,1.32970928735221,-22793.403918734115,22.77063328544867
1621551660000.0,1633525260000.0,short,40500.3,54000.4,0.08273268810240386,-1118.463222038974,1.5636593877117675
1633647660000.0,1636455660000.0,long,53814.99,67679.34,0.00303035464919182,41.94026329896941,0.07363418155318904
1636455660000.0,1638594060000.0,long,67679.34,45119.560000000005,0.004175694614409274,-94.29695460010628,0.09420275184825805
1638615660000.0,1651791660000.0,short,46483.34,36534.7,0.0002982129712381092,2.9618620829033495,0.004951411274952839
1651791660000.0,1655031660000.0,short,36534.7,27443.799999999996,0.0006104673603655101,5.541886369143787,0.007811357203028956
1655031660000.0,1656759660000.0,short,27443.8,19188.6,0.001388204914144746,11.446962141880036,0.01294706536767269
1656759660000.0,1672527660000.0,short,19188.6,16537.6,0.003685597705260607,9.744185036498333,0.026334480147536296
1672527660000.0,1673823660000.0,short,16537.6,20882.7,0.005955663910191561,-25.922527802217072,0.04457254604370826
1673823660000.0,1679223660000.0,long,20882.7,27152.2,0.0011786398906686061,7.37815962468997,0.011323169856855487
1679223660000.0,1698231660000.0,long,27152.2,34195.5,0.0016809296548799622,11.8186676045783,0.02062423363773589
1698231660000.0,1701687660000.0,long,34195.5,41605.9,0.002319724549963588,17.154919131349857,0.035167673700321984
1701687660000.0,1707951660000.0,long,41605.9,51823.2,0.003081670156699578,31.428764958199125,0.057583533847460115
1707951660000.0,1709463660000.0,long,51823.2,61900.00000000001,0.004202512397989596,42.2522923004738,0.09558463158781011
1709463660000.0,1731063660000.0,long,61900.0,75951.9,0.005463758862033033,76.62555524534731,0.15063790805461827
1731063660000.0,1731711660000.0,long,75951.9,91074.6,0.007328184100846517,110.5771295135277,0.24480018834400813
1731711660000.0,1747911660000.0,long,91074.6,110944.09999999999,0.009571651427759642,189.79719752821225,0.3867305156578294
1747911660000.0,1759791660000.0,long,110944.1,124628.5,0.012733046084271664,173.64418448120875,0.599911354398339
1759791660000.0,1762383660000.0,long,124628.5,103837.0,0.015305827028725282,-318.930473352748,0.6993706850062472
1762383660000.0,1766703660000.0,short,103837.0,87182.8,0.009616903558405549,159.79443144352848,0.36740379886918323
1766703660000.0,1770375660000.0,short,87182.8,66586.1,0.016677653670313562,342.9917284594543,0.5129008918930159
1770375660000.0,1774998060000.0,short,66586.1,68241.5,0.036517095467637505,-61.4351023053014,0.9847024681744887
