month,pnl_usdt
2017-08,772.55
2017-09,-1084.33
2017-10,2628.51
2017-11,8750.56
2017-12,8044.17
2018-01,-3631.79
2018-02,3654.64
2018-03,-7106.14
2018-04,6156.16
2018-05,-4901.73
2018-06,-4589.77
2018-07,4572.42
2018-08,-1583.02
2018-09,537.36
2018-10,-1739.5
2018-11,-4631.77
2018-12,-337.6
2019-01,-815.18
2019-02,1354.91
2019-03,453.71
2019-04,4432.69
2019-05,11353.5
2019-06,10476.11
2019-07,-9730.66
2019-08,794.15
2019-09,-1318.88
2019-10,5210.0
2019-11,-10453.78
2019-12,-44.31
2020-01,5902.92
2020-02,-2756.76
2020-03,-1549.19
2020-04,10101.86
2020-05,-214.21
2020-06,-1837.76
2020-07,4769.89
2020-08,2135.98
2020-09,391.77
2020-10,7424.98
2020-11,18074.26
2020-12,36356.48
2021-01,10786.58
2021-02,26642.89
2021-03,28097.13
2021-04,-277.28
2021-05,-55900.73
2021-06,-12485.45
2021-07,7573.64
2021-08,16464.29
2021-09,-14018.56
2021-10,43686.49
2021-11,-22089.8
2021-12,-23225.28
2022-01,-7755.72
2022-02,6518.02
2022-03,10979.52
2022-04,-19719.35
2022-05,-12807.52
2022-06,-19665.63
2022-07,20084.68
2022-08,-15768.77
2022-09,-4820.93
2022-10,252.77
2022-11,-6330.01
2022-12,1730.8
2023-01,20988.85
2023-02,143.64
2023-03,19480.25
2023-04,3295.46
2023-05,-10489.04
2023-06,5588.82
2023-07,-4804.26
2023-08,-2400.78
2023-09,-332.9
2023-10,28162.06
2023-11,8319.5
2023-12,11269.18
2024-01,-2627.23
2024-02,58057.02
2024-03,30636.08
2024-04,-29450.01
2024-05,27286.89
2024-06,-17849.7
2024-07,27342.96
2024-08,-8378.98
2024-09,6769.29
2024-10,25442.83
2024-11,66247.7
2024-12,7490.05
2025-01,29096.35
2025-02,-89411.56
2025-03,-16789.38
2025-04,31194.26
2025-05,27612.22
2025-06,-897.12
2025-07,18730.78
2025-08,-33083.99
2025-09,-5931.15
2025-10,24114.15
2025-11,-50753.76
2025-12,-19784.07
2026-01,-30741.43
2026-02,-27233.27
2026-03,3307.26
2026-05,19796.63
