month,pnl_usdt
2021-01,897.71
2021-02,3020.52
2021-03,742.29
2021-04,-982.57
2021-05,-2466.45
2021-06,-1004.18
2021-07,-1159.13
2021-08,1815.98
2021-09,-637.11
2021-10,35.1
2021-11,487.15
2021-12,-330.87
2022-01,1425.14
2022-02,-474.9
2022-03,-1808.92
2022-04,-894.08
2022-05,3013.03
2022-06,2515.81
2022-07,23.18
2022-09,-651.14
2022-10,-840.77
2022-12,-1001.53
2023-01,1207.11
2023-02,-982.21
2023-03,-2378.07
2023-04,940.35
2023-05,-562.89
2023-06,-1464.63
2023-07,423.1
2023-09,-284.43
2023-10,1255.3
2023-11,1203.66
2023-12,1310.44
2024-01,-77.08
2024-02,5423.03
2024-03,2599.33
2024-04,-2206.75
2024-06,152.24
2024-07,-2331.93
2024-08,-3338.99
2024-09,-134.24
2024-10,1326.52
2024-11,2876.84
2024-12,1140.71
2025-01,-1609.45
2025-02,-434.66
2025-03,-568.8
2025-04,-346.78
2025-05,3037.05
2025-06,-1646.88
2025-07,1302.72
2025-08,-1284.99
2025-09,-472.08
2025-10,-1015.16
2025-11,1870.53
2026-01,374.51
2026-02,5548.45
2026-03,-3489.93
2026-04,136.83
