month,pnl_usdt
2018-03,-1890.66
2018-04,-1246.49
2018-05,-920.26
2018-06,3564.72
2018-07,-4233.25
2018-08,-1296.17
2018-09,-553.64
2018-10,-569.26
2018-11,2236.45
2018-12,43.39
2019-02,-653.04
2019-04,966.61
2019-05,6842.8
2019-06,9184.18
2019-07,-6487.34
2019-08,-3216.63
2019-10,-1688.84
2019-11,-489.18
2019-12,1305.81
2020-01,2555.88
2020-02,-208.69
2020-03,11105.24
2020-04,-23177.96
2020-05,12.52
2020-06,-130.26
2020-07,335.58
2020-08,67.84
2020-09,-373.38
2020-10,258.0
2020-11,1266.82
2020-12,2515.96
2021-01,1602.54
2021-02,8741.94
2021-03,-3162.09
2021-04,-90.45
2021-06,-2188.78
2021-07,-1531.03
2021-08,3411.47
2021-09,-1396.92
2021-10,38.97
2021-11,-441.85
2021-12,-622.42
2022-01,2595.77
2022-02,-969.08
2022-03,-3325.88
2022-04,-1456.93
2022-05,4726.22
2022-06,4764.31
2022-07,51.67
2022-09,-1454.0
2022-10,-2916.55
2022-12,-1810.7
2023-01,1974.0
2023-02,-1772.34
2023-03,-4491.81
2023-04,1030.38
2023-06,-1550.21
2023-07,435.31
2023-09,-283.37
2023-10,1026.69
2023-11,1477.26
2023-12,1783.01
2024-01,-115.96
2024-02,7101.81
2024-03,4779.49
2024-04,-4576.25
2024-06,-2066.28
2024-07,-3684.77
2024-08,-3100.32
2024-09,-163.05
2024-10,1116.07
2024-11,3589.8
2024-12,1483.3
2025-02,-1604.1
2025-03,-871.11
2025-04,-511.23
2025-05,2129.35
2025-06,-1659.34
2025-08,-305.2
2025-10,-1396.25
2025-11,2396.04
2026-01,533.61
2026-02,8615.87
2026-03,-5089.05
2026-04,-868.15
