month,pnl_usdt
2018-03,-945.33
2018-05,-607.08
2018-08,-1064.52
2019-04,796.17
2019-05,4459.7
2019-06,4837.19
2019-07,-2639.62
2019-08,-1592.06
2019-11,-321.3
2020-01,1871.83
2020-02,-114.73
2020-05,78.31
2020-06,-821.74
2020-07,2229.7
2020-08,394.08
2020-09,-2118.56
2020-10,1715.53
2020-11,6990.07
2020-12,10223.19
2021-01,5399.55
2021-02,22628.47
2021-03,-6274.5
2021-04,-202.52
2021-08,11022.85
2021-09,-3867.21
2021-10,14962.01
2021-11,-1612.89
2022-04,-7054.31
2023-01,7795.72
2023-02,-5785.4
2023-03,-5493.42
2023-04,6375.28
2023-07,3554.04
2023-10,8071.11
2023-11,10100.44
2023-12,10996.51
2024-01,-646.8
2024-02,37095.68
2024-03,20579.51
2024-04,-17471.38
2024-06,-8981.98
2024-08,-7947.17
2024-10,9639.85
2024-11,28396.02
2024-12,11259.49
2025-02,-10309.21
2025-05,16478.84
2025-06,-11926.37
2025-08,-2238.27
2025-10,-10790.19
