opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1609545600000.0,1609977600000.0,long,29337.16,36823.68,0.32382139239108354,2420.010471497582,4.284859066112739
1609977600000.0,1611446400000.0,long,36823.68,32086.48,0.32041908760674387,-1522.3053279294743,4.416026118806947
1612828800000.0,1613952000000.0,long,46451.32,57487.43,0.2228746112357991,2455.035664105798,4.633061699716983
1613952000000.0,1616716800000.0,long,57487.43,51325.21,0.2206587382196457,-1364.5497818008153,4.802091968949711
1616889600000.0,1618876800000.0,long,55828.0,55634.38999999999,0.20399766200794284,-44.04360073372292,4.547613392363502
1627430400000.0,1628899200000.0,long,39442.33,47792.52,0.2876843242750212,2397.1995479429415,5.019219775096567
1628899200000.0,1631318400000.0,long,47792.52,44860.83,0.2850713798817931,-841.0234773526868,5.282563667034147
1633392000000.0,1634342400000.0,long,49198.22,61702.33,0.26068640940552606,3253.869485475613,5.782053236119603
1634342400000.0,1637193600000.0,long,61702.33,60366.96,0.25795595291369017,-350.76434084704465,6.297700004689519
1648425600000.0,1649462400000.0,long,46820.8,42229.2,0.3328276579712496,-1534.1391349292594,5.927660588467955
1673913600000.0,1675036800000.0,long,21188.3,23740.3,0.6666804335485852,1695.377862710643,5.990603705346193
1675036800000.0,1676160000000.0,long,23740.3,21851.3,0.6628574196506615,-1258.1818117868484,6.04414606674902
1676505600000.0,1677888000000.0,long,24332.6,22342.8,0.5975999802131745,-1194.6830842514626,5.578643623288402
1678838400000.0,1680998400000.0,long,24682.5,27924.9,0.5431464539044344,1755.3833575879125,5.714704551826429
1680998400000.0,1682121600000.0,long,27924.9,27252.5,0.5397987651953889,-368.91762819471876,5.9569384773384115
1687305600000.0,1689292800000.0,long,28290.6,31441.7,0.5204327512113471,1633.7183132970406,6.21732904503631
1689292800000.0,1689897600000.0,long,31441.7,29791.0,0.5176369976512696,-860.8026542201673,6.339262197216179
1696204800000.0,1697241600000.0,long,27981.4,26849.8,0.5524249918711274,-631.1821458442257,6.0580250428568325
1697500800000.0,1698105600000.0,long,28486.3,33074.0,0.5215841168909529,2386.4496781184166,6.421774942208425
1698105600000.0,1699660800000.0,long,33074.0,37330.4,0.5177822102921704,2196.597370718336,7.290829169258817
1699660800000.0,1701734400000.0,long,37330.4,41993.1,0.5146448022358632,2391.469633991126,8.164685394031299
1701734400000.0,1705276800000.0,long,41993.1,41734.9,0.5116029175668678,-140.66297113217152,8.567097816407742
1707350400000.0,1707782400000.0,long,44326.2,49943.6,0.4816601164796819,2696.596337743262,9.081200569703263
1707782400000.0,1709078400000.0,long,49943.6,57074.5,0.4787786458316536,3403.8750493614443,10.247596199495298
1709078400000.0,1709596800000.0,long,57074.5,68296.4,0.47561714027895374,5325.402276709948,11.925709786439736
1709596800000.0,1713052800000.0,long,68296.4,63939.7,0.47154378028308364,-2066.8458096560876,12.471022096778375
1715990400000.0,1718323200000.0,long,66980.0,66786.9,0.45149655294942226,-99.26304322428209,12.079058849746016
1721088000000.0,1722729600000.0,long,64680.6,60684.600000000006,0.4660893563988157,-1874.179345246226,11.686277076561762
1726704000000.0,1728518400000.0,long,61735.3,60606.4,0.45948539729304494,-529.9559099301205,11.242844926001304
1728950400000.0,1730246400000.0,long,66064.9,72739.5,0.42175210638435395,2803.318399657928,11.708209615083284
1730246400000.0,1731369600000.0,long,72739.5,88728.9,0.4196641881336377,6696.626068744937,13.552500999047492
1731369600000.0,1733702400000.0,long,88728.9,101200.0,0.4157378033318843,5168.915594397216,15.792124735048226
1733702400000.0,1734912000000.0,long,101200.0,95153.5,0.4130279426159268,-2513.593351453289,16.219896426087278
1737158400000.0,1738540800000.0,long,104042.5,97664.5,0.3787924560525858,-2431.219302689992,15.281017986599785
1745366400000.0,1746748800000.0,long,93404.9,103228.1,0.3972045981666451,3886.1995023603326,15.620706350260384
1746748800000.0,1749168000000.0,long,103228.1,101458.6,0.39517093987526636,-715.4322252330771,16.17724712379334
1752105600000.0,1754092800000.0,long,111199.9,113244.8,0.36072950321507996,721.4629960984686,16.192765026051532
1754784000000.0,1755648000000.0,long,116422.1,112824.2,0.3504358238758802,-1276.9002739252317,16.06722320219944
1758240000000.0,1758672000000.0,long,117017.1,111947.0,0.33828747482744953,-1730.642463565682,15.491137443027927
1759363200000.0,1760227200000.0,long,118552.4,110579.1,0.32003830314901893,-2566.427573789667,14.666171291597887
