month,pnl_usdt
2017-12,5465.09
2018-02,-3747.15
2018-03,-1676.15
2018-05,-439.34
2018-08,-136.69
2018-09,-1892.98
2018-10,-746.56
2019-02,-1146.25
2019-03,-298.86
2019-04,2583.1
2019-05,11627.48
2019-06,10746.44
2019-07,-2669.53
2019-08,31.71
2019-09,-3795.04
2019-11,-3603.03
2020-01,-17.42
2020-02,1709.56
2020-05,2968.9
2020-06,-2356.17
2020-07,6539.56
2020-08,3031.06
2020-09,-1553.24
2020-10,7535.89
2020-11,21815.14
2020-12,64525.19
2021-01,23789.46
2021-02,81415.32
2021-03,-46634.39
2021-04,-13229.8
2021-08,95860.43
2021-09,-15393.2
2021-10,133086.65
2021-11,-32038.02
2022-04,-4891.81
2022-11,-81835.05
2023-01,139628.72
2023-02,-40215.69
2023-03,118982.19
2023-04,48833.7
2023-07,62138.87
2023-08,-29252.71
2023-10,107130.67
2023-11,119677.86
2023-12,72668.33
2024-01,-50033.58
2024-02,480032.74
2024-03,133195.36
2024-05,-150436.56
2024-06,-55295.23
2024-07,-6195.81
2024-10,211845.28
2024-11,625088.21
2024-12,10411.63
2025-01,-112711.85
2025-02,-192542.57
2025-05,435750.89
2025-07,120001.25
2025-08,-5792.66
2025-09,-135883.5
2025-10,-181976.4
2026-01,-339673.73
2026-04,-55516.04
