opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1520524800000.0,1520611200000.0,long,9909.29,8927.0,2.876089003349382,-2854.9496326931617,29.796165593094965
1524412800000.0,1526140800000.0,long,8940.67,8313.13,2.277613819414484,-1450.9073975599447,21.613621324577494
1532426400000.0,1533549600000.0,long,8024.96,6963.47,2.0222290782481966,-2163.2464657104856,16.67052144080819
1554256800000.0,1556071200000.0,long,4935.43,5497.75,2.0389419030365663,1134.8378545793637,11.699956336157674
1556157600000.0,1557367200000.0,long,5430.01,6095.0,2.4488615899519424,1612.945733830095,15.522734872046623
1557453600000.0,1557626400000.0,long,6223.82,7159.67,2.87512143080467,2669.518853613674,21.163537404878
1557712800000.0,1558958400000.0,long,7031.58,8686.99,3.626833086769927,5972.541013805815,31.354746363990046
1559044800000.0,1560254400000.0,long,8734.36,7769.27,4.868600433874521,-4742.82986182614,44.19226909817752
1560427200000.0,1561118400000.0,long,8086.43,9808.889999999998,3.5871260592636998,6143.3751292483685,35.30602279097458
1561204800000.0,1563278400000.0,long,10867.04,10682.8,4.280435417350965,-839.3609053985842,50.733484105835586
1565006400000.0,1565985600000.0,long,11777.64,10451.75,3.74637739966442,-5013.088156808435,45.80382636737944
1572120000000.0,1573675200000.0,long,8996.16,8769.99,3.3165465121206843,-782.5105691953075,32.407244548972095
1578441600000.0,1580256000000.0,long,8152.49,9398.98,3.38620813374478,4188.186464871283,32.68811176024762
1580342400000.0,1582675200000.0,long,9311.0,9326.0,4.2468434510961375,20.171019997498767,43.53163176894329
1588204800000.0,1590537600000.0,long,8784.2,8837.05,4.508076635339474,194.560980201923,43.69086997576164
1590710400000.0,1592179200000.0,long,9569.59,9339.61,4.196036149273322,-1008.6434213244883,43.639027714611515
1592956800000.0,1593043200000.0,long,9631.66,9298.4,3.870538601128953,-1330.1939345856636,40.29824037342793
1594598400000.0,1594684800000.0,long,9300.69,9241.2,3.600663940995835,-250.92321094634264,36.7197130965012
1595376000000.0,1595894400000.0,long,9388.01,11047.579999999998,3.4909984073497453,5754.31889020662,39.23733667878881
1595980800000.0,1598572800000.0,long,10919.94,11335.53,4.503077562264295,1816.3140449243638,55.119959177055385
1598832000000.0,1599177600000.0,long,11714.14,10141.08,4.639677502856105,-7354.261737547506,55.77064490468395
1602460800000.0,1603324800000.0,long,11369.59,12796.07,2.936797709618061,4150.249886599296,39.033310216674835
1603411200000.0,1604620800000.0,long,12968.87,15598.75,3.4866875871301364,9114.786450315483,54.78350132631785
1604707200000.0,1605916800000.0,long,15590.960000000001,18664.31,4.56646283689417,13948.304580186174,86.03397958252668
1606003200000.0,1608249600000.0,long,18721.99,22816.99,5.9260905216290665,24131.95062046015,135.39006561087666
1608336000000.0,1609372800000.0,long,23124.35,28906.99,7.772078642355162,44720.71742393777,222.41541649091593
1609459200000.0,1609977600000.0,long,28951.68,36823.68,10.610034077869342,83138.35491489118,383.8333460962682
1610064000000.0,1611187260000.0,long,39498.92,30282.505333333334,13.775632926647315,-127490.65116303817,528.7058152696363
1611273600000.0,1611446400000.0,long,30879.97,32086.48,5.854094647901194,6860.287376770974,202.73635686828598
1612310400000.0,1612828800000.0,long,35504.06,46451.32,5.6423430483202965,61513.86515641637,254.3312027384966
1612915200000.0,1613952000000.0,long,46492.54,57487.43,8.079588721630035,88372.12577347476,462.0634660880862
1614038400000.0,1616716800000.0,long,54121.1,51325.21,11.594390363062399,-33089.06219644899,672.4221242664696
1616889600000.0,1618876800000.0,long,55828.0,55634.39,9.550715286566898,-2434.6140402598776,585.5000536276548
1627430400000.0,1628899200000.0,long,39442.33,47792.52,13.342484660609962,110772.12068178105,640.161306397586
1628985600000.0,1631318400000.0,long,47083.74,44860.83,17.88216541308724,-40654.73672367204,904.2924052663483
1633392000000.0,1634342400000.0,long,49198.22,61702.33,14.758526371163972,183642.03640247177,900.2007804633738
1634428800000.0,1637193600000.0,long,60925.560000000005,60366.96,20.508191160349963,-12823.995184735923,1368.1196025643142
1648425600000.0,1649462400000.0,long,46820.8,42229.2,25.905679628602552,-120217.3140067015,1268.7954240098816
1673913600000.0,1675036800000.0,long,21188.3,23740.3,41.07480542732429,103807.91502381445,1014.9884267171453
1675123200000.0,1676160000000.0,long,22819.9,21851.3,51.102671688028714,-50753.59751415537,1255.5497171306477
1676505600000.0,1677888000000.0,long,24332.6,22342.8,41.981132502827634,-84611.77483773876,1077.7173836123645
1678838400000.0,1680998400000.0,long,24682.5,27924.9,31.616187438498873,101597.54117011014,914.7849804786472
1681084800000.0,1682121600000.0,long,28309.399999999998,27252.5,37.79379071211549,-41099.199554726896,1154.9421510921193
1687305600000.0,1689292800000.0,long,28290.6,31441.699999999997,33.678565320445315,105018.09318924544,1106.4339920097395
1689379200000.0,1689897600000.0,long,30293.300000000003,29791.0,41.3321884919748,-22127.03686667366,1365.8785871545988
1696204800000.0,1697241600000.0,long,27981.399999999998,26849.799999999996,42.49345388629306,-49367.074305530885,1281.4818878015617
1697500800000.0,1698105600000.0,long,28486.3,33074.0,36.80120509870211,167586.867356885,1246.0212744306973
1698192000000.0,1701216000000.0,long,33917.0,37812.1,44.99079343014653,173468.707473197,1774.9320165666782
1701302400000.0,1701734400000.0,long,37837.1,41993.1,53.39570308160221,219568.11769625908,2344.4243108797064
1701820800000.0,1705276800000.0,long,44081.7,41734.9,60.02735131592541,-143705.42682652952,2833.2387583160344
1707436800000.0,1707955200000.0,long,45269.1,51823.19999999999,49.40560395606761,321170.9718419212,2638.2970465410367
1708041600000.0,1709164800000.0,long,51898.5,62487.9,60.7317070011098,639291.5533862108,3820.7847313414604
1709251200000.0,1710201600000.0,long,61203.299999999996,72153.8,81.26792873828367,883963.7432338266,5960.710414749294
1710288000000.0,1713052800000.0,long,71503.2,63939.7,104.7947796904782,-800421.8560653086,7806.539876376708
1716249600000.0,1718323200000.0,long,71466.5,66786.9,72.92871207318214,-346822.65433861973,5545.453320956163
1721088000000.0,1722729600000.0,long,64680.6,60684.6,65.29802191867431,-265433.250354614,4502.354767591443
1726704000000.0,1728518400000.0,long,61735.3,60606.4,56.15961164847916,-67177.44988819631,3778.864298228109
1728950400000.0,1730246400000.0,long,66064.9,72739.5,49.5811655027253,327149.30110359204,3785.1461608985655
1730332800000.0,1731283200000.0,long,72349.0,80409.99999999999,58.16183014231342,463955.9041212973,4886.608655890311
1731369600000.0,1733702400000.0,long,88728.9,101200.0,62.327207659645666,770778.0835492299,6510.755894977441
1733788800000.0,1734912000000.0,long,97349.1,95153.5,79.37353415519237,-182676.31802397568,8403.786432834835
1737158400000.0,1738540800000.0,long,104042.5,97664.5,69.26318194448335,-449444.55219417653,7683.977752261747
1745366400000.0,1746748800000.0,long,93404.9,103228.1,63.437760050120566,616301.1281347807,6860.676389564447
1746835200000.0,1749168000000.0,long,102941.9,101458.6,74.62321803745249,-119077.78200810778,8389.16269315537
1749513600000.0,1750204800000.0,long,110227.9,104508.0,66.6118484536721,-388880.28734575823,7867.175375599587
1752105600000.0,1754092800000.0,long,111199.9,113244.8,56.06277839486468,107722.12912675823,6920.6464129010365
1754784000000.0,1755648000000.0,long,116422.1,112824.2,56.185066402705104,-209232.37063373413,7084.120223440952
1759363200000.0,1760227200000.0,long,118552.4,110579.1,50.14551508814864,-406144.68985206605,6319.454399731072
