month,pnl_usdt
2017-08,-0.87
2017-09,-1137.06
2017-10,2479.94
2017-11,2612.71
2017-12,5096.22
2018-01,-3716.3
2018-02,1741.74
2018-03,-1814.75
2018-04,323.27
2018-05,-84.63
2018-06,-1200.04
2018-07,-389.31
2018-08,-642.45
2018-09,-173.9
2018-10,-220.04
2018-11,-876.08
2018-12,-437.09
2019-01,-711.13
2019-02,-899.82
2019-03,-439.44
2019-04,1921.02
2019-05,2456.27
2019-06,3508.83
2019-07,39.32
2019-08,899.37
2019-09,-460.47
2019-10,242.61
2019-11,-490.05
2019-12,-1063.89
2020-01,3545.3
2020-02,-559.55
2020-03,634.3
2020-04,2033.21
2020-05,181.55
2020-06,-433.09
2020-07,140.78
2020-08,1778.94
2020-09,-981.96
2020-10,2831.33
2020-11,5209.23
2020-12,1167.43
2021-01,893.23
2021-02,3802.21
2021-03,-945.54
2021-04,725.43
2021-05,-4680.96
2021-06,-460.03
2021-07,2080.49
2021-08,4438.8
2021-09,-1999.63
2021-10,3774.99
2021-11,-3003.69
2021-12,-2876.02
2022-01,-3506.68
2022-02,683.16
2022-03,2590.64
2022-04,-3552.91
2022-05,-924.58
2022-06,-2391.92
2022-07,18.3
2022-08,-2846.6
2022-09,-1634.41
2022-10,-42.9
2022-11,746.67
2022-12,252.45
2023-01,1543.01
2023-02,-385.31
2023-03,1672.99
2023-04,-3230.54
2023-05,-1139.83
2023-06,898.33
2023-07,-94.81
2023-08,-745.1
2023-09,-1269.85
2023-10,2855.25
2023-11,-506.86
2023-12,370.03
2024-01,-1280.71
2024-02,2982.5
2024-03,-1550.33
2024-04,-2934.08
2024-05,542.83
2024-06,-992.85
2024-07,481.29
2024-08,-1382.08
2024-09,843.82
2024-10,1274.24
2024-11,1043.26
2024-12,-323.3
2025-01,-1962.68
2025-02,-1828.41
2025-03,-777.67
2025-04,-196.69
2025-05,529.77
2025-06,-463.97
2025-07,244.41
2025-08,-1001.24
2025-09,-315.95
2025-10,-856.09
2025-11,-156.29
2025-12,-2306.87
2026-01,228.67
2026-02,-252.34
2026-03,46.7
2026-05,1644.5
