month,pnl_usdt
2017-09,-568.57
2017-10,1734.54
2017-11,3732.44
2017-12,446.67
2018-01,-2920.62
2018-02,839.23
2018-03,4519.57
2018-04,-255.27
2018-05,970.28
2018-06,688.5
2018-07,1608.17
2018-08,3136.57
2018-09,-2714.5
2018-10,-3330.34
2018-11,3325.33
2018-12,-412.55
2019-01,-696.93
2019-02,-1684.02
2019-03,625.93
2019-04,4976.43
2019-05,5599.31
2019-06,6983.35
2019-07,-5729.72
2019-08,-1723.51
2019-09,5778.66
2019-10,-4513.7
2019-11,4676.21
2019-12,-2392.69
2020-01,11504.73
2020-02,-1597.25
2020-03,9802.83
2020-04,950.37
2020-05,-3325.9
2020-06,-2729.51
2020-07,2933.37
2020-08,-4979.3
2020-09,-3397.26
2020-10,4065.96
2020-11,8778.43
2020-12,9839.17
2021-01,1345.45
2021-02,28522.37
2021-03,-11675.03
2021-04,2912.97
2021-05,11402.41
2021-06,-9003.14
2021-07,12229.81
2021-08,-2232.84
2021-09,-9453.85
2021-10,24394.77
2021-11,-2425.87
2021-12,-1734.26
2022-01,18765.37
2022-02,-7335.64
2022-03,-4079.75
2022-04,-9129.43
2022-05,-701.14
2022-06,19426.24
2022-07,597.06
2022-08,1716.88
2022-09,-28109.9
2022-10,-3359.21
2022-11,3454.8
2022-12,-2766.06
2023-01,14994.94
2023-02,-2874.17
2023-03,10034.33
2023-04,5655.02
2023-05,-14768.68
2023-06,3209.23
2023-07,-7348.23
2023-08,-4120.78
2023-09,-6045.88
2023-10,18494.93
2023-11,-8318.08
2023-12,10498.58
2024-01,-2572.1
2024-02,29228.45
2024-03,-4076.48
2024-04,-4535.64
2024-05,-10530.41
2024-06,10762.18
2024-07,19225.19
2024-08,-20211.35
2024-09,1056.26
2024-10,3655.39
2024-11,21014.45
2024-12,-18672.32
2025-01,-12420.76
2025-02,13468.91
2025-03,-25759.98
2025-04,-2536.9
2025-05,1514.06
2025-06,-8823.92
2025-07,5925.77
2025-08,-4236.75
2025-09,1992.82
2025-10,10098.97
2025-11,24083.54
2025-12,-18757.74
2026-01,9922.11
2026-02,5229.21
2026-03,-22833.62
2026-04,2697.69
