month,pnl_usdt
2017-09,-1035.96
2017-10,6754.39
2017-11,13899.4
2017-12,-14541.55
2018-01,-12364.6
2018-02,867.53
2018-03,2153.91
2018-04,-696.0
2018-05,1055.56
2018-06,-722.9
2018-07,1549.97
2018-08,1491.98
2018-09,-2196.61
2018-10,-1582.59
2018-11,5543.59
2018-12,-1445.99
2019-01,-925.51
2019-02,-948.18
2019-03,57.41
2019-04,4578.41
2019-05,11832.06
2019-06,30247.74
2019-07,-28578.78
2019-08,-92.37
2019-09,11445.09
2019-10,-12397.62
2019-11,7382.29
2019-12,-9369.18
2020-01,5573.75
2020-02,932.1
2020-03,11445.76
2020-04,8441.27
2020-05,-20079.32
2020-06,-6267.57
2020-07,7111.71
2020-08,-6883.15
2020-09,-1099.81
2020-10,7310.45
2020-11,28531.77
2020-12,81018.87
2021-01,-23646.9
2021-02,259688.96
2021-03,-137982.86
2021-04,-26445.47
2021-05,-15725.22
2021-06,-77759.64
2021-07,43896.74
2021-08,2310.56
2021-09,-73610.37
2021-10,32622.78
2021-11,-15003.36
2021-12,-12975.65
2022-01,22764.83
2022-02,17325.86
2022-03,-13209.56
2022-04,-19429.05
2022-05,3351.47
2022-06,60912.11
2022-07,-17483.59
2022-08,-24355.39
2022-09,-48785.2
2022-10,-17591.18
2022-11,17608.24
2022-12,-12549.16
2023-01,67775.0
2023-02,7415.5
2023-03,75217.08
2023-04,-28878.68
2023-05,-49078.31
2023-06,9836.85
2023-07,-18026.48
2023-08,-11729.3
2023-09,-25993.61
2023-10,72662.38
2023-11,-35418.37
2023-12,38447.51
2024-01,-29287.34
2024-02,116615.38
2024-03,45450.34
2024-04,-97625.13
2024-05,-48163.59
2024-06,39056.92
2024-07,56678.0
2024-08,-27737.13
2024-09,-6918.24
2024-10,12697.07
2024-11,161577.42
2024-12,-128638.76
2025-01,-35593.6
2025-02,-5202.21
2025-03,-127000.76
2025-04,-4421.18
2025-05,6467.86
2025-06,-23925.74
2025-07,5465.46
2025-08,-15469.0
2025-09,2065.4
2025-10,18713.51
2025-11,42925.77
2025-12,-40903.98
2026-01,20670.64
2026-02,-22757.34
2026-03,-34539.29
2026-04,-3044.15
