month,pnl_usdt
2017-10,1301.49
2017-11,9180.33
2017-12,5218.71
2018-01,-2216.87
2018-02,-57.94
2018-03,219.18
2018-04,2524.48
2018-05,-337.94
2018-07,3133.38
2018-09,-1163.21
2018-10,-1490.51
2018-11,-501.66
2019-01,-1633.97
2019-02,-485.53
2019-03,610.97
2019-04,5314.07
2019-05,5291.04
2019-06,13127.53
2019-07,-5321.85
2019-08,924.07
2019-09,-45.36
2019-11,2057.11
2019-12,-3477.01
2020-01,11334.55
2020-02,-1673.44
2020-04,4623.89
2020-05,-2923.41
2020-06,-2845.56
2020-07,7326.64
2020-08,-4830.43
2020-09,-3100.79
2020-10,8503.17
2020-11,10894.71
2020-12,28567.0
2021-01,1495.0
2021-02,39725.72
2021-03,-734.68
2021-04,6289.56
2021-05,-13972.61
2021-07,39054.03
2021-08,4657.06
2021-09,-14864.04
2021-10,25331.61
2021-11,2668.93
2022-02,-830.15
2022-03,5848.87
2022-04,-13336.76
2022-07,-11010.37
2022-08,-4245.08
2022-09,-8205.56
2022-10,1185.53
2022-11,-3110.92
2022-12,-1804.46
2023-01,43064.82
2023-02,128.89
2023-03,38552.91
2023-04,-11468.14
2023-05,-6893.11
2023-06,28372.05
2023-07,-8602.85
2023-08,-6650.61
2023-09,-4996.35
2023-10,44761.48
2023-11,-6597.04
2023-12,11916.4
2024-01,-23871.6
2024-02,80090.39
2024-03,-13381.19
2024-04,-20615.57
2024-05,-9860.49
2024-06,10015.99
2024-07,17034.49
2024-08,313.23
2024-09,4382.03
2024-10,27917.55
2024-11,57502.94
2024-12,-26811.06
2025-01,-2599.13
2025-02,-13458.97
2025-03,-12426.55
2025-04,10275.29
2025-05,24474.47
2025-06,-7150.99
2025-07,25845.5
2025-08,2017.19
2025-09,10221.05
2025-10,2183.69
2026-01,720.26
2026-03,-43782.87
2026-05,13727.64
