month,pnl_usdt
2021-01,-169.04
2021-02,1527.22
2021-03,1514.47
2021-04,377.46
2021-05,-671.62
2021-06,-889.17
2021-07,1161.03
2021-08,345.76
2021-09,-16.25
2021-10,2604.11
2021-11,-373.91
2021-12,-1409.21
2022-02,841.04
2022-03,762.72
2022-04,-1096.03
2022-05,-986.26
2022-06,-1263.55
2022-07,1734.82
2022-08,-1177.98
2022-09,-555.28
2022-10,-277.54
2022-11,41.66
2022-12,-107.11
2023-01,3088.21
2023-02,-118.73
2023-03,2438.06
2023-04,-138.38
2023-05,-1311.11
2023-06,1723.06
2023-07,-906.68
2023-08,-1513.13
2023-09,146.95
2023-10,3530.82
2023-11,-636.14
2023-12,1463.15
2024-01,-1209.33
2024-02,3625.26
2024-03,681.04
2024-04,-1541.61
2024-05,-1754.83
2024-06,-245.97
2024-07,1787.19
2024-08,-472.2
2024-09,779.01
2024-10,1987.12
2024-11,6500.95
2024-12,-293.54
2025-01,-3572.08
2025-02,-2285.34
2025-03,-3117.19
2025-04,175.55
2025-05,954.15
2025-06,29.68
2025-07,-473.46
2025-08,-768.55
2025-09,-1124.53
2025-10,1265.29
2025-12,-3495.85
2026-01,1407.43
2026-03,-208.33
2026-04,972.57
