opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1609473600000.0,1609603200000.0,long,29302.11,31717.01,0.6484174689126483,1557.9501730080174,7.91317266913543
1609603200000.0,1609977600000.0,long,31717.01,36823.68,0.6923762778621073,3526.2459773052287,9.491189564860113
1609977600000.0,1610337600000.0,long,36823.68,35473.52,0.7783027846645194,-1062.0871101593398,11.25382241668954
1611921600000.0,1612123200000.0,long,37066.11,32817.33,0.7187699808879978,-3063.941543163944,10.046023766637509
1612166400000.0,1612396800000.0,long,33827.0,37652.51,0.6154999924403857,2345.802248507692,8.799127572928496
1612396800000.0,1612627200000.0,long,37652.51,40886.91,0.6713375155187674,2160.828768375285,10.545291818617
1612627200000.0,1612828800000.0,long,40886.91,46451.32000000001,0.7186436239950289,3986.274755370079,12.553012424102274
1612828800000.0,1613548800000.0,long,46451.32,51181.48,0.7956079442212133,3747.817387178105,15.535486259312174
1613548800000.0,1613779200000.0,long,51181.48,56004.1,0.8612078479793888,4134.816379285111,18.461812537244526
1613779200000.0,1614024000000.0,long,56004.1,53645.97,0.9273257380770664,-2207.0909091502604,20.3362664185904
1614643200000.0,1614916800000.0,long,49592.7,47300.23,0.9626531856595093,-2225.508406075326,18.654857546476766
1615089600000.0,1615262400000.0,long,49582.55,53877.22,0.8775689162601202,3750.7102819477645,18.15861564708426
1615262400000.0,1615636800000.0,long,53877.22,59905.92,0.9398861746135747,5644.903140854831,21.388640038024164
1615636800000.0,1615824000000.0,long,59905.92,56259.14,1.0243356611873777,-3759.3252052132984,23.79840270839428
1616083200000.0,1616313600000.0,long,59592.67,57011.46,0.9098611000704095,-2369.7612825116516,21.21871239891061
1616904000000.0,1617336000000.0,long,56054.33,59979.99,0.8869699422963535,3461.3586328521405,20.583790822959326
1617336000000.0,1617494400000.0,long,59979.99,57134.65,0.938564465382202,-2692.518943826597,21.98392789600581
1617652800000.0,1617753600000.0,long,59082.46000000001,58059.990000000005,0.866235110296851,-905.9939938444609,20.294580619238673
1618041600000.0,1618372800000.0,long,60614.65,63857.87,0.8159399199105302,2625.960247452258,20.312419599972376
1618372800000.0,1618574400000.0,long,63857.87,60939.48,0.8526315885037208,-2509.5927341276843,21.281232554310964
1619798400000.0,1620115200000.0,long,57138.23,55951.22,0.86945309544453,-1051.7147132965372,19.665194472923883
1620475200000.0,1620676800000.0,long,58593.08,55828.13999999999,0.8137608227193055,-2268.6221503942734,18.622301224749332
1623686400000.0,1623960000000.0,long,40677.54,37682.27,1.0661994530817003,-3210.264673145146,16.70943731311719
1627084800000.0,1627272000000.0,long,33634.46,38276.54,1.1081155464286692,5128.023876353753,15.937139411846406
1627272000000.0,1627689600000.0,long,38276.54,42203.25,1.2282749012007184,4803.3090760716905,19.770261222180913
