month,pnl_usdt
2017-10,5084.88
2017-11,20445.54
2017-12,4868.67
2018-01,4282.5
2018-02,2019.63
2018-03,278.94
2018-04,13500.27
2018-05,-5057.81
2018-07,11871.86
2018-08,8561.2
2018-09,-15273.26
2018-10,-11346.85
2018-11,-1098.37
2018-12,-12291.82
2019-01,-5923.0
2019-02,-1164.74
2019-03,5474.51
2019-04,29024.29
2019-05,39497.09
2019-06,76316.23
2019-07,-69989.84
2019-08,-12965.38
2019-09,10435.19
2019-10,25450.71
2019-11,-7264.68
2019-12,-14471.19
2020-01,124712.4
2020-02,-61876.33
2020-04,39278.25
2020-05,-19440.11
2020-06,-31182.74
2020-07,55742.76
2020-08,-53191.18
2020-09,-40364.01
2020-10,51285.36
2020-11,104219.38
2020-12,158654.02
2021-01,227502.43
2021-02,1100597.93
2021-03,-110740.77
2021-04,-68555.99
2021-05,-346721.99
2021-06,-262186.86
2021-07,758046.29
2021-08,-152825.06
2021-09,-286169.38
2021-10,1220048.3
2021-11,104460.59
2021-12,-304300.75
2022-02,-53831.71
2022-03,6710.38
2022-04,-509731.44
2022-07,576065.59
2022-08,-405877.66
2022-09,-575223.08
2022-10,-34909.34
2022-11,20634.63
2022-12,-23111.14
2023-01,647836.09
2023-02,2770.35
2023-03,655854.05
2023-04,405718.91
2023-05,-479373.97
2023-06,810829.63
2023-07,-518028.61
2023-08,-510063.95
2023-09,-153602.58
2023-10,1439445.52
2023-11,-785698.15
2023-12,853930.8
2024-01,-801559.72
2024-02,2587627.55
2024-03,-620622.16
2024-04,-752890.1
2024-05,91770.1
2024-06,86470.44
2024-07,497963.2
2024-08,227847.65
2024-09,594335.81
2024-10,1458204.16
2024-11,3280868.6
2024-12,-2041947.66
2025-01,-1146692.12
2025-02,-480355.99
2025-03,-565352.59
2025-04,-100466.82
2025-05,156521.17
2025-06,-103945.56
2025-07,959069.49
2025-08,-337823.6
2025-09,409043.17
2025-10,693898.37
2026-01,257537.19
2026-03,-1880253.36
2026-04,308548.81
