month,pnl_usdt
2017-10,9596.49
2017-11,52973.12
2017-12,24092.05
2018-01,-32791.53
2018-02,-6034.86
2018-03,-784.6
2018-04,11349.61
2018-05,-6420.68
2018-07,16020.32
2018-09,-10453.33
2018-10,-16497.49
2018-11,-2268.73
2019-01,-8759.2
2019-02,-3435.84
2019-03,7372.6
2019-04,39060.86
2019-05,64689.66
2019-06,82627.82
2019-07,-40206.63
2019-08,-2925.62
2019-09,-2273.64
2019-11,25186.93
2019-12,-33064.23
2020-01,243664.99
2020-02,-102633.26
2020-04,35465.2
2020-05,-93611.0
2020-06,-53735.99
2020-07,66085.61
2020-08,-25851.34
2020-09,-41280.84
2020-10,113172.89
2020-11,194780.62
2020-12,449143.45
2021-01,221672.65
2021-02,2238211.32
2021-03,-639626.54
2021-04,-11555.9
2021-05,-624533.17
2021-07,634615.75
2021-08,803682.77
2021-09,-782782.55
2021-10,933257.34
2021-11,196913.86
2022-02,-465418.51
2022-03,890413.31
2022-04,-1807076.23
2022-07,-179115.63
2022-08,-307174.98
2022-09,-375973.75
2022-10,10243.56
2022-11,-305867.18
2022-12,-201163.93
2023-01,822800.22
2023-02,21737.83
2023-03,1186040.16
2023-04,-408246.34
2023-05,-223173.13
2023-06,940424.83
2023-07,-531295.85
2023-08,-309793.85
2023-09,-165469.65
2023-10,1522804.23
2023-11,-621614.29
2023-12,370742.03
2024-01,-1018371.89
2024-02,2840476.24
2024-03,1822227.31
2024-04,-1197163.94
2024-05,-570811.96
2024-06,559448.24
2024-07,978016.46
2024-08,-96924.78
2024-09,44228.58
2024-10,1365894.38
2024-11,4725081.7
2024-12,-3252411.42
2025-01,302428.7
2025-02,-1066196.74
2025-03,-910128.73
2025-04,2086426.75
2025-05,1708532.26
2025-06,307971.77
2025-07,2851874.27
2025-08,161253.74
2025-09,1123822.5
2025-10,1416075.14
2026-01,-59960.47
2026-03,-5447951.01
2026-04,-266264.77
