opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1506567540000.0,1507129140000.0,long,4189.92,4210.0,6.802039179745675,105.15982500859154,31.425121720701114
1507445940000.0,1507575540000.0,long,4478.0,4780.0,6.431376842624941,1909.52787872777,32.74792774496194
1507604340000.0,1507805940000.0,long,4820.11,5209.33,7.103958199221311,2725.8158129140415,39.18679738687901
1507834740000.0,1508036340000.0,long,5321.01,5919.83,7.895199411851067,4678.991541458462,48.81177034619157
1508065140000.0,1508309940000.0,long,5550.0,5323.55,9.972173137947795,-2317.836714861549,59.63810777327274
1508410740000.0,1508813940000.0,long,5689.99,5614.97,8.565872045162617,-695.8719832877204,53.260262459624876
1509303540000.0,1509490740000.0,long,5975.43,6390.0,7.824791040290795,3190.707323343014,53.21629823033866
1509519540000.0,1509605940000.0,long,6414.97,6942.81,8.706199249164442,4531.5176898653835,63.9625218135771
1509634740000.0,1510081140000.0,long,6948.890000000001,7035.71,9.895800971598163,783.0395903070643,76.11385004707643
1510714740000.0,1510858740000.0,long,6874.5,7800.0,10.3275140367887,9474.761133444872,83.3531076030707
1510887540000.0,1511636340000.0,long,7878.899999999999,8540.0,12.438229254873372,8110.59123712474,112.32212327206221
1511665140000.0,1511765940000.0,long,8722.69,9536.89,13.885022797098976,11165.741484886972,139.4440765109989
1511794740000.0,1511953140000.0,long,9599.86,10797.9,15.931181572851598,18907.464541507416,178.7282300316972
1511981940000.0,1512327540000.0,long,10056.09,11719.0,20.56697848540052,33954.71789900616,246.31629415121301
1512356340000.0,1512589620000.0,long,11296.96,12930.01,26.873984920670594,43528.4697001517,358.0913745494464
1512618420000.0,1512690420000.0,long,13739.99,16455.02,31.12451110480075,83987.0886766372,516.8927082300133
1512719220000.0,1512906420000.0,long,15505.51,13446.0,43.01784811097907,-89280.67577591242,684.9874128699205
1513309620000.0,1513511220000.0,long,17270.0,19650.0,23.8890415808869,56370.82808416933,485.09087834148943
1513540020000.0,1513717440000.0,long,18550.0,17278.06,30.90138049281937,-39913.62698694539,608.9250829087591
1514351040000.0,1514451840000.0,long,16354.500000000002,14073.440000000002,28.094210842826435,-64554.74751416773,470.16692903007976
1514927040000.0,1515424140000.0,long,14852.549999999997,13100.0,18.548043320078165,-32791.5291301716,285.155809568658
1518859740000.0,1519291740000.0,long,10851.0,10503.0,16.775401602860363,-6034.86181700052,197.02205920511412
1519723740000.0,1520256540000.0,long,10713.0,11529.0,15.386028807447618,12366.78067787287,188.2188290043875
1520285340000.0,1520357340000.0,long,11550.0,10803.09,17.322584549447964,-13151.378936134706,212.9673103065309
1523611740000.0,1524274140000.0,long,8133.0,8789.99,19.9919367488184,12948.424684481708,186.07784012448747
1524302940000.0,1524576540000.0,long,8720.05,9360.03,22.878014682130598,14413.971851638218,227.49998463175268
1524605340000.0,1524749340000.0,long,9458.0,8838.54,25.436376792776684,-16012.786695047684,255.9687269942607
1525368540000.0,1525670940000.0,long,9605.99,9300.0,20.293671930243107,-6420.680251152135,211.01957721705128
1531788660000.0,1531860660000.0,long,6724.07,7311.01,26.270082094536846,15216.175497475604,202.7864870918657
1531889460000.0,1532407860000.0,long,7426.01,7870.0,29.626673149809633,12904.703172962552,249.24343882142082
1532436660000.0,1533041460000.0,long,8198.55,7821.02,31.320950060701115,-12100.559759996602,275.9614835801482
