month,pnl_usdt
2017-12,3451.3
2018-05,241.16
2018-08,-194.92
2018-10,-1330.65
2019-02,-2043.05
2019-04,1242.85
2019-05,3698.43
2019-06,26385.68
2019-07,-3647.37
2019-08,-5174.12
2019-09,-3578.21
2019-11,-4378.61
2020-01,-21.17
2020-02,-947.6
2020-05,-1511.8
2020-06,-1059.47
2020-07,6284.65
2020-08,2851.2
2020-10,7161.27
2020-11,21762.7
2020-12,30334.75
2021-01,54606.62
2021-02,-7374.78
2021-03,-17057.05
2021-04,-24286.64
2021-08,53853.45
2021-09,-18926.12
2021-10,4297.76
2021-11,-17941.76
2022-04,-11738.65
2022-11,-24791.5
2023-01,42299.79
2023-02,-10028.11
2023-03,36749.36
2023-07,17027.04
2023-08,-5371.96
2023-10,30511.76
2023-11,34085.31
2023-12,1915.48
2024-01,-13162.69
2024-02,145402.27
2024-03,42074.19
2024-05,-42332.4
2024-06,-20420.67
2024-07,-1718.83
2024-10,58769.75
2024-11,173410.9
2024-12,21191.66
2025-01,-32268.41
2025-05,23860.37
2025-07,31851.24
2025-08,-1537.51
2025-10,-51323.21
2026-01,-95798.94
2026-04,-15657.31
