month,pnl_usdt
2017-10,591.01
2017-11,2026.63
2017-12,-403.08
2018-01,-2392.41
2018-02,477.05
2018-03,624.65
2018-04,22.09
2018-05,490.05
2018-06,-172.12
2018-07,1164.33
2018-08,-27.14
2018-09,-633.23
2018-10,-1255.96
2018-11,3037.29
2018-12,821.19
2019-01,360.84
2019-02,-955.35
2019-03,-312.84
2019-04,3421.4
2019-05,3112.94
2019-06,4107.17
2019-07,-953.3
2019-08,-610.34
2019-09,2909.45
2019-10,-1658.9
2019-11,2539.89
2019-12,-2350.21
2020-01,392.26
2020-02,299.16
2020-03,14456.43
2020-04,2257.35
2020-05,-4952.18
2020-06,-1059.63
2020-07,4159.13
2020-08,-3649.04
2020-09,1108.13
2020-10,4502.19
2020-11,7600.6
2020-12,3019.67
2021-01,-5006.97
2021-02,12800.67
2021-03,-2227.73
2021-04,499.31
2021-05,13103.87
2021-06,-5012.11
2021-07,11306.76
2021-08,2408.64
2021-09,2877.86
2021-10,19928.3
2021-11,-6494.37
2021-12,2602.06
2022-01,9812.72
2022-02,7343.3
2022-03,-14568.2
2022-04,-7195.04
2022-05,10898.59
2022-06,3999.81
2022-07,-3552.93
2022-08,5976.42
2022-09,-8803.94
2022-10,-6181.96
2022-11,11547.98
2022-12,-502.54
2023-01,19593.68
2023-02,1370.65
2023-03,15733.89
2023-04,-1956.59
2023-05,-11293.1
2023-06,-2059.92
2023-07,-5177.52
2023-08,-5491.06
2023-09,-8185.79
2023-10,8770.92
2023-11,-974.08
2023-12,10595.94
2024-01,-14337.22
2024-02,28163.82
2024-03,-20517.33
2024-04,-6793.87
2024-05,-2452.7
2024-06,5905.7
2024-07,11898.28
2024-08,2638.27
2024-09,-99.13
2024-10,-397.68
2024-11,17946.47
2024-12,-20194.04
2025-01,-15309.53
2025-02,4191.11
2025-03,-32328.76
2025-04,673.21
2025-05,1507.77
2025-06,-9000.87
2025-07,5244.87
2025-08,-5418.77
2025-09,-333.65
2025-10,4564.66
2025-11,14138.77
2025-12,-9629.33
2026-01,7239.51
2026-02,-125.54
2026-03,-15356.41
2026-04,-1893.84
2026-05,-171.61
