month,pnl_usdt
2017-10,994.9
2017-11,2270.28
2017-12,123.68
2018-01,-870.7
2018-02,-552.11
2018-04,152.71
2018-05,-370.34
2018-07,1251.29
2018-09,-146.03
2018-10,-443.52
2018-11,-92.28
2019-01,-678.46
2019-02,-139.39
2019-03,152.84
2019-04,2853.14
2019-05,2027.64
2019-06,3812.65
2019-07,-1357.12
2019-08,1087.91
2019-09,1125.63
2019-10,1889.45
2019-12,-850.42
2020-01,4265.34
2020-02,-1586.47
2020-04,2311.87
2020-05,-1124.39
2020-06,211.72
2020-07,2754.17
2020-08,-1599.63
2020-09,-1891.8
2020-10,4496.1
2020-11,5911.1
2020-12,1877.91
2021-01,936.46
2021-02,13326.54
2021-03,-1224.68
2021-04,-1366.0
2021-05,-4165.67
2021-06,-3197.52
2021-07,9897.07
2021-08,-964.78
2021-09,-2027.62
2021-10,12918.27
2021-11,-2158.94
2022-02,1324.18
2022-03,592.88
2022-04,-2315.68
2022-07,6590.04
2022-08,-2042.35
2022-09,-6203.04
2022-10,790.52
2022-11,-1218.87
2022-12,-242.03
2023-01,4672.55
2023-02,339.49
2023-03,6467.88
2023-04,2956.35
2023-05,-2495.37
2023-06,6486.89
2023-07,-4273.46
2023-08,-3840.39
2023-09,-1486.06
2023-10,5852.06
2023-11,-2091.04
2023-12,5997.73
2024-01,-8222.8
2024-02,17359.58
2024-03,-3167.82
2024-04,-2332.66
2024-05,16.44
2024-06,2424.77
2024-07,1596.65
2024-08,3726.24
2024-09,3297.93
2024-10,5331.62
2024-11,10902.59
2024-12,-6579.49
2025-01,-6828.41
2025-02,-2088.06
2025-03,-2092.6
2025-04,-171.77
2025-05,160.6
2025-06,-2571.84
2025-07,5826.8
2025-08,-1214.6
2025-09,1060.33
2025-10,2693.44
2026-01,1373.31
2026-03,-7227.8
2026-04,5818.37
