month,pnl_usdt
2017-10,961.7
2017-11,6259.96
2017-12,1934.3
2018-01,-3101.73
2018-02,1647.94
2018-04,-210.79
2018-05,-1399.17
2018-07,2691.07
2018-08,-2349.69
2018-09,-30.58
2018-10,-1213.37
2018-11,-346.36
2019-01,-1618.65
2019-02,-591.94
2019-03,291.52
2019-04,7016.87
2019-05,7207.19
2019-06,10618.85
2019-07,-3996.9
2019-08,3661.88
2019-09,97.13
2019-10,4503.55
2019-11,-1715.58
2019-12,-3680.13
2020-01,5069.96
2020-02,-3933.89
2020-04,9052.51
2020-05,-7906.13
2020-06,-1868.82
2020-07,11769.01
2020-08,-7078.5
2020-09,-3907.16
2020-10,10980.54
2020-11,18754.41
2020-12,7341.58
2021-01,3217.69
2021-02,44810.11
2021-03,128.32
2021-04,-7289.09
2021-05,-16698.56
2021-06,-14061.16
2021-07,41632.23
2021-08,6920.56
2021-09,15399.9
2021-10,75713.79
2021-11,-15206.28
2022-02,17937.67
2022-03,3255.97
2022-04,-18356.48
2022-07,26502.98
2022-08,-2862.53
2022-09,-9994.38
2022-10,-5148.71
2022-11,-4511.84
2022-12,4162.75
2023-01,84881.77
2023-02,20830.1
2023-03,112534.96
2023-04,-7675.95
2023-05,-28339.08
2023-06,81820.92
2023-07,-35106.43
2023-08,-70055.25
2023-09,-16931.49
2023-10,62321.88
2023-11,-9874.87
2023-12,75686.86
2024-01,-103816.58
2024-02,205477.68
2024-03,-88954.75
2024-04,-57547.13
2024-05,-5571.51
2024-06,-4195.96
2024-07,-31.41
2024-08,33549.3
2024-09,16596.9
2024-10,46435.43
2024-11,148477.77
2024-12,-103146.77
2025-01,-81934.89
2025-02,-46113.73
2025-03,-98707.7
2025-04,-1712.88
2025-05,10562.39
2025-06,-23907.87
2025-07,43665.27
2025-08,-13348.85
2025-09,8754.61
2025-10,18997.51
2026-01,15873.2
2026-03,-71702.14
2026-05,7224.98
