opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1503662400000.0,1503666000000.0,long,4361.27,4309.69,2.178264588067237,-116.13241647501941,3.7775290225094986
1503676800000.0,1503691200000.0,long,4394.36,4307.17,2.136755797055483,-190.02234687941714,3.7186089341504394
1503777600000.0,1503824400000.0,long,4293.52,4302.14,2.144895790589839,14.801642724615888,3.687358990268291
1503864000000.0,1503874800000.0,long,4368.41,4315.16,2.111343609093851,-116.09584718897139,3.6668000047238185
1503918000000.0,1503925200000.0,long,4290.77,4280.0,2.1238433848871288,-26.514387888813115,3.6405946335778117
1503928800000.0,1503936000000.0,long,4347.0,4273.59,2.090576216258977,-157.07360012039518,3.604400084823995
1503939600000.0,1503975600000.0,long,4322.65,4314.78,2.0678322075493965,-19.8459906623042,3.5721511888906763
1503979200000.0,1503993600000.0,long,4376.99,4329.02,2.037852771158767,-101.30411075333191,3.5483133208471873
1504008000000.0,1504040400000.0,long,4368.5,4577.54,2.019783059544133,418.60163875870467,3.6138120084008394
1504040400000.0,1504087200000.0,long,4577.54,4482.0,2.0144212508114214,-196.10775228223835,3.649945979715221
1504112400000.0,1504123200000.0,long,4589.99,4536.82,1.9683684469402305,-108.2511352888559,3.592984965043713
1504134000000.0,1504206000000.0,long,4547.9,4700.13,1.9639730225481598,295.343036936164,3.6325762863432116
1504206000000.0,1504216800000.0,long,4700.13,4724.71,1.9600582950548455,44.48358572813502,3.6946471643129426
1504227600000.0,1504242000000.0,long,4721.05,4672.0,1.960324122976427,-99.83658273265885,3.6826845006647457
1504256400000.0,1504324800000.0,long,4749.99,4788.07,1.9284132065923998,69.7553107331843,3.6786641738541412
1504400400000.0,1504404000000.0,long,4600.53,4560.0,2.0054669771479285,-84.95580466543962,3.674228081634583
1504407600000.0,1504432800000.0,long,4568.91,4523.47,2.001681577870037,-94.59642080741249,3.6400099089987936
1504479600000.0,1504483200000.0,long,4521.19,4509.08,2.002932055095926,-27.872910637045226,3.6174034498342174
