month,pnl_usdt
2017-09,-62.36
2017-10,3590.47
2017-11,6016.24
2017-12,7397.39
2018-01,3280.98
2018-02,-735.63
2018-03,63.08
2018-04,2356.25
2018-05,1772.9
2018-07,2815.91
2018-08,-126.25
2018-09,-1516.77
2018-10,-2149.21
2018-11,-307.26
2018-12,-902.41
2019-01,-1696.81
2019-02,-475.88
2019-03,1109.04
2019-04,7669.74
2019-05,10309.26
2019-06,11453.2
2019-07,-797.66
2019-08,-580.12
2019-09,-2040.61
2019-10,4877.59
2019-11,-5134.67
2019-12,-855.1
2020-01,5844.21
2020-02,-2582.83
2020-04,10005.59
2020-05,3705.2
2020-06,-10229.7
2020-07,7629.19
2020-08,-3524.33
2020-09,-4421.53
2020-10,6892.21
2020-11,14531.75
2020-12,13924.49
2021-01,28249.45
2021-02,10625.41
2021-03,11820.61
2021-04,4634.85
2021-05,-15518.43
2021-06,-8558.78
2021-07,6844.25
2021-08,5302.7
2021-09,4746.15
2021-10,30295.03
2021-11,-4604.53
2021-12,-826.67
2022-02,6557.48
2022-03,12726.89
2022-04,-8327.97
2022-07,-11094.53
2022-08,-13121.62
2022-09,-4168.43
2022-10,-3815.85
2022-11,1979.67
2022-12,-210.93
2023-01,39876.48
2023-02,940.12
2023-03,-15695.59
2023-04,-4878.6
2023-05,-9289.36
2023-06,5444.61
2023-07,-13629.23
2023-08,-4028.2
2023-09,-4873.81
2023-10,25404.64
2023-11,-4563.49
2023-12,9239.77
2024-01,-12694.32
2024-02,34710.19
2024-03,-6817.96
2024-04,-7120.88
2024-05,-1291.63
2024-06,-7636.06
2024-07,-496.82
2024-08,81.18
2024-09,-165.81
2024-10,12870.94
2024-11,51462.83
2024-12,357.84
2025-01,-10573.88
2025-02,-8097.54
2025-03,-11104.83
2025-04,-5277.04
2025-05,8674.11
2025-06,-3199.92
2025-07,9218.99
2025-08,-11773.24
2025-09,-5482.55
2025-10,7823.06
2025-12,-1194.65
2026-01,11046.17
2026-03,-13833.74
