opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1614470400000.0,1615507200000.0,long,46102.63,57844.52,0.20606199689692326,2415.273389283865,4.283911460148803
1616803200000.0,1621468800000.0,long,55030.0,36689.14,0.21432872469234368,-3934.904742822034,3.9316092612157054
1623888000000.0,1626393600000.0,short,38344.97,31866.43,0.21010187813782982,1358.203112189719,2.950309401337285
1635465600000.0,1639094400000.0,long,60622.03,47539.76,0.15417898692470336,-2020.3463903166712,3.335255041232503
1640736000000.0,1642723200000.0,short,47522.03,40661.69,0.15629202077264243,1069.4599194277794,2.7564823596097767
1654128000000.0,1655164800000.0,short,29796.899999999998,22471.5,0.28336172633309265,2072.7758172691024,2.962172811333724
1657497600000.0,1660348800000.0,short,20853.8,24387.5,0.49930650767630735,-1768.9172612769148,4.517855101147225
1665187200000.0,1668038400000.0,short,19520.9,15905.0,0.44731373305365585,1614.2724290335577,3.1692983151571017
1670284800000.0,1673568000000.0,short,16958.3,18838.0,0.605339300469327,-1142.1900645324724,4.333781440278035
1676419200000.0,1679097600000.0,long,22187.4,27384.0,0.41376839547865635,2146.086628216459,4.102215727926134
1685577600000.0,1687564800000.0,short,27201.1,30673.4,0.41245490787684236,-1436.9413009339446,4.774124313183663
1688860800000.0,1692316800000.0,long,30269.3,26609.7,0.3255487559593888,-1195.0816048470217,3.7033775380428153
1693526400000.0,1696204800000.0,short,25928.0,27981.400000000005,0.3362698794414092,-694.122191932743,3.625621487751741
1697414400000.0,1697932800000.0,long,27139.8,29895.4,0.29695831774076276,814.9109249576449,3.3874154088015906
1705363200000.0,1707523200000.0,long,42515.0,47116.1,0.20777501424274997,952.2689974164979,3.7246206158186697
1711065600000.0,1720137600000.0,long,65539.9,57045.90000000001,0.1485844543259326,-1265.7192238846908,3.6428688402215816
1724371200000.0,1729036800000.0,short,60349.90000000001,67044.1,0.14143813022698848,-950.4188051979332,3.6036738324273947
1734825600000.0,1740614400000.0,long,97261.8,84208.5,0.07847766698177182,-1027.2408035672588,2.8482731540964457
1743120000000.0,1746144000000.0,short,87191.2,96423.3,0.07634945254863792,-707.669554185279,2.803773310998376
1748822400000.0,1752192000000.0,long,105583.3,115979.2,0.056682394948659336,586.7527710206048,2.511738626162467
1753574400000.0,1756684800000.0,long,117889.2,108208.4,0.05549388275645571,-539.7345869298798,2.509406741183204
1757980800000.0,1759795200000.0,short,115300.6,124628.5,0.05229271647735547,-490.2905389093172,2.509308880193414
1761782400000.0,1763164800000.0,short,109985.6,94544.9,0.05058485450372705,778.996333818884,2.0692291168149093
1764892800000.0,1769904000000.0,short,92034.7,78706.8,0.06849212406443507,910.5172907181942,2.3388896001895483
1772841600000.0,1775001600000.0,short,68083.0,68241.5,0.1052927091464146,-19.559689585312796,2.87079518560608
