month,pnl_usdt
2017-08,-515.21
2017-09,2980.44
2017-10,1092.41
2017-11,49.18
2017-12,-1040.03
2018-01,-526.06
2018-02,556.26
2018-03,-107.64
2018-04,561.19
2018-05,-717.7
2018-06,-2425.78
2018-07,-124.27
2018-08,-1084.55
2018-09,467.58
2018-10,318.35
2018-11,-653.53
2018-12,-954.69
2019-01,-642.94
2019-02,-4.36
2019-03,-204.68
2019-04,-29.99
2019-05,-103.82
2019-06,-154.55
2019-07,133.15
2019-08,285.65
2019-09,-570.26
2019-10,-688.14
2019-11,-8.5
2019-12,-32.9
2020-01,544.13
2020-02,215.64
2020-03,1335.25
2020-04,106.82
2020-05,109.19
2020-06,136.86
2020-07,366.88
2020-08,413.62
2020-09,107.41
2020-10,234.56
2020-11,-557.39
2020-12,-152.04
2021-01,446.61
2021-02,430.16
2021-03,134.52
2021-04,-1769.89
2021-05,-1150.99
2021-06,15.99
2021-07,616.2
2021-08,-502.64
2021-09,-515.02
2021-10,451.31
2021-11,-247.43
2021-12,-202.31
2022-01,-606.42
2022-02,300.68
2022-03,-500.97
2022-04,-586.46
2022-05,212.79
2022-06,-339.35
2022-07,-155.71
2022-08,-316.73
2022-09,-227.23
2022-10,-170.64
2022-11,-173.45
2022-12,-132.6
2023-01,499.57
2023-02,-20.79
2023-03,-217.38
2023-04,86.91
2023-05,207.4
2023-06,148.65
2023-07,-46.41
2023-08,145.47
2023-09,-54.58
2023-10,270.59
2023-11,196.5
2023-12,38.63
2024-01,-358.91
2024-02,-13.66
2024-03,-323.05
2024-04,119.27
2024-05,143.16
2024-06,72.89
2024-07,-241.17
2024-08,202.43
2024-09,36.28
2024-10,250.08
2024-11,390.8
2024-12,227.21
2025-01,261.55
2025-02,-57.73
2025-03,399.28
2025-04,-45.99
2025-05,28.16
2025-06,-163.33
2025-07,-99.82
2025-08,133.4
2025-09,-65.61
2025-10,70.44
2025-11,-259.47
2025-12,183.43
2026-01,-169.9
2026-02,-457.45
2026-03,237.82
2026-05,668.86
