opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1503025200000.0,1503093600000.0,long,4267.59,3975.6899999999996,2.226080762210053,-659.8855883531467,10.092613864030987
1503291600000.0,1503363600000.0,long,4104.68,3790.0,2.1617053439158496,-689.6317221929182,9.386284569478068
1503698400000.0,1504015200000.0,long,4288.99,4580.0,1.9160591549481902,548.2459444649191,9.346430216554172
1504098000000.0,1504216800000.0,long,4570.0,4724.71,1.9122083593485582,286.06237308696916,9.77538218784635
1505044800000.0,1505188800000.0,long,4098.79,4294.25,2.1983442568795986,419.54043324471803,10.147935204968412
1505480400000.0,1505527200000.0,long,3330.0,3830.0,2.825560020491896,1401.652954885251,11.127055360697087
1505566800000.0,1505703600000.0,long,3630.0,3845.7800000000007,2.9588664394983475,626.2982913118652,12.165909003090128
1506618000000.0,1506787200000.0,long,4154.0,4353.98,2.7288561752829255,532.9472783638773,12.769379569200993
1506841200000.0,1506938400000.0,long,4312.95,4475.96,2.745677196946627,434.3005094991114,13.272330375158901
1506974400000.0,1507035600000.0,long,4419.94,4212.11,2.7725611548109503,-589.3844723883718,13.163087584012224
1507370400000.0,1507417200000.0,long,4339.98,4469.0,2.6946296300504056,334.6057986839177,13.055316185186781
1507690800000.0,1507795200000.0,long,4814.76,5010.2,2.494935201458822,474.1281845668025,13.481951206308679
1508493600000.0,1508511600000.0,long,5640.12,5915.98,2.20969340828109,595.5215327109304,14.044490897490407
1508511600000.0,1508587200000.0,long,5915.98,6116.98,2.202286255529891,428.0845250297706,14.575012331737526
1508612400000.0,1508648400000.0,long,6041.05,5780.11,2.2240110147686254,-594.7931487197645,14.459714526038258
1509091200000.0,1509192000000.0,long,5874.49,5680.28,2.19088095298217,-439.4143089086667,13.923319029999384
1509390000000.0,1509458400000.0,long,6102.01,6329.04,2.0407807683076546,449.36548155545734,13.95297627342898
1510956000000.0,1511118000000.0,long,7709.98,8011.979999999999,1.670531163958749,490.0551982393586,14.445213276182091
1511380800000.0,1511488800000.0,long,8199.98,7937.959999999999,1.6274813233478702,-440.8779641146294,14.445307771019692
1512421200000.0,1512522000000.0,long,11305.21,11815.2,1.1434091216277429,568.5873697095592,14.539848229375306
1513105200000.0,1513335600000.0,long,16500.0,17860.02,0.8161598931600761,1094.5699792568691,15.423798638697944
1513404000000.0,1513436400000.0,long,17489.0,18540.0,0.8294630749291143,855.3290929308575,16.436598819641585
1513544400000.0,1513681200000.0,long,19025.0,16852.0,0.8052059056882835,-1765.6010378137482,15.8886047531082
1514379600000.0,1514430000000.0,long,15894.83,13822.13,0.8582489633293677,-1792.9201288550964,14.02750256231516
1515254400000.0,1515402000000.0,long,16556.22,15477.739999999998,0.7210853230619182,-790.3806693333737,12.704570117553912
1516338000000.0,1516424400000.0,long,10979.77,12340.0,1.0189271370454471,1372.906629057866,13.068630565462069
1516500000000.0,1516550400000.0,long,12508.95,11412.0,0.9986327316939042,-1108.5887090353963,13.138534003767315
1518505200000.0,1518613200000.0,long,8716.1,9149.79,1.3123630563599358,556.2631402099965,12.895593702744728
1520013600000.0,1520053200000.0,long,10912.26,11371.6,1.0966690326970157,490.30304292402167,13.440910555025646
1521540000000.0,1521576000000.0,long,8436.83,8950.0,1.4736489308799816,742.1402759671896,14.092145892490596
1521662400000.0,1521774000000.0,long,8862.92,8431.0,1.482351050408329,-654.3566789550882,14.099613262722686
1522105200000.0,1522126800000.0,long,8195.65,7755.41,1.5271906348706514,-685.7285752919981,13.39817019654292
1522602000000.0,1522724400000.0,long,6783.71,7169.990000000001,1.7490249111695892,662.1903897899472,13.422952896642904
1522821600000.0,1522846800000.0,long,7345.0,7049.000000000001,1.701015473172322,-516.9670092554691,13.466429196463324
1524448800000.0,1524531600000.0,long,8853.24,9169.97,1.3557567615537371,415.96954023459296,13.439298852321611
1525561200000.0,1525608000000.0,long,9841.74,9539.94,1.259737714558693,-393.61755055094204,13.428708297129361
