month,pnl_usdt
2017-08,1658.07
2017-09,2861.02
2017-10,1957.82
2017-11,-958.4
2017-12,-2629.15
2018-01,3849.5
2018-03,189.6
2018-04,-977.17
2018-05,954.74
2018-07,-1225.78
2018-08,-740.64
2018-09,1973.42
2018-10,-444.56
2018-11,1263.71
2018-12,1163.48
2019-01,2200.54
2019-02,-371.74
2019-03,480.99
2019-04,1074.23
2019-05,3099.02
2019-06,539.32
2019-08,87.34
2019-09,-720.29
2019-10,-921.78
2019-11,-1012.81
2019-12,-266.75
2020-01,3149.5
2020-02,2694.03
2020-03,-1204.57
2020-04,2402.81
2020-05,2157.04
2020-06,-393.64
2020-07,-13.98
2020-08,-3339.32
2020-09,-197.56
2020-10,947.49
2020-11,1885.99
2020-12,567.16
2021-01,4126.49
2021-02,-3782.65
2021-03,-167.53
2021-04,1648.78
2021-05,2680.06
2021-06,3794.3
2021-07,1987.65
2021-08,3157.04
2021-09,-2742.4
2021-10,-579.41
2021-11,8916.65
2021-12,-6254.58
2022-01,3376.58
2022-02,-5864.47
2022-03,1236.15
2022-04,-2273.21
2022-05,-2171.87
2022-06,2238.75
2022-07,-2866.42
2022-08,-1771.88
2022-09,3526.24
2022-10,201.17
2022-11,3612.37
2022-12,1859.05
2023-01,6142.64
2023-03,279.2
2023-04,-1081.56
2023-05,-1326.76
2023-06,171.56
2023-07,2993.19
2023-08,-5170.71
2023-09,-12.22
2023-10,-1435.17
2023-11,4357.86
2023-12,54.08
2024-01,2163.56
2024-02,2745.42
2024-03,-5000.21
2024-04,2312.83
2024-06,-1870.71
2024-07,3663.41
2024-08,2915.41
2024-09,5434.7
2024-10,-4503.58
2024-11,-6642.33
2024-12,3010.23
2025-01,2912.39
2025-02,5797.83
2025-03,-2149.18
2025-04,5670.01
2025-05,6315.58
2025-06,6057.43
2025-08,-197.3
2025-09,-2117.7
2025-10,-2343.61
2025-11,-3690.35
2025-12,-4196.68
2026-01,-2473.24
2026-02,3018.72
2026-04,-1687.71
