month,pnl_usdt
2018-04,-306.72
2018-05,-1267.32
2018-08,-876.1
2019-04,-71.18
2019-05,4994.06
2019-06,10873.69
2019-07,-5743.27
2019-08,-3502.09
2019-09,-1721.99
2019-11,443.44
2020-01,-2171.69
2020-02,1088.13
2020-05,-2622.97
2020-06,217.24
2020-07,3113.55
2020-08,1331.38
2020-09,-1303.62
2020-10,4887.08
2020-11,7864.8
2020-12,24028.43
2021-01,5556.72
2021-02,63010.4
2021-03,31028.77
2021-04,35.5
2021-05,-24659.91
2021-08,37835.58
2021-09,-28152.93
2021-10,68445.57
2021-11,-19619.78
2021-12,-25368.46
2022-04,-3868.6
2023-01,-5673.67
2023-02,-22230.57
2023-03,39009.13
2023-04,-12612.38
2023-05,-9907.74
2023-06,27555.13
2023-07,-21865.96
2023-08,-7642.16
2023-09,-1483.88
2023-10,40633.4
2023-11,22903.68
2023-12,17596.83
2024-01,-54394.75
2024-02,127165.54
2024-03,58659.48
2024-04,-80597.69
2024-05,5879.54
2024-06,-24823.82
2024-07,38852.52
2024-08,-69851.93
2024-09,-9857.94
2024-10,49566.69
2024-11,84107.22
2024-12,-48350.35
2025-01,-19569.5
2025-02,-11936.62
2025-03,-58649.85
2025-04,36149.03
2025-05,54317.12
2025-06,-14652.31
2025-07,33493.85
2025-08,-1376.36
2025-09,-7418.51
2025-10,-12039.98
