opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1503662400000.0,1503666000000.0,long,4361.27,4309.69,2.178264588067237,-116.13241647501941,3.7775290225094986
1503676800000.0,1503691200000.0,long,4394.36,4307.17,2.136755797055483,-190.02234687941714,3.7186089341504394
1503777600000.0,1503824400000.0,long,4293.52,4302.14,2.144895790589839,14.801642724615888,3.687358990268291
1503864000000.0,1503874800000.0,long,4368.41,4315.16,2.111343609093851,-116.09584718897139,3.6668000047238185
1503896400000.0,1503907200000.0,short,4227.0,4261.9,2.155884428808173,-78.90058403094638,3.66021746554194
1503918000000.0,1503925200000.0,long,4290.77,4280.0,2.1063743630496967,-26.296301929965242,3.61065003991909
1503928800000.0,1503936000000.0,long,4347.0,4273.59,2.073380823305563,-155.781639437177,3.574753198315941
1503939600000.0,1503975600000.0,long,4322.65,4314.78,2.0508238884582295,-19.682753557943194,3.542769555777153
1503979200000.0,1503993600000.0,long,4376.99,4329.02,2.021091038719284,-100.47086488616283,3.519127758800095
1504008000000.0,1504040400000.0,long,4368.5,4577.54,2.0031699539709424,415.15855947108133,3.5840877070044423
1504040400000.0,1504087200000.0,long,4577.54,4482.0,1.9978522471501268,-194.49472816215234,3.619924469429292
1504112400000.0,1504123200000.0,long,4589.99,4536.82,1.952178236481026,-107.36074880379577,3.563431970099479
1504134000000.0,1504206000000.0,long,4547.9,4700.13,1.9478189653030937,292.9137834429525,3.6026976451383934
1504206000000.0,1504216800000.0,long,4700.13,4724.71,1.9439364371991288,44.11769964820008,3.6642579781543674
1504227600000.0,1504242000000.0,long,4721.05,4672.0,1.9442000786347382,-99.01540756675827,3.652393709724006
1504256400000.0,1504324800000.0,long,4749.99,4788.07,1.912551635698204,69.18155983650995,3.6484064508775225
1504332000000.0,1504335600000.0,short,4473.35,4696.44,2.0455192698748803,-460.0862903455267,3.751396429141196
1504364400000.0,1504375200000.0,short,4483.94,4530.01,1.9432110264781748,-93.02693339627531,3.503201406424589
