opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1609466400000.0,1609491600000.0,long,29448.4,29025.89,0.3225981717173089,-140.0736933415744,3.7727398092935442
1609495200000.0,1609516800000.0,long,29229.6,29210.84,0.32046042338333414,-9.757407171692503,3.7455696290216673
1609552800000.0,1609596000000.0,long,29380.0,31616.509999999995,0.31850444024889024,708.4528338061067,3.8855318549371676
1609596000000.0,1609621200000.0,long,31616.509999999995,30912.0,0.31726116028075835,-227.4812335560408,3.9675735266454
1609642800000.0,1609689600000.0,long,32765.99,33540.46,0.2995356915737922,228.00917738184347,3.9722296713106147
1609729200000.0,1609740000000.0,long,33502.99,32922.5,0.29941184930845605,-177.78330016548912,3.9777157604240703
1609804800000.0,1609819200000.0,long,32031.069999999996,31217.58,0.30789786473275776,-254.36665883789527,3.894824856445908
1609858800000.0,1609923600000.0,long,32399.95,34660.7,0.2969340919417929,667.3112297148518,3.982518642555278
1609959600000.0,1610010000000.0,long,35247.26,37296.56,0.29093312218988376,591.9881672940913,4.221080009636187
1610020800000.0,1610046000000.0,long,37920.0,38994.41,0.2852580210803795,302.0959799511386,4.388090477832991
1610100000000.0,1610132400000.0,long,39408.55,39956.48,0.28176564071303234,149.91537981026008,4.472467705631807
1610186400000.0,1610211600000.0,long,40410.79,40071.32,0.27830178403197064,-98.95476958446486,4.479662959131462
1610218800000.0,1610233200000.0,long,40737.87,40327.21,0.2737597208699443,-116.86063770707223,4.4384707346199415
1610431200000.0,1610442000000.0,long,35942.45,35814.68,0.3071958175976975,-43.659107658219675,4.408698043762853
1610564400000.0,1610600400000.0,long,35776.97,37550.01,0.30745739960480306,540.6252832769655,4.508984518334681
1610611200000.0,1610661600000.0,long,38240.0,38820.5,0.3010849419731215,170.1394575812131,4.640351234183946
1610758800000.0,1610766000000.0,long,37175.0,36270.22,0.3140583904708627,-288.76696804642245,4.613217516195683
1610787600000.0,1610820000000.0,long,37515.85,36900.0,0.30389267592524816,-191.675190826114,4.522886357550376
1610920800000.0,1610924400000.0,long,36610.32,36220.01,0.3064354699665398,-124.06838756291309,4.463559280273637
1610964000000.0,1610967600000.0,long,36630.2,36289.11,0.3030514615437711,-107.7874837120165,4.419660694052665
1610974800000.0,1610989200000.0,long,37096.81,36243.44,0.2964793343986782,-257.35534329672515,4.348773700926532
1611010800000.0,1611032400000.0,long,36519.61,36379.0,0.2944705587212552,-45.69880414513644,4.293298883340577
1611043200000.0,1611082800000.0,long,37225.61,36554.04,0.28771955911654534,-197.46939398985288,4.245569673954606
1611579600000.0,1611601200000.0,long,34218.09,33704.46,0.30752564426460105,-162.13198185339513,4.177585189768916
1611860400000.0,1611864000000.0,long,32655.990000000005,32564.08,0.31751953592567167,-33.32494981881756,4.141729271887964
1611871200000.0,1611892800000.0,long,33197.11,33756.0,0.3113902411283843,169.86318285080347,4.169709013439048
1611910800000.0,1611946800000.0,long,36397.81,35259.13,0.28844114828265116,-332.5759287376935,4.133762011204207
1612098000000.0,1612101600000.0,long,34015.0,33725.83,0.29935848828672507,-90.62125255068936,4.055758492817606
1612144800000.0,1612191600000.0,long,33455.17,33568.84,0.3017945743258755,30.25949275010909,4.045496513512644
1612227600000.0,1612234800000.0,long,33794.57,33690.58,0.29961426664882557,-35.20079033419796,4.043902745387198
1612242000000.0,1612278000000.0,long,33909.71,34844.99,0.2976107597630564,274.2569636903348,4.092427700856202
1612296000000.0,1612342800000.0,long,35805.48,36063.73,0.28913000669033706,70.5119151941537,4.155909033625848
1612360800000.0,1612411200000.0,long,36577.43,37565.17,0.28485940623453243,277.14298651155957,4.224043402536889
1612501200000.0,1612504800000.0,long,37311.66,37106.66,0.2863102533784655,-62.954947553625374,4.261345611039946
1612508400000.0,1612519200000.0,long,37422.39,37311.35,0.2838649169226021,-35.76321775436905,4.242857379283069
1612526400000.0,1612551600000.0,long,37745.41,37453.9,0.2805355292611357,-85.99812778109867,4.219215646184443
1612569600000.0,1612627200000.0,long,38362.65,40886.91,0.27389219332179915,687.0339407528478,4.341167161637505
1612627200000.0,1612638000000.0,long,40886.91,40358.48,0.2729458546476543,-148.66789645340646,4.4351184819463985
1612688400000.0,1612699200000.0,long,39545.48,39125.98,0.2786330597636187,-121.27066249401227,4.384093923174229
1612742400000.0,1612749600000.0,long,38849.25,38581.73,0.2806610414062479,-79.42881369377983,4.346371896781271
1612764000000.0,1612789200000.0,long,38718.52,43506.1,0.2796598007837745,1334.2946848666393,4.598984169744313
1612789200000.0,1612843200000.0,long,43506.1,46695.41,0.27802063481824146,881.6784146178143,5.015576214352791
1612854000000.0,1612868400000.0,long,48209.97,45798.17,0.26826791293072405,-652.052425909581,5.043873503259864
1612897200000.0,1612922400000.0,long,47110.23,46365.24,0.2613814075995536,-199.61308483251878,4.886549984925969
1612954800000.0,1612962000000.0,long,46778.49,45695.36,0.2591812133984621,-285.52044459840107,4.7934969301254755
1613037600000.0,1613080800000.0,long,45550.41,46957.72,0.2602141534352675,361.3875953242198,4.8143849467659345
1613091600000.0,1613109600000.0,long,48112.92,47317.15,0.25349073787949994,-206.5584522544073,4.838127772038467
1613167200000.0,1613174400000.0,long,47961.99,47361.03,0.2501970636059026,-155.12833528421234,4.769907939609345
1613181600000.0,1613203200000.0,long,47738.47,47036.2,0.2482814623965884,-179.06678133040396,4.706158733150815
1613253600000.0,1613257200000.0,long,47195.01,47117.09,0.24753599378221938,-23.957132515349514,4.66912787983761
1613260800000.0,1613318400000.0,long,47221.62,48630.09,0.24691453673173858,343.03828143663134,4.733436113918991
1613386800000.0,1613401200000.0,long,47898.53,47626.55,0.25022878141327093,-72.83784884134145,4.780624872561043
1613408400000.0,1613433600000.0,long,48555.41,47981.58,0.24541847833202776,-145.56687765897874,4.738392237710837
1613448000000.0,1613494800000.0,long,49716.6,48263.71,0.23690490305474823,-348.8391677675778,4.642403168364837
1613530800000.0,1613610000000.0,long,49738.62,52370.0,0.2301372473509015,600.8787505866948,4.699799347519842
1613610000000.0,1613620800000.0,long,52370.0,52131.96,0.2294738191118934,-59.42004067457097,4.796092773175664
1613660400000.0,1613664000000.0,long,52301.01,51663.64,0.2286972061963816,-150.52002331302526,4.755284999636929
1613671200000.0,1613678400000.0,long,51924.75,51819.87999999999,0.22760053435214694,-28.590934682345058,4.722466644833155
1613685600000.0,1613692800000.0,long,52091.75,51619.7,0.22634945952388652,-111.543268499039,4.695006130787716
1613725200000.0,1613757600000.0,long,52320.71,54884.0,0.22333361594441914,567.6803413080557,4.788483106114565
1613757600000.0,1613793600000.0,long,54884.0,55836.19999999999,0.2227292048196557,207.15062440857923,4.932124420694649
1613822400000.0,1613862000000.0,long,56446.49,55496.05,0.22005022403536756,-214.07113113339128,4.9265962012176185
1613901600000.0,1613955600000.0,long,56884.89,56336.86000000001,0.21477927083859022,-122.56902077928461,4.863536981613831
1614031200000.0,1614034800000.0,long,54899.99,54128.16,0.220423621683594,-174.93603986173957,4.8064759376924275
1614258000000.0,1614265200000.0,long,51557.64,50872.11,0.2314897537653865,-163.43545841993515,4.74228752115002
1614614400000.0,1614625200000.0,long,49184.51,48475.6,0.23950226814957598,-174.46351648446415,4.677963570547417
1614639600000.0,1614668400000.0,long,49132.94,48663.259999999995,0.2363803461011139,-115.6465408774477,4.623419920674751
1614697200000.0,1614700800000.0,long,48920.06,48689.39,0.23516318557932453,-58.83592185851154,4.59082984092916
1614733200000.0,1614765600000.0,long,48517.29,51480.18,0.2359633652779474,694.4143474402813,4.719147908096117
1614765600000.0,1614783600000.0,long,51480.18,50846.57,0.2351972478074935,-153.83672217872316,4.813393995417087
1614823200000.0,1614830400000.0,long,51472.6,49611.69,0.2323926082335958,-437.15997694888813,4.698248360908238
1614974400000.0,1614996000000.0,long,49298.42,48658.54,0.23421744121744958,-154.45970199034906,4.588645704128012
1615071600000.0,1615129200000.0,long,48935.29,50679.25,0.2329568920828365,401.62632278785105,4.64117872893228
1615136400000.0,1615150800000.0,long,51072.46,50063.79,0.23067927564524535,-237.34527234338452,4.666007378295289
1615161600000.0,1615179600000.0,long,50995.27,50441.14,0.22660690039477294,-130.1669198072096,4.5972380914546696
1615212000000.0,1615262400000.0,long,51016.21,53877.22,0.22408998033522493,636.4225613056835,4.701113333198858
1615262400000.0,1615280400000.0,long,53877.22,54079.82,0.22341210123532917,40.439509880368064,4.823781829909297
1615298400000.0,1615345200000.0,long,54812.39,54014.990000000005,0.2203012943479467,-180.46321464795056,4.79496253489917
1615370400000.0,1615413600000.0,long,55282.48,57002.56,0.21532681618821903,365.5437539552772,4.835596033753365
1615464000000.0,1615510800000.0,long,56284.27,57443.16999999999,0.21766413556836411,247.3000897265753,4.950876983600599
1615564800000.0,1615582800000.0,long,57014.47,56735.09,0.21899707321468836,-66.16556645861237,4.982164143891717
1615590000000.0,1615597200000.0,long,57212.9,56750.0,0.21713887554644098,-105.46274068245015,4.9491551920023
1615626000000.0,1615665600000.0,long,57501.41,60804.75,0.21430700862992136,702.8581460371452,5.070767850418571
1615665600000.0,1615705200000.0,long,60804.75,61036.74,0.21364565116767906,44.35747372033138,5.206180894058051
1615755600000.0,1615759200000.0,long,60334.5,60139.81,0.216009248570424,-47.25955363920441,5.204713035028064
1615928400000.0,1615950000000.0,long,56438.35,55819.43,0.2301256757491139,-147.59606273076025,5.166679496119073
1616007600000.0,1616054400000.0,long,57614.18,58398.23,0.22299540099886486,169.66549737540169,5.174046777758944
1616083200000.0,1616094000000.0,long,59592.67,58297.11,0.21829663605989486,-287.9633782937251,5.146988479968215
1616144400000.0,1616187600000.0,long,58383.7,58415.45,0.21813133092709738,1.8301589488046055,5.0955108081307365
1616238000000.0,1616274000000.0,long,58776.99,58556.57,0.21670134582342068,-52.850578718848624,5.085268072450615
1616353200000.0,1616371200000.0,long,57418.98,57415.18,0.22095211002819679,-5.914188009170902,5.074569991063111
1616396400000.0,1616403600000.0,long,57712.86,57275.95,0.21972964618385088,-101.05536982146748,5.053290107280411
1616410800000.0,1616418000000.0,long,57988.16,57316.64,0.21703091987619066,-150.74554467728848,5.004941362028038
1616583600000.0,1616601600000.0,long,56513.8,56359.57,0.22015888932056063,-38.92512065452451,4.970015154613738
1616803200000.0,1616806800000.0,long,55030.0,54766.38,0.2254231614512539,-64.37618324088079,4.950129419100646
1616824800000.0,1616832000000.0,long,55189.53,54966.6,0.2236634231272429,-54.78886634060624,4.927579422849916
1616864400000.0,1616932800000.0,long,56180.01,55808.33,0.21879365592067518,-86.22169369841413,4.9004676658175175
1617004800000.0,1617051600000.0,long,55949.99,57342.30999999999,0.21822915729826936,298.90008365804823,4.944736631476545
1617087600000.0,1617138000000.0,long,58103.93,58710.08999999999,0.21502632004447456,125.31673638811598,5.02361777004033
1617174000000.0,1617177600000.0,long,59774.87,58244.23999999999,0.21100715313292118,-327.95445408312185,4.980575283276214
1617206400000.0,1617220800000.0,long,59367.07,58644.25,0.2072086160932566,-154.66512434463536,4.89059246010769
1617228000000.0,1617231600000.0,long,59041.98,58728.31,0.20586092383900553,-69.42125612061952,4.8488601400375195
1617238800000.0,1617253200000.0,long,59304.39,58936.5,0.20383796806222104,-79.81034662230411,4.820396551893719
1617332400000.0,1617372000000.0,long,59833.18,59298.0,0.20076931437503925,-112.23129873309145,4.7835770658578785
1617379200000.0,1617382800000.0,long,59547.65000000001,59349.99,0.1999415055284612,-44.274952611833996,4.754514629076199
1617447600000.0,1617462000000.0,long,59443.97,59241.92,0.19958265887525067,-45.063205325180085,4.737529099435106
1617544800000.0,1617584400000.0,long,58160.01,57978.12,0.20325263942770494,-41.69069887764472,4.7210762921395855
1617627600000.0,1617678000000.0,long,58002.51,58823.36,0.2031217162448306,161.9864865363298,4.745974243239094
1617778800000.0,1617782400000.0,long,58120.96,57887.07,0.2053554610921338,-52.79516529304707,4.764576498208018
1617894000000.0,1617915600000.0,long,57728.76,57725.1,0.20588180194566919,-5.5074971427984725,4.753969747676604
1617930000000.0,1617955200000.0,long,58341.09,58109.8,0.20363124875800934,-51.840479555174994,4.742608029936317
1617966000000.0,1617987600000.0,long,58700.01,58247.35,0.20154716421728028,-95.94642110873428,4.714081754139479
1618023600000.0,1618030800000.0,long,58766.29,61252.13,0.19976880376441494,491.79809591111353,4.795187238619027
1618030800000.0,1618077600000.0,long,61252.13,60230.0,0.19928906384297587,-208.54134281809053,4.842011992270139
1618113600000.0,1618117200000.0,long,60343.27,59992.72000000001,0.19900753423556714,-74.55164485621492,4.789553729939174
1618131600000.0,1618135200000.0,long,60052.81,59777.34,0.1987907194983493,-59.525103847429534,4.764224347219024
1618164000000.0,1618171200000.0,long,59959.49,59785.85,0.19815699665128256,-39.153656286005926,4.7456753874773385
1618182000000.0,1618196400000.0,long,60196.51,59786.89,0.19675885671230614,-85.31792220818642,4.721559321691062
1618200000000.0,1618221600000.0,long,60449.93,60114.99,0.19459318579149928,-69.86926402450467,4.692222375499449
1618279200000.0,1618329600000.0,long,60706.19,63420.340000000004,0.1926783522199276,518.1746506242813,4.783299053435482
1618329600000.0,1618340400000.0,long,63420.33999999999,62768.56,0.1921944060350814,-130.11903010228778,4.850560136744056
1618358400000.0,1618390800000.0,long,63649.70999999999,64000.0,0.18955972459647874,61.561427154418006,4.839448774484076
1618401600000.0,1618412400000.0,long,64623.03,63101.97000000001,0.18760966259307918,-290.1580422147674,4.792488830940208
1618459200000.0,1618470000000.0,long,63139.95,63029.98,0.18765068255420542,-25.37112025694809,4.735174696463265
1618495200000.0,1618498800000.0,long,63015.25,62747.46,0.18763953407618478,-54.967602091973355,4.719611261711669
1618513200000.0,1618538400000.0,long,62831.05999999999,63119.99999999999,0.1873584963823136,49.41576370083442,4.719600243871713
1618592400000.0,1618596000000.0,long,61799.66,61659.03,0.1912450311736783,-31.616960937497566,4.722172203542297
1618599600000.0,1618614000000.0,long,61877.49,61606.02,0.19051906905616403,-56.42540435047458,4.705192673797504
1618628400000.0,1618653600000.0,long,62230.98999999999,61794.59,0.18857546145737278,-86.97196757620004,4.677636196203661
1619431200000.0,1619470800000.0,long,53467.59,53177.17,0.21793790008118488,-67.94191195138973,4.648387009812389
1619478000000.0,1619546400000.0,long,53601.4,54884.28,0.216189679199572,272.6547187801569,4.690696871389485
1619560800000.0,1619582400000.0,long,55274.55,54788.88,0.21433175762605194,-108.81252240669622,4.718017680450387
1619614800000.0,1619622000000.0,long,55192.65,54515.29,0.2127768744063336,-148.79520616202578,4.668662514151517
1619632800000.0,1619643600000.0,long,54864.58,54389.65,0.21147275913437785,-105.05561618873053,4.620858693040384
1619758800000.0,1619798400000.0,long,54136.77,57138.23,0.21247224900875156,632.9983866081191,4.728569901689767
1619798400000.0,1619856000000.0,long,57138.23,57770.19,0.21183557389242236,129.00327105790075,4.868338219154301
1619899200000.0,1619906400000.0,long,57797.74,57499.42999999999,0.21153877038708144,-67.98209490835336,4.877964314182059
1619913600000.0,1619917200000.0,long,57836.34,57496.01999999999,0.210280938603468,-76.4132484079643,4.850439382430613
1619924400000.0,1619928000000.0,long,57697.08,56510.01,0.20953031374554373,-253.51311901785564,4.78596947993311
1619989200000.0,1619992800000.0,long,57056.39,56704.46,0.20766210080123843,-77.80728655496681,4.724763419986913
1620003600000.0,1620050400000.0,long,57456.12000000001,57774.53,0.20493087401842577,60.52917603256242,4.722863563642264
1620212400000.0,1620216000000.0,long,55700.0,55191.6,0.2124243376398293,-112.7077481920537,4.711214935964179
1620223200000.0,1620262800000.0,long,56271.73,57024.72,0.20836329797850608,152.17411535058346,4.721364394251383
1620298800000.0,1620320400000.0,long,58062.54,56794.28,0.20442661749449983,-263.9620601453297,4.695958241754924
1620381600000.0,1620424800000.0,long,56293.78,57435.420000000006,0.2063951771972149,230.9343584181303,4.6946316772994985
1620446400000.0,1620489600000.0,long,58172.21,57660.76,0.20350184974403163,-108.79546578285337,4.714444731268985
1620504000000.0,1620529200000.0,long,59097.42,58661.47,0.19856698729326158,-91.24188371335653,4.676605602859718
1620594000000.0,1620633600000.0,long,57885.9,58465.01,0.2012254600287264,111.84912307933368,4.682553077902188
1620781200000.0,1620802800000.0,long,57387.2,57080.01,0.2048257019614517,-67.60957271350111,4.6891653279637815
1622012400000.0,1622037600000.0,long,40546.99,38883.27,0.288311029487624,-484.24894998576406,4.580124006613929
1622116800000.0,1622120400000.0,long,39677.21,39324.95,0.28303673385900674,-104.17462253601563,4.472102666841334
1622124000000.0,1622134800000.0,long,39875.28,38868.96,0.2791489372771478,-285.30943274327865,4.396274182539335
1622505600000.0,1622512800000.0,long,37243.38,37196.69,0.2915980792968466,-17.95603060931289,4.341316286944563
1622620800000.0,1622674800000.0,long,37218.19,37518.32,0.2913371081571603,83.08430253177602,4.354703739431739
1622696400000.0,1622750400000.0,long,37964.43,38612.05,0.2876895539548185,181.9074582572943,4.406050674926016
1622854800000.0,1622887200000.0,long,37692.81,36312.98,0.2943474370362242,-410.5061069681598,4.356682922468206
1623254400000.0,1623294000000.0,long,36339.26,37100.0,0.29457950482683487,219.77167233283592,4.326740169129836
1623319200000.0,1623340800000.0,long,37404.26,36893.51,0.2917738328545947,-153.35911415557405,4.335629025089824
1623405600000.0,1623427200000.0,long,37036.85,36805.77,0.29073458317437917,-71.47666814917686,4.293720669240814
1623438000000.0,1623448800000.0,long,37153.17,36872.37,0.2879966988577365,-85.13329526948341,4.263822230232266
1623452400000.0,1623459600000.0,long,37320.62,37039.9,0.2845374402031445,-84.10702061642199,4.231670402594946
1623600000000.0,1623618000000.0,long,36007.59,39220.62,0.2926941795329451,936.0314078240038,4.403771840736418
1623618000000.0,1623661200000.0,long,39220.62,39004.43,0.2913886075600406,-67.55408074756876,4.558777679162912
1623679200000.0,1623747600000.0,long,40520.34,39786.78,0.28045829508664766,-210.23754653546436,4.504559591703765
1623780000000.0,1623787200000.0,long,40682.89,39950.0,0.27442838509070033,-205.55140990670242,4.425590757579216
1623913200000.0,1623934800000.0,long,39229.26,38792.83,0.27961949738820546,-126.39763676333006,4.363299518195467
1624557600000.0,1624579200000.0,long,34966.36,34644.64,0.3102750246003893,-104.14139186192915,4.31971094749154
1624590000000.0,1624600800000.0,long,35137.83,34456.53,0.3059452984694056,-212.69894529560437,4.258413448397453
1624834800000.0,1624885200000.0,long,34392.99,34412.01,0.3066959252128533,1.6129138706956452,4.220442626854075
1624928400000.0,1624935600000.0,long,34901.0,34306.78,0.3022756413014977,-183.8021967906869,4.183965216510593
1624942800000.0,1625004000000.0,long,34853.23,36226.33,0.2976800161738931,404.5126372942855,4.2317929140866415
1625094000000.0,1625101200000.0,long,34884.76,34718.44,0.30842686249072626,-55.591055088520406,4.293499319062905
1625299200000.0,1625349600000.0,long,34477.46,34533.19,0.3105386989995172,13.020226201621881,4.286095493622207
1625374800000.0,1625436000000.0,long,34753.83,35887.4,0.30842513726111437,345.26397663327253,4.35750621180879
1625436000000.0,1625439600000.0,long,35887.4,35357.23,0.3078226777615833,-167.58449162540472,4.3861425565466465
1625547600000.0,1625565600000.0,long,34623.48,34184.12,0.31446146657866014,-142.48925771755185,4.3274677615515635
1625630400000.0,1625673600000.0,long,34434.87,34534.9,0.31225282697525025,26.927449150667357,4.307201131666561
