opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1503662400000.0,1503666000000.0,long,4361.27,4309.69,4.356529176134474,-245.48618452882206,20.77640962380224
1503676800000.0,1503691200000.0,long,4394.36,4307.17,4.217582594369883,-387.9157082129215,20.184681809813057
1503777600000.0,1503824400000.0,long,4293.52,4302.14,4.144975778333556,16.133849834899962,19.59584137433484
1503864000000.0,1503874800000.0,long,4368.41,4315.16,4.08093350177227,-236.8000984197649,19.490389450391547
1503918000000.0,1503925200000.0,long,4290.77,4280.0,4.0499189030126175,-62.70863447545306,19.0910078900054
1503928800000.0,1503936000000.0,long,4347.0,4273.59,3.9701228723202417,-310.2703608995707,18.823640842542336
1503939600000.0,1503975600000.0,long,4322.65,4314.78,3.8561092015932137,-48.66635973215267,18.3187803156145
1503979200000.0,1503993600000.0,long,4376.99,4329.02,3.787110401617508,-199.80152753076172,18.133841565172325
1504008000000.0,1504040400000.0,long,4368.5,4577.54,3.7075704370990885,756.788083782985,18.242440388208266
1504040400000.0,1504087200000.0,long,4577.54,4482.0,3.852378966356393,-387.25171618316506,19.195429737475422
1504112400000.0,1504123200000.0,long,4589.99,4536.82,3.681629056470064,-214.23305782139843,18.48084088888485
1504134000000.0,1504206000000.0,long,4547.9,4700.13,3.6262006075433444,533.5721518838066,18.444366602518492
1504206000000.0,1504216800000.0,long,4700.13,4724.709999999999,3.7244469475579627,72.24063185789886,19.306274113072206
1504227600000.0,1504242000000.0,long,4721.05,4672.0,3.7370165603320493,-202.60675315540254,19.306090871114826
1504256400000.0,1504324800000.0,long,4749.99,4788.07,3.633205375413498,119.29290872108669,19.05955197465906
1504400400000.0,1504404000000.0,long,4600.53,4560.0,3.80050683893604,-173.18260348438005,19.14806130230332
1504407600000.0,1504432800000.0,long,4568.91,4523.47,3.7547902631284265,-189.3946584975192,18.776988940965005
1504479600000.0,1504483200000.0,long,4521.19,4509.08,3.7148292661809856,-63.436833616084414,18.450251202633893
1504641600000.0,1504648800000.0,long,4442.48,4374.43,3.7535158168622598,-273.62867746494214,18.201926127468067
1504652400000.0,1504656000000.0,long,4423.46,4366.47,3.6521240067528264,-225.79060004871505,17.65605290387228
1504659600000.0,1504674000000.0,long,4442.05,4388.48,3.5402623380687515,-206.84616948164765,17.19431603130244
1504684800000.0,1504749600000.0,long,4461.29,4453.01,3.4369015681121753,-45.30820939071024,16.850664406742304
1504782000000.0,1504818000000.0,long,4589.4,4620.0,3.3222052989412165,84.83194753356435,16.827534614038083
1505196000000.0,1505206800000.0,long,4325.0,4293.15,3.562568716595281,-130.3543269952701,16.886513371709093
1505703600000.0,1505707200000.0,long,3845.78,3830.0,3.9420966560707007,-78.84855190170035,16.6422666689039
