month,pnl_usdt
2021-01,440.04
2021-02,888.41
2021-03,494.21
2021-04,374.28
2021-05,-1318.66
2021-06,-680.01
2021-07,543.79
2021-08,452.05
2021-09,381.67
2021-10,2419.28
2021-11,-367.09
2021-12,-65.9
2022-02,840.64
2022-03,1037.71
2022-04,-881.52
2022-07,-1094.38
2022-08,-1035.63
2022-09,-330.3
2022-10,-180.37
2022-11,162.66
2022-12,-16.89
2023-01,3193.53
2023-02,66.89
2023-03,-912.05
2023-04,-249.36
2023-05,-769.92
2023-06,451.26
2023-07,-1401.25
2023-08,-326.73
2023-09,-395.32
2023-10,2157.9
2023-11,-463.66
2023-12,849.76
2024-01,-570.98
2024-02,3450.15
2024-03,353.38
2024-04,-1065.0
2024-05,318.8
2024-06,-704.91
2024-07,-40.27
2024-08,7.53
2024-09,-9.34
2024-10,1229.65
2024-11,4895.77
2024-12,37.64
2025-01,-840.31
2025-02,-338.15
2025-03,-1063.44
2025-04,-504.45
2025-05,318.69
2025-06,-70.62
2025-07,478.92
2025-08,-571.69
2025-09,-521.74
2025-10,611.84
2025-12,-112.93
2026-01,854.95
2026-03,-1295.64
