month,pnl_usdt
2018-07,-1240.41
2018-08,969.72
2018-10,-398.14
2018-11,3404.07
2018-12,1768.61
2019-03,-1439.34
2019-04,923.64
2019-05,6285.72
2019-06,-1745.2
2019-07,-1443.38
2019-10,578.29
2019-11,1272.97
2019-12,-779.42
2020-01,602.49
2020-02,-2553.02
2020-03,601.15
2020-05,1014.7
2020-06,257.76
2020-07,1907.23
2020-08,755.32
2020-09,-370.62
2020-11,8813.35
2020-12,4820.73
2021-01,12996.27
2021-02,-5000.29
2021-03,-2635.61
2021-05,9081.35
2021-06,6035.26
2021-08,13552.64
2021-09,1616.2
2021-10,12862.86
2021-11,-1877.62
2021-12,8144.25
2022-01,-3377.98
2022-02,309.94
2022-03,-8693.3
2022-05,13299.57
2022-06,3745.06
2022-07,-809.01
2022-08,-1324.29
2022-09,6027.67
2022-10,-1178.87
2022-11,11183.56
2023-01,26517.29
2023-02,-6370.77
2023-03,-4221.41
2023-04,-1040.98
2023-05,-7446.49
2023-06,-377.37
2023-07,8810.87
2023-08,2261.2
2023-09,-10651.61
2023-10,16506.16
2023-11,15739.52
2023-12,4561.59
2024-01,-22694.46
2024-02,23273.26
2024-03,-19770.02
2024-04,-4888.41
2024-06,1760.44
2024-07,-12547.77
2024-08,8690.5
2024-10,4816.04
2024-11,27278.39
2024-12,18402.65
2025-01,-2456.64
2025-02,11137.54
2025-03,443.0
2025-04,-14350.1
2025-05,-1518.01
2025-06,-8202.6
2025-07,4497.43
2025-08,-22978.07
2025-09,5051.16
2025-10,-5701.1
2025-11,11748.59
2025-12,-4947.59
2026-01,-3417.51
2026-02,30777.17
2026-03,-8825.6
