month,pnl_usdt
2018-07,-3779.99
2018-08,1749.61
2018-10,-993.96
2018-11,8720.5
2018-12,6510.4
2019-03,-6352.09
2019-04,3300.32
2019-05,30463.49
2019-06,-12864.77
2019-07,-8438.33
2019-10,2819.7
2019-11,6666.94
2019-12,-4844.7
2020-01,3213.86
2020-02,-14151.8
2020-03,-19533.83
2020-05,445.01
2020-06,121.25
2020-07,959.28
2020-08,375.83
2020-09,-243.97
2020-11,6309.17
2020-12,4871.05
2021-01,21027.34
2021-02,-14644.56
2021-03,-4304.17
2021-05,12061.55
2021-06,10955.94
2021-08,30765.67
2021-09,4648.64
2021-10,41847.14
2021-11,-11174.54
2021-12,31503.05
2022-01,-16033.79
2022-02,1085.15
2022-03,-46343.57
2022-05,39381.21
2022-06,14215.31
2022-07,-3621.14
2022-08,-5651.9
2022-09,23939.09
2022-10,-5525.2
2022-11,48083.11
2023-01,152185.82
2023-02,-48875.07
2023-03,-56803.85
2023-04,-7148.52
2023-05,-43160.88
2023-06,-4839.04
2023-07,40224.95
2023-08,11570.44
2023-09,-57618.59
2023-10,71589.19
2023-11,91406.67
2023-12,28357.4
2024-01,-155069.01
2024-02,118000.98
2024-03,-151296.26
2024-04,-19762.54
2024-06,6130.77
2024-07,-52539.98
2024-08,15507.51
2024-10,13970.3
2024-11,86825.98
2024-12,81051.26
2025-01,-13432.6
2025-02,56541.98
2025-03,1815.46
2025-04,-82291.55
2025-05,-8370.16
2025-06,-39903.34
2025-07,18050.6
2025-08,-92146.37
2025-09,15326.68
2025-10,-19814.77
2025-11,27365.57
2025-12,-16741.76
2026-01,-11025.87
2026-02,97606.73
2026-03,-39327.61
2026-05,18932.78
