month,pnl_usdt
2021-01,1769.55
2021-02,-326.34
2021-03,-579.46
2021-05,-219.29
2021-08,1760.94
2021-10,2354.64
2021-11,-110.62
2022-02,36.08
2022-03,-1294.51
2022-07,-448.51
2022-08,182.09
2022-09,-495.49
2022-10,117.97
2022-11,-1335.35
2023-01,2837.69
2023-02,-277.04
2023-03,2036.74
2023-04,-249.24
2023-05,-884.48
2023-06,1067.74
2023-07,35.76
2023-09,-939.28
2023-10,1935.09
2023-11,2227.73
2023-12,388.32
2024-01,-1664.79
2024-02,3120.52
2024-03,-272.46
2024-05,93.64
2024-07,370.76
2024-10,1026.39
2024-11,9507.35
2024-12,1896.88
2025-01,-468.43
2025-04,568.57
2025-05,333.28
2025-06,5.67
2025-07,435.16
2025-08,-3708.51
2025-10,-408.43
2026-01,-92.56
2026-03,-2072.7
