opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1531994400000.0,1532080800000.0,long,7411.49,7440.0,3.845380618472129,78.22150394185329,31.410297490787954
1532167200000.0,1533290400000.0,long,7326.34,7359.89,3.9205020905710466,99.86527765897534,31.667567479683974
1539597600000.0,1540299600000.0,long,6860.84,6567.99,4.227987728552533,-1269.3935169534607,31.22731064684996
1550606400000.0,1551729600000.0,long,3967.2100000000005,3718.17,6.3999071902533515,-1620.8850319577034,27.05214529700612
1554256800000.0,1555812000000.0,long,4935.43,5297.39,4.208397943677765,1499.5866414382904,23.68507825531359
1556244000000.0,1556503200000.0,long,5310.01,5319.56,4.7163894966797955,17.468263927070442,27.573255766222463
1556935200000.0,1557626400000.0,long,5883.94,7159.67,4.264805545851392,5410.14472586274,30.59565314625747
1557626400000.0,1558958400000.0,long,7159.670000000001,8686.99,5.658469232822971,8592.97591774602,49.31731092915356
1558958400000.0,1559649600000.0,long,8686.99,7943.56,7.48277064641974,-5631.359606923422,68.4434252555987
1561204800000.0,1563192000000.0,long,10867.04,10298.05,4.504757403856989,-2615.6008929550353,52.438977734439746
1563710400000.0,1563796800000.0,long,10585.11,10562.0,3.9204993007241495,-136.20171532177255,45.59897648203517
1572033600000.0,1573070400000.0,long,8634.87,9293.5,4.761014521865547,3088.800518078443,46.94647645785824
1578528000000.0,1579996800000.0,long,8059.839999999999,8344.64,6.192904938676788,1707.8640646705169,55.87526186463353
1580169600000.0,1580601600000.0,long,8913.61,9392.74,6.145796767556095,2882.756696578484,61.878908660662795
1580947200000.0,1581120000000.0,long,9630.0,9821.52,6.541754113240327,1182.8908642349634,69.98588353282707
1581379200000.0,1581984000000.0,long,9865.56,9716.0,6.727274586903735,-1078.582979245281,72.45179202796189
1582070400000.0,1582156800000.0,long,10174.32,9593.65,6.220992615007681,-3679.980799217542,67.63701746103138
1582502400000.0,1582675200000.0,long,9943.12,9326.0,5.310850548414879,-3333.7165695235044,56.28447908570967
1588291200000.0,1590278400000.0,long,8624.76,9176.41,5.021047783568813,2720.7017209603464,49.15928884538741
1591142400000.0,1591228800000.0,long,9514.9,9663.59,5.366249985449132,741.3035959105442,56.60411442588998
1595808000000.0,1595894400000.0,long,9939.69,11047.58,5.349467361144561,5864.872501012955,61.74889372549063
1595894400000.0,1597622400000.0,long,11047.58,11921.23,6.325994820836954,5446.790060018769,79.91531520543342
1597708800000.0,1597968000000.0,long,12298.06,11857.92,6.945021046720817,-3149.0516477309884,92.27008422729193
1603324800000.0,1604620800000.0,long,12796.07,15598.75,5.973356533513969,16648.12007838821,93.28681096072421
1604620800000.0,1605916800000.0,long,15598.75,18664.31,7.941830631378057,24196.497029639315,149.66128068800936
1605916800000.0,1607644800000.0,long,18664.31,18253.51,10.332160529678328,-4454.24400904706,209.79246345517305
1608249600000.0,1609286400000.0,long,22816.99,27402.83,7.8953469177966245,35988.72111393136,218.0765955771157
1609286400000.0,1609718400000.0,long,27402.83,33054.53,10.317033198563822,57965.719203703484,343.0573246196385
1609718400000.0,1611187200000.0,long,33054.53,35500.0,13.550887172655477,32627.351968451374,510.9360856624338
1611964800000.0,1612137600000.0,long,34269.35,33126.21,15.783963211594093,-18628.35267751729,585.0729718156304
1612828800000.0,1613692800000.0,long,46451.32,51619.69999999999,10.501646768150353,53710.0521579451,566.4489656277148
1613779200000.0,1614384000000.0,long,56004.1,46313.13,11.443608650160641,-111543.65120650595,643.9830860586617
1614643200000.0,1615161600000.0,long,49592.7,50995.27,6.512845585457531,8774.409178794618,360.312654000549
1616025600000.0,1616112000000.0,long,58959.0,57700.01,5.902350165801394,-7809.709115100935,378.70927985864955
1627344000000.0,1628553600000.0,long,37218.09,46259.7,8.752168433346437,78731.85720544154,401.8364231879376
1628553600000.0,1629072000000.0,long,46259.7,47006.01999999999,11.8920958303438,8265.290276142789,610.0186839593068
1633132800000.0,1633996800000.0,long,48123.94,57500.01,11.920903873829996,111078.70605920289,692.5231250983243
1633996800000.0,1636070400000.0,long,57500.01,61431.86,15.482696003682268,59862.875988480395,1012.7622935977025
1636588800000.0,1636675200000.0,long,64920.130000000005,64831.299999999996,16.341069736087398,-2617.729665949675,1166.1524412928843
1646179200000.0,1646352000000.0,long,44394.1,42449.5,23.728464864878525,-47275.73869747951,1133.3659212367606
1659052800000.0,1659225600000.0,long,23836.2,23629.9,38.540874248835266,-8957.144102685139,1006.1617451504519
1662768000000.0,1662940800000.0,long,21352.0,21820.3,41.82934273498663,18595.453289447494,993.2279133467149
1673568000000.0,1673740800000.0,long,18838.0,20962.8,50.22492663511838,105618.47837128903,1099.4457430104608
1673740800000.0,1675036800000.0,long,20962.8,23740.299999999996,59.49347564783968,163780.3800766964,1462.7485351781181
1675036800000.0,1675728000000.0,long,23740.3,22757.7,72.19470329057,-72784.81557579669,1846.300122482708
1675987200000.0,1676073600000.0,long,21793.4,21618.6,69.12584498692718,-13733.687854129937,1650.4901504148656
1676505600000.0,1677888000000.0,long,24332.6,22342.8,60.303715170340546,-121540.4174608275,1548.0850148839422
1678752000000.0,1679443200000.0,long,24119.5,28091.1,46.47509235226559,183245.905935036,1334.570851221959
1679443200000.0,1680393600000.0,long,28091.1,28443.8,58.49563818808529,18812.536808467954,1818.8747804697707
1682553600000.0,1682985600000.0,long,28395.9,28054.4,59.75589968303369,-22261.92089688844,1855.2811551324362
1683158400000.0,1683590400000.0,long,29018.4,27659.8,56.28759949733012,-78226.9865790791,1754.653902006267
1687305600000.0,1688342400000.0,long,28290.6,30612.7,49.855046040131676,114153.25770641124,1615.1447033786285
1689379200000.0,1689465600000.0,long,30293.3,30276.4,57.29867495341285,-2877.157560491704,1908.8099537791518
1693353600000.0,1693526400000.0,long,27700.1,25928.0,62.36678029750144,-112359.70792696206,1839.5365617598404
1696291200000.0,1696982400000.0,long,27477.6,27381.2,51.21775130750056,-6482.750632528294,1545.3594064853517
1697068800000.0,1697155200000.0,long,26864.5,26744.0,51.69889795173079,-7754.042407148509,1524.3252039649483
1697500800000.0,1698105600000.0,long,28486.300000000003,33074.0,47.97976652509798,218492.26803552362,1624.506851668244
1698105600000.0,1699315200000.0,long,33074.0,35057.4,60.152052581034695,117051.54713385357,2254.033955370729
1699574400000.0,1699833600000.0,long,36719.5,37085.5,63.265183251314,20586.94930255615,2568.1077674247763
1700006400000.0,1701043200000.0,long,35559.0,37437.9,66.97991231218283,123159.42796477678,2689.1292785836486
1701820800000.0,1702252800000.0,long,44081.7,43810.0,61.99268793192013,-19840.166812550786,2996.753501448269
1702339200000.0,1703462400000.0,long,41271.0,43008.4,64.8445299651754,109655.10441818497,3005.7819433108516
1704758400000.0,1705104000000.0,long,46972.7,42788.9,63.626652157201534,-269342.3638504501,3141.176555150624
1707868800000.0,1708819200000.0,long,49696.4,51602.1,44.69317509539519,82681.74040072398,2490.0433785704895
1708992000000.0,1709164800000.0,long,54511.6,62487.9,45.06807481256945,356576.3669070295,2900.118220468271
1709164800000.0,1710201600000.0,long,62487.9,72153.8,55.578368174284854,533099.2076500036,4115.741285816386
1710201600000.0,1710892800000.0,long,72153.8,61974.100000000006,69.18981750705305,-709435.74198453,5104.1567079823435
1711411200000.0,1711756800000.0,long,69920.5,69903.6,42.4827681407383,-3985.0219330113036,3267.0631514330735
1721088000000.0,1721865600000.0,long,64680.600000000006,65350.8,45.74878831172578,27389.009480655946,3271.828445862537
1721952000000.0,1722211200000.0,long,65773.0,68215.5,46.175752273657594,109381.41404747324,3402.860880935434
1722297600000.0,1722384000000.0,long,66750.0,66159.3,50.170109128548006,-33302.92420909257,3667.440746859409
1728950400000.0,1729382400000.0,long,66064.9,68357.1,49.25371037169006,109257.9246734177,3641.4302405708268
1729900800000.0,1729987200000.0,long,66662.8,67071.8,53.483000048811434,17940.6568298836,3933.890190080278
1730246400000.0,1731369600000.0,long,72739.5,88728.9,49.71793052769231,790544.5472979934,4415.331081489698
1731369600000.0,1733011200000.0,long,88728.9,96475.1,66.15104399376479,505680.9261109999,6738.290873501668
1733443200000.0,1734739200000.0,long,97001.5,97764.4,75.36687584042213,49423.996006871166,8073.39357178644
1737158400000.0,1737936000000.0,long,104042.5,102560.1,71.6203320321435,-114308.30095033637,8138.320745887272
