opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1503068400000.0,1503072000000.0,short,4259.4,4236.89,4.460722167441424,79.56608195989737,20.844774029205993
1503079200000.0,1503172800000.0,short,4193.35,4076.12,4.567034842243982,514.6216678669739,20.771826689290236
1503298800000.0,1503313200000.0,short,3982.96,4088.1,5.053768233843938,-553.7872887591476,22.434096652796647
1503316800000.0,1503320400000.0,short,4023.11,4000.0000000000005,4.741794501276045,88.65870453986477,20.92416638462307
1503324000000.0,1503378000000.0,short,3951.4900000000002,3500.8,4.870368497618473,2175.063909043555,19.962469148114444
1503378000000.0,1503396000000.0,short,3500.8,3904.5599999999995,6.677854730872135,-2723.4491812073247,27.198555070396203
1503396000000.0,1503428400000.0,short,3904.56,4043.76,4.662056774013781,-669.3388384466357,20.380535503916068
1503428400000.0,1503439200000.0,long,4043.7599999999998,3946.67,4.187077523021801,-424.9244591289389,18.401102418753503
1503676800000.0,1503691200000.0,long,4394.36,4307.17,3.669289755993968,-337.48601301487344,17.560639189760806
1503691200000.0,1503723600000.0,short,4307.17,4297.94,3.5946936636866873,16.16601860005,17.013003915779823
1503792000000.0,1503802800000.0,long,4337.44,4368.1,3.5766885865306466,92.53591900636005,17.125353056672303
1503810000000.0,1503817200000.0,short,4328.0,4314.9,3.6251133061168144,30.256663823741224,17.23232048639036
1503878400000.0,1503882000000.0,short,4310.01,4282.2,3.6535827179377023,84.34034290515862,17.26579248069033
1503885600000.0,1503939600000.0,short,4280.04,4322.65,3.716606550793563,-175.94965283395797,17.58504770464545
1503939600000.0,1503954000000.0,long,4322.65,4312.43,3.6026327279039387,-53.928868478013705,17.10996199883781
1504011600000.0,1504044000000.0,long,4408.08,4618.93,3.5095677735353563,722.5678681868715,17.42449686305977
1504044000000.0,1504058400000.0,long,4618.93,4597.55,3.6465879458491006,-96.44883796139179,18.484787679137625
1504090800000.0,1504126800000.0,short,4477.1,4547.74,3.7211770272261377,-281.3346102085676,18.470665005315347
1504209600000.0,1504260000000.0,long,4698.77,4742.46,3.4318653411845785,132.1176302480192,17.820566508333645
1504274400000.0,1504332000000.0,long,4777.02,4473.35,3.42819778997557,-1058.4824767766324,17.441653894750974
1504332000000.0,1504414800000.0,short,4473.35,4690.79,3.211341098012339,-714.460057027268,16.18604867546634
1504414800000.0,1504422000000.0,long,4690.79,4605.12,2.7730890942552717,-251.7486553580475,14.178112653198188
1504422000000.0,1504425600000.0,short,4605.12,4620.87,2.7208099131534897,-56.658946910027694,13.80619077786023
1504447200000.0,1504454400000.0,short,4303.1,4384.15,2.8867570235719233,-247.76454573466614,13.792888974163855
1504458000000.0,1504461600000.0,short,4459.11,4476.13,2.68018764086028,-58.78825954630936,13.171465898866224
1504512000000.0,1504569600000.0,short,4186.96,4100.11,2.8277207850322177,232.69911413273982,12.888436047309318
1504573200000.0,1504612800000.0,short,3999.99,4246.82,3.0704282098082,-771.8004759626683,13.926680935710598
1504825200000.0,1504828800000.0,long,4670.45,4691.61,2.3156786242485485,37.07602246758615,11.923737221512802
1504832400000.0,1504839600000.0,long,4614.49,4640.97,2.359026820582566,50.45839710177145,12.008633107256014
1504879200000.0,1504944000000.0,short,4353.05,4321.52,2.5227315624225337,67.50573982198785,12.035986341194002
1505026800000.0,1505052000000.0,short,3810.0499999999997,4108.31,2.9159295897600264,-882.4043185663321,12.699159124504712
1505052000000.0,1505080800000.0,short,4108.31,4196.2,2.2961435062566258,-212.29564345492224,10.487590690028767
1505095200000.0,1505120400000.0,long,4260.0,4166.62,2.119696621038687,-207.76130334002016,9.824032867427363
1505120400000.0,1505127600000.0,short,4166.62,4176.24,2.0724618825999896,-29.446725948639155,9.509642638027483
1505127600000.0,1505131200000.0,long,4176.24,4191.53,2.054291024935434,21.955700625914524,9.454409145348185
1505242800000.0,1505300400000.0,short,4094.25,3820.02,2.1056184114711103,568.2582990337781,9.165437943944404
1505300400000.0,1505361600000.0,short,3820.0199999999995,3806.0,2.539415748956752,24.951509390949923,10.651099409422544
1505390400000.0,1505455200000.0,short,3481.02,3300.0,2.8003363431329262,496.4728596216911,10.44402521223118
1505458800000.0,1505487600000.0,short,3100.0,3780.0000000000005,3.448814596920579,-2358.2442403407426,13.050314434747472
1505487600000.0,1505523600000.0,long,3780.0,3735.0,1.643032061853541,-80.7275050530655,6.791062269656148
1505527200000.0,1505530800000.0,long,3830.0,3818.98,1.581534969766465,-24.081936511000777,6.653421144174362
1505718000000.0,1505779200000.0,long,3950.0100000000007,4035.01,1.5219007685637904,122.677740886673,6.683824441248482
1505804400000.0,1505818800000.0,short,3964.92,4000.0,1.574965185304959,-62.14923813755439,6.899459437056546
1505818800000.0,1505822400000.0,long,4000.0,3969.01,1.5316318525144963,-54.1783453613775,6.713074251953602
1505829600000.0,1505833200000.0,short,3930.0,3946.37,1.5327197338095084,-31.730369293843346,6.639747251381859
1506009600000.0,1506063600000.0,short,3727.44,3731.5400000000004,1.5998381871238885,-13.122575139754863,6.5632385725463385
1506067200000.0,1506070800000.0,short,3658.46,3647.6999999999994,1.623187887648774,10.94290294162872,6.522598729473182
1506092400000.0,1506106800000.0,short,3596.49,3559.99,1.6569375905498491,53.956409654659495,6.521812400410001
1506229200000.0,1506272400000.0,short,3672.66,3690.0000000000005,1.6504867462222148,-35.303025190311445,6.683585010817249
1506351600000.0,1506384000000.0,long,3937.7499999999995,3920.75,1.5223416685972675,-32.45963546762225,6.5798271014693945
1506405600000.0,1506409200000.0,long,3851.0000000000005,3869.9999999999995,1.540619994321061,22.729460055214652,6.5423198368841025
1506412800000.0,1506420000000.0,long,3925.0,3892.61,1.5225767063019917,-55.86286050384575,6.546600986724433
1506423600000.0,1506427200000.0,long,3937.0,3949.4500000000003,1.4909764128214404,12.095475327634734,6.467181011992608
1506510000000.0,1506574800000.0,long,4075.43,4242.01,1.4459714779546002,234.25519924239856,6.614729555279291
1506574800000.0,1506610800000.0,long,4242.01,4128.99,1.4941125596028941,-175.74357041635946,6.878968930039706
1506610800000.0,1506618000000.0,short,4128.99,4154.0,1.454139543852126,-42.99257280692444,6.624542815182448
1506618000000.0,1506625200000.0,long,4154.0,4147.01,1.4257202086752128,-16.474988998817693,6.509204740178266
1506625200000.0,1506646800000.0,short,4147.01,4195.98,1.420575129488253,-76.08407834580187,6.51851425476306
1506654000000.0,1506686400000.0,short,4008.01,4220.01,1.4337737477905634,-310.4484500213621,6.488415489762643
1506686400000.0,1506693600000.0,long,4220.01,4158.0,1.2219704369993125,-81.40511109581418,5.630724297486536
1506693600000.0,1506704400000.0,short,4158.0,4200.01,1.2029960925347336,-56.06792520163585,5.530059354251426
1506704400000.0,1506740400000.0,long,4200.01,4220.0,1.1655992949722296,17.902433160682094,5.397896745812519
1506744000000.0,1506754800000.0,long,4214.0,4280.0,1.169801451799148,71.74193437637368,5.464961442370079
1506870000000.0,1506880800000.0,short,4305.01,4291.84,1.1767343149485645,9.933676310366618,5.563914617506063
1506898800000.0,1506902400000.0,long,4378.48,4378.48,1.1612995784350773,-5.593199676005058,5.593199676005058
1506909600000.0,1506938400000.0,long,4437.98,4475.96,1.1433354586550653,37.81848769664187,5.605393023078053
