month,pnl_usdt
2017-08,0.93
2017-09,-734.85
2017-10,2463.69
2017-11,230.29
2017-12,2311.2
2018-01,324.52
2018-02,2065.3
2018-03,196.52
2018-04,-447.29
2018-05,348.07
2018-06,485.08
2018-07,883.06
2018-08,-891.97
2018-09,779.83
2018-10,-515.34
2018-11,-352.23
2018-12,39.68
2019-01,-675.72
2019-02,2179.68
2019-03,-723.11
2019-04,1497.8
2019-05,2738.29
2019-06,3977.43
2019-07,598.47
2019-08,-903.82
2019-09,364.33
2019-10,4768.68
2019-11,-464.69
2019-12,-898.47
2020-01,6013.7
2020-02,801.98
2020-03,-4140.17
2020-04,8341.53
2020-05,-2472.33
2020-06,3058.71
2020-07,5595.98
2020-08,-1761.68
2020-09,-1176.72
2020-10,3181.72
2020-11,5586.74
2020-12,7147.21
2021-01,-3866.92
2021-02,5330.48
2021-03,-2244.13
2021-04,-1263.04
2021-05,717.73
2021-06,3146.38
2021-07,8312.55
2021-08,894.62
2021-09,-571.26
2021-10,5926.42
2021-11,-3822.62
2021-12,-5723.22
2022-01,-10904.51
2022-02,8075.22
2022-03,-604.6
2022-04,-1674.3
2022-05,-6727.7
2022-06,6640.99
2022-07,3017.04
2022-08,-687.39
2022-09,-3470.57
2022-10,3120.6
2022-11,-6790.7
2022-12,226.15
2023-01,13713.42
2023-02,-1738.18
2023-03,4529.61
2023-04,-3885.88
2023-05,1620.3
2023-06,-1183.62
2023-07,-2605.37
2023-08,-5035.34
2023-09,-2338.83
2023-10,10692.33
2023-11,954.02
2023-12,4905.63
2024-01,172.03
2024-02,11233.61
2024-03,10315.62
2024-04,-5147.6
2024-05,10226.98
2024-06,-6295.85
2024-07,-2613.48
2024-08,6047.88
2024-09,6812.83
2024-10,1962.76
2024-11,4610.45
2024-12,-11732.97
2025-01,-4167.15
2025-02,-7718.97
2025-03,-3422.52
2025-04,3454.52
2025-05,-1564.92
2025-06,672.03
2025-07,2137.92
2025-08,-1860.32
2025-09,-1902.22
2025-10,-2054.02
2025-11,2616.66
2025-12,-2805.83
2026-01,62.03
2026-02,-3556.34
2026-03,8480.18
2026-04,1225.27
