month,pnl_usdt
2017-08,-200.61
2017-09,-2517.45
2017-10,6406.28
2017-11,-1048.36
2017-12,4747.04
2018-01,478.3
2018-02,6120.26
2018-03,138.61
2018-04,-2870.96
2018-05,723.47
2018-06,1014.47
2018-07,1650.98
2018-08,-4677.15
2018-09,2101.12
2018-10,-3435.15
2018-11,-1828.94
2018-12,-1037.86
2019-01,-2318.6
2019-02,4719.32
2019-03,-2900.18
2019-04,2517.14
2019-05,5842.57
2019-06,10199.42
2019-07,240.41
2019-08,-5789.39
2019-09,-526.26
2019-10,11807.58
2019-11,-3558.29
2019-12,-5863.52
2020-01,18318.15
2020-02,850.07
2020-03,-20156.3
2020-04,22130.03
2020-05,-11363.8
2020-06,8602.63
2020-07,18118.14
2020-08,-10170.82
2020-09,-7220.98
2020-10,7323.45
2020-11,15775.96
2020-12,26016.19
2021-01,-23087.58
2021-02,16823.39
2021-03,-16635.37
2021-04,-8546.09
2021-05,26.99
2021-06,6226.74
2021-07,25824.48
2021-08,-3508.57
2021-09,-7726.7
2021-10,14461.24
2021-11,-21038.93
2021-12,-21531.14
2022-01,-27020.44
2022-02,11896.45
2022-03,-4734.15
2022-04,-4711.26
2022-05,-12127.51
2022-06,7561.86
2022-07,1317.68
2022-08,-2446.1
2022-09,-6396.83
2022-10,2138.37
2022-11,-8259.89
2022-12,-681.78
2023-01,12162.88
2023-02,-3614.57
2023-03,2361.23
2023-04,-5935.72
2023-05,346.13
2023-06,-2515.82
2023-07,-2861.71
2023-08,-3951.5
2023-09,-1805.84
2023-10,5310.94
2023-11,-275.2
2023-12,2345.22
2024-01,-1090.5
2024-02,6139.66
2024-03,7247.56
2024-04,-5791.16
2024-05,6746.35
2024-06,-6546.01
2024-07,-3381.28
2024-08,3109.95
2024-09,3553.09
2024-10,-374.75
2024-11,1017.65
2024-12,-9346.46
2025-01,-3273.53
2025-02,-3949.02
2025-03,-2046.45
2025-04,456.17
2025-05,-1220.41
2025-06,-417.6
2025-07,87.83
2025-08,-865.2
2025-09,-947.59
2025-10,-890.87
2025-11,303.05
2025-12,-964.68
2026-01,-274.42
2026-02,-814.93
2026-03,1123.51
2026-05,562.36
