opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1609473600000.0,1609502400000.0,long,29302.11,29341.99,0.32420873445632414,9.126858441252512,3.802585888866024
1609603200000.0,1609761600000.0,long,31717.009999999995,30760.39,0.2997971913342144,-290.5380989825076,3.7461098083728492
1609876800000.0,1610035200000.0,long,33747.0,39049.99,0.273584594822823,1446.8331434967872,3.98322700269422
1610035200000.0,1610265600000.0,long,39049.99,41056.69,0.27163005183375866,540.7281486866787,4.351876328126064
1610280000000.0,1610294400000.0,long,39233.99,39723.0,0.28344918651047474,134.1334277785247,4.476058916963138
1611921600000.0,1611979200000.0,long,37066.11,33299.99,0.3034650602787748,-1147.1565633727166,4.270730555616459
1612008000000.0,1612080000000.0,long,33707.77,33632.41,0.30136881111523006,-26.76999960301884,4.058845997377119
1612713600000.0,1612800000000.0,long,37965.79,43785.81,0.26689920242994414,1548.9948087588484,4.363887367474365
1612800000000.0,1613131200000.0,long,43785.81,47660.8,0.26503070604252044,1022.1441036850086,4.847231922699002
1613145600000.0,1613160000000.0,long,47083.34,47352.99,0.26709279837506034,66.97692035224128,5.044652729594132
1613462400000.0,1613476800000.0,long,49224.0,49013.86,0.25677005346536325,-59.00256714811586,5.044908112904574
1613491200000.0,1613606400000.0,long,49036.02,52194.62,0.25661129661396526,805.3370563273799,5.195385157492307
1613836800000.0,1613995200000.0,long,56226.39,54606.16,0.2374021678521303,-389.908491946772,5.262377527715925
1614974400000.0,1614988800000.0,long,49298.42,48770.57,0.2632509076183356,-144.12034171168077,5.163350125342696
1615392000000.0,1615622400000.0,long,56373.52,57389.96,0.22778317700444836,226.34525105410563,5.182681380296405
1615636800000.0,1615708800000.0,long,59905.92,60600.66999999999,0.21794118966915477,146.16197160512905,5.252669917514614
1615780800000.0,1615809600000.0,long,60488.0,56182.03,0.21813948793231855,-944.3921589721756,5.090068120249649
1616011200000.0,1616054400000.0,long,57897.1,58398.23,0.21240526373560192,101.50230176784942,4.940348047973773
1616097600000.0,1616112000000.0,long,57359.68,57700.01,0.21607644920100624,68.56496010430511,4.972337852273705
1617192000000.0,1617249600000.0,long,58076.84,59219.99,0.2145297969690683,240.20700438018767,5.032733025003064
1618041600000.0,1618070400000.0,long,60614.65,60348.45999999999,0.20931258941470823,-60.78073853185443,5.063820355551238
1618084800000.0,1618156800000.0,long,59674.69,59730.0,0.21164194814185014,6.6517079099505,5.054208241774739
1618228800000.0,1618257600000.0,long,60333.87,60168.55,0.2094343818633785,-39.67116197880192,5.047469969148244
1618315200000.0,1618560000000.0,long,63068.31,61513.57,0.19975640959771357,-315.54648606789544,4.97720580994664
1620230400000.0,1620259200000.0,long,57596.09999999999,57497.77,0.21353060369071997,-25.91167696934756,4.915212708440249
1620302400000.0,1620331200000.0,long,58081.3,56186.01,0.21132298881240938,-405.3478093608224,4.829461894550823
1620403200000.0,1620432000000.0,long,57558.06,57350.88,0.20655375617624036,-47.540781839639585,4.746974635046047
1620489600000.0,1620532800000.0,long,57660.76,58651.16999999999,0.20540259525663127,198.65462991185638,4.778154456261525
1623283200000.0,1623427200000.0,long,37368.45,36805.77,0.32199332985141266,-185.95592765817923,4.776720817386249
1623700800000.0,1623744000000.0,long,39709.57,40350.98,0.2985611155097059,186.71949167581738,4.780593423264117
1624838400000.0,1624852800000.0,long,34687.71,34390.66,0.34689857107035255,-107.83885810542053,4.792637568973822
1625572800000.0,1625644800000.0,long,34037.0,34699.66,0.3505206133766967,227.45726641526997,4.818723244933091
1626868800000.0,1627027200000.0,long,31500.0,32478.19,0.38561125462213125,372.26693113595144,4.934142022870619
1627084800000.0,1627099200000.0,long,33634.46,33647.97,0.37165478813027736,0.01988873433275984,5.001167453308044
1627257600000.0,1627430400000.0,long,35370.66,39442.33,0.3534123196873879,1433.6903732338162,5.287966467729872
1627430400000.0,1627545600000.0,long,39442.33,39925.01,0.3514607999589787,164.06419716279672,5.578901761403251
1628193600000.0,1628222400000.0,long,40694.19,40224.62,0.3444789991237246,-167.33196975434382,5.5749661358165685
1628236800000.0,1628380800000.0,long,40727.86,44601.11,0.3402911046660457,1312.2251832554982,5.807337892263175
1628380800000.0,1628625600000.0,long,44601.11,45516.81,0.3386898306830655,304.0338733432201,6.104404613262009
1629129600000.0,1629144000000.0,long,46350.8,46125.24,0.33213611359141243,-81.05954828686544,6.1429265051848
1629403200000.0,1629446400000.0,long,46719.82,46871.29,0.32786444817168214,43.52458843778004,6.137039526785041
1629475200000.0,1629504000000.0,long,48752.38,49332.74,0.3150434165879945,176.65838298676,6.180214264248686
1629921600000.0,1629936000000.0,long,48668.11,48992.65,0.3190372879866022,97.30887664055007,6.231484802622088
1630108800000.0,1630137600000.0,long,49083.98,48978.13,0.31821757849795707,-39.92434812133067,6.24101743732006
1630396800000.0,1630454400000.0,long,47789.0,47150.32,0.32604693816415686,-214.43059338616123,6.190934919477421
1630526400000.0,1630627200000.0,long,48200.44,49299.14,0.3190375038943636,344.30530100194653,6.221204526789763
1630641600000.0,1630656000000.0,long,49509.88,49353.7,0.3172061435043245,-55.81328248147175,6.272026988966253
1630670400000.0,1630742400000.0,long,50203.77,50230.07,0.31176573954116377,1.9370728694217316,6.262366080511782
1631606400000.0,1631620800000.0,long,45731.1,45986.45,0.3422978170442093,81.12680415230972,6.278943429928624
1631635200000.0,1631649600000.0,long,46747.45,46467.4,0.3365044759655369,-100.51152134443836,6.273442850291225
1633089600000.0,1633176000000.0,long,47482.27,47665.0,0.329285862274443,53.90427544440818,6.2661301690018485
1633377600000.0,1633420800000.0,long,49374.94,49447.41,0.3177006246766094,16.74457980491215,6.279184465402107
1633435200000.0,1633449600000.0,long,49850.0,49770.9,0.3149921089706073,-31.191835297284577,6.275959477709995
1633464000000.0,1633536000000.0,long,51164.85,55014.04,0.3063181928345799,1172.572019536541,6.50490514039633
1633536000000.0,1633766400000.0,long,55014.04,54943.44999999999,0.3051342494972568,-28.24978590956516,6.710359237550424
1633910400000.0,1634083200000.0,long,54700.0,56011.840000000004,0.30639543895060295,395.15747207019433,6.784320562765785
1634155200000.0,1634256000000.0,long,57260.95,57378.19,0.2992480933177788,28.22273764765997,6.861108812917982
1634270400000.0,1634414400000.0,long,59445.04,60884.35,0.2887043512769096,408.58713614046883,6.9479236958992505
1634515200000.0,1634544000000.0,long,61571.450000000004,61929.37,0.2850379435462927,94.9802968022724,7.040483951816173
1634558400000.0,1634572800000.0,long,60983.73,62021.07,0.28926454270877733,292.94949528892516,7.116185444596923
1634587200000.0,1634716800000.0,long,61449.90000000001,64033.57,0.29159905535485037,746.0775590857339,7.3181722629297425
1634745600000.0,1634774400000.0,long,66914.74,66064.24,0.2783767294437887,-244.1630590993765,7.403650707434199
1634788800000.0,1634918400000.0,long,65125.62999999999,60744.92,0.28246255071370613,-1244.4972638595848,7.110743322547417
