opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1674687660000.0,1678575660000.0,long,23060.6,20447.3,0.4119580583332611,,9.85788650338673
1678575660000.0,1678791660000.0,short,20447.3,24747.3,0.4141326000827291,,10.2941064642344
1678791660000.0,1681383660000.0,long,24747.3,30149.199999999997,0.2734190170722711,,8.255360888889363
1681383660000.0,1681815660000.0,long,30149.2,30369.7,0.2707094359802163,,9.010670506828713
1682031660000.0,1682247660000.0,long,28229.9,27632.8,0.2908200046537609,,8.935294870684409
1682679660000.0,1682895660000.0,long,29226.0,29223.0,0.27497313781250365,,8.839547712601664
1683543660000.0,1683759660000.0,long,27922.2,27582.9,0.28748392612109697,,8.776253237259255
1683759660000.0,1684191660000.0,short,27582.9,27152.5,0.2873584760861567,,8.650774622581423
1687431660000.0,1688943660000.0,long,29919.3,30147.8,0.26857102298006674,,8.872755371945281
1689375660000.0,1689591660000.0,long,30293.3,30145.0,0.2669015242663414,,8.872090916736532
1693695660000.0,1694343660000.0,short,25855.8,25782.9,0.310928187773745,,8.830760075495647
1694559660000.0,1694991660000.0,short,25825.8,26514.2,0.31179832365359234,,8.975738343015962
1697583660000.0,1698231660000.0,long,28381.9,34195.5,0.27623254003023406,,9.507252782768383
1698231660000.0,1701687660000.0,long,34195.5,41605.9,0.27362029090740747,,11.407440615553817
1701687660000.0,1703977260000.0,long,41605.9,42174.2,0.27092310472054965,,12.483880643188968
