combo_id,carrier_id,v5_combo_id,st_factor,st_period,fast_ema_len,slow_ema_len,direction_ema_len,tp_atr_mult,sl_atr_mult,sl_margin_pct,v5_atr_mult,v5_mean_cagr,v5_worst_mdd,n_complete,n_positive,mean_cagr,std_cagr,worst_window,worst_mdd,mean_mdd,total_trades,liquidated,safety_score,mdd_improvement,cagr_drop,tier_a,tier_b,tier_c,final_tier,v6_score,rank_in_tier,is_sanity_case,v5_v6_drift,window_stats_json
0,0,145,2.5,7,9,25,230,2.5,1.5,0.0,3.2,181.6394750612842,-100.15490253491926,8,6,151.53652521722222,136.01915573883605,-8.996159003426918,-98.09862536323277,-63.13157850555752,527,False,56.61600273467522,-2.06,30.1,False,False,False,FAIL,-29.08,146,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 334.0299, ""mdd_raw"": -83.0923, ""cagr_adj"": 334.02993980761096, ""mdd_adj"": -83.89576073647027, ""sharpe"": 1.7306, ""trades_count"": 53, ""liquidated"": false, ""finishing_balance"": 49310.2507690033}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 214.2854, ""mdd_raw"": -56.7221, ""cagr_adj"": 214.28539677494464, ""mdd_adj"": -58.37426269345285, ""sharpe"": 1.532, ""trades_count"": 63, ""liquidated"": false, ""finishing_balance"": 34827.04157107723}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 194.869, ""mdd_raw"": -50.839, ""cagr_adj"": 137.81551160796147, ""mdd_adj"": -60.102595130046176, ""sharpe"": 1.571, ""trades_count"": 81, ""liquidated"": false, ""finishing_balance"": 32489.144667302713}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 680.9531, ""mdd_raw"": -63.3273, ""cagr_adj"": 272.3939311763314, ""mdd_adj"": -98.09862536323277, ""sharpe"": 2.0285, ""trades_count"": 71, ""liquidated"": false, ""finishing_balance"": 93899.18013953116}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 23.627, ""mdd_raw"": -56.3512, ""cagr_adj"": 22.1769259900241, ""mdd_adj"": -56.28194824922078, ""sharpe"": 0.65, ""trades_count"": 40, ""liquidated"": false, ""finishing_balance"": 12600.058867051468}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 278.1469, ""mdd_raw"": -37.1338, ""cagr_adj"": 248.77582777796633, ""mdd_adj"": -43.593435237110754, ""sharpe"": 1.8746, ""trades_count"": 77, ""liquidated"": false, ""finishing_balance"": 42604.577188765}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 12.239, ""mdd_raw"": -46.4703, ""cagr_adj"": -8.996159003426918, ""mdd_adj"": -52.6082641069039, ""sharpe"": 0.571, ""trades_count"": 78, ""liquidated"": false, ""finishing_balance"": 11340.697108702618}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": -2.4127, ""mdd_raw"": -45.6352, ""cagr_adj"": -8.189172393634136, ""mdd_adj"": -52.097736528022686, ""sharpe"": 0.2453, ""trades_count"": 64, ""liquidated"": false, ""finishing_balance"": 9741.292928009516}]"
1,0,145,2.5,7,9,25,230,2.5,1.8,0.0,3.2,181.6394750612842,-100.15490253491926,8,7,204.60580338349092,285.2649649032101,-8.321581817287349,-96.49681654138907,-62.139666239824635,496,False,66.5564573642135,-3.66,-22.97,False,False,False,FAIL,-13.41,101,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 869.8992, ""mdd_raw"": -76.6168, ""cagr_adj"": 869.8992463235899, ""mdd_adj"": -74.08998862623909, ""sharpe"": 2.1168, ""trades_count"": 49, ""liquidated"": false, ""finishing_balance"": 118167.91495089838}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 160.7588, ""mdd_raw"": -59.8175, ""cagr_adj"": 160.7587566401754, ""mdd_adj"": -68.5408343450822, ""sharpe"": 1.3826, ""trades_count"": 60, ""liquidated"": false, ""finishing_balance"": 28415.85982219529}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 178.4316, ""mdd_raw"": -52.0953, ""cagr_adj"": 125.27063730500561, ""mdd_adj"": -60.54431795295089, ""sharpe"": 1.5123, ""trades_count"": 79, ""liquidated"": false, ""finishing_balance"": 30520.66830380243}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 634.0497, ""mdd_raw"": -63.4834, ""cagr_adj"": 208.87167798904906, ""mdd_adj"": -96.49681654138907, ""sharpe"": 1.985, ""trades_count"": 67, ""liquidated"": false, ""finishing_balance"": 87770.87252313294}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 14.9558, ""mdd_raw"": -59.6765, ""cagr_adj"": 13.47569497837311, ""mdd_adj"": -59.73858727800463, ""sharpe"": 0.5431, ""trades_count"": 40, ""liquidated"": false, ""finishing_balance"": 11640.149571584272}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 279.3837, ""mdd_raw"": -39.7113, ""cagr_adj"": 249.1747342229936, ""mdd_adj"": -42.965544778705926, ""sharpe"": 1.8592, ""trades_count"": 74, ""liquidated"": false, ""finishing_balance"": 42756.43399448022}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 15.2097, ""mdd_raw"": -48.9453, ""cagr_adj"": -8.321581817287349, ""mdd_adj"": -55.55553764234396, ""sharpe"": 0.6014, ""trades_count"": 71, ""liquidated"": false, ""finishing_balance"": 11668.159485820279}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 23.6079, ""mdd_raw"": -33.9234, ""cagr_adj"": 17.717261426028053, ""mdd_adj"": -39.185702753881294, ""sharpe"": 0.6464, ""trades_count"": 56, ""liquidated"": false, ""finishing_balance"": 12554.149334556323}]"
2,0,145,2.5,7,9,25,230,2.5,2.0,0.0,3.2,181.6394750612842,-100.15490253491926,8,7,191.99694624527314,279.8180987452378,-28.389732664933575,-99.74840939349056,-62.76989845873724,478,False,56.49128280193955,-0.41,-10.36,False,False,False,FAIL,-54.08,203,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 846.6372, ""mdd_raw"": -73.9293, ""cagr_adj"": 846.6372452011071, ""mdd_adj"": -69.14090588214104, ""sharpe"": 2.1248, ""trades_count"": 47, ""liquidated"": false, ""finishing_balance"": 115090.65628136441}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 162.8331, ""mdd_raw"": -59.1702, ""cagr_adj"": 162.83312717108015, ""mdd_adj"": -67.89510166366736, ""sharpe"": 1.3881, ""trades_count"": 60, ""liquidated"": false, ""finishing_balance"": 28662.268257831005}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 162.1796, ""mdd_raw"": -52.9667, ""cagr_adj"": 111.92627774998569, ""mdd_adj"": -61.64903922947749, ""sharpe"": 1.4513, ""trades_count"": 77, ""liquidated"": false, ""finishing_balance"": 28584.61915584124}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 510.7314, ""mdd_raw"": -71.666, ""cagr_adj"": 164.33117756041358, ""mdd_adj"": -99.74840939349056, ""sharpe"": 1.8823, ""trades_count"": 65, ""liquidated"": false, ""finishing_balance"": 71831.21078656959}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 22.9081, ""mdd_raw"": -56.0811, ""cagr_adj"": 21.385877979189914, ""mdd_adj"": -56.08505223144612, ""sharpe"": 0.6415, ""trades_count"": 37, ""liquidated"": false, ""finishing_balance"": 12520.241177523922}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 272.4987, ""mdd_raw"": -39.6197, ""cagr_adj"": 242.19470495392227, ""mdd_adj"": -42.67543956569724, ""sharpe"": 1.8321, ""trades_count"": 70, ""liquidated"": false, ""finishing_balance"": 41911.620542631776}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": -5.0009, ""mdd_raw"": -56.21, ""cagr_adj"": -28.389732664933575, ""mdd_adj"": -64.57979998830142, ""sharpe"": 0.3955, ""trades_count"": 68, ""liquidated"": false, ""finishing_balance"": 9456.309281900021}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 20.9862, ""mdd_raw"": -35.1514, ""cagr_adj"": 15.056892011419931, ""mdd_adj"": -40.38543971567666, ""sharpe"": 0.6102, ""trades_count"": 54, ""liquidated"": false, ""finishing_balance"": 12268.60350872948}]"
3,0,145,2.5,7,9,25,230,2.5,2.5,0.0,3.2,181.6394750612842,-100.15490253491926,8,7,107.0692601933963,99.94602394259641,-8.652191119858543,-107.29215108475465,-64.86023457042262,448,False,66.74517527176376,7.14,74.57,False,False,False,FAIL,-32.54,155,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 88.4947, ""mdd_raw"": -92.5068, ""cagr_adj"": 88.49466865199935, ""mdd_adj"": -92.70844913941055, ""sharpe"": 1.3079, ""trades_count"": 46, ""liquidated"": false, ""finishing_balance"": 19917.27538657876}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 169.8576, ""mdd_raw"": -55.9663, ""cagr_adj"": 169.85755021493793, ""mdd_adj"": -64.83938216935623, ""sharpe"": 1.3995, ""trades_count"": 59, ""liquidated"": false, ""finishing_balance"": 29497.967194176992}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 205.8586, ""mdd_raw"": -48.5012, ""cagr_adj"": 150.01330271325227, ""mdd_adj"": -57.93068603222943, ""sharpe"": 1.5945, ""trades_count"": 69, ""liquidated"": false, ""finishing_balance"": 33810.744332118586}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 501.6553, ""mdd_raw"": -71.444, ""cagr_adj"": 157.58585148648444, ""mdd_adj"": -107.29215108475465, ""sharpe"": 1.8688, ""trades_count"": 60, ""liquidated"": false, ""finishing_balance"": 70668.78794329519}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 7.3755, ""mdd_raw"": -59.7993, ""cagr_adj"": 5.856821568824411, ""mdd_adj"": -59.937026779758476, ""sharpe"": 0.4478, ""trades_count"": 35, ""liquidated"": false, ""finishing_balance"": 10806.279813952}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 311.2502, ""mdd_raw"": -39.8434, ""cagr_adj"": 277.97070684542456, ""mdd_adj"": -43.02080979517734, ""sharpe"": 1.9313, ""trades_count"": 67, ""liquidated"": false, ""finishing_balance"": 46684.17459927477}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 13.3615, ""mdd_raw"": -46.286, ""cagr_adj"": -8.652191119858543, ""mdd_adj"": -52.97616049650078, ""sharpe"": 0.5829, ""trades_count"": 61, ""liquidated"": false, ""finishing_balance"": 11464.338916717461}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 21.5921, ""mdd_raw"": -36.6942, ""cagr_adj"": 15.427371186105955, ""mdd_adj"": -40.17721106619344, ""sharpe"": 0.6187, ""trades_count"": 51, ""liquidated"": false, ""finishing_balance"": 12334.563589483647}]"
4,0,145,2.5,7,9,25,230,2.5,3.0,0.0,3.2,181.6394750612842,-100.15490253491926,8,6,146.25979756407628,163.25132881312106,-7.273303279078879,-108.22724275294975,-64.22127999406317,435,False,57.25926632099064,8.07,35.38,False,False,False,FAIL,-17.09,115,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 465.2889, ""mdd_raw"": -86.7199, ""cagr_adj"": 465.288938462875, ""mdd_adj"": -81.84939726997621, ""sharpe"": 1.8084, ""trades_count"": 43, ""liquidated"": false, ""finishing_balance"": 65714.75987085515}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 202.1302, ""mdd_raw"": -55.8712, ""cagr_adj"": 202.13024474646625, ""mdd_adj"": -60.35510856964027, ""sharpe"": 1.4902, ""trades_count"": 56, ""liquidated"": false, ""finishing_balance"": 33361.88876165133}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 177.3357, ""mdd_raw"": -52.6755, ""cagr_adj"": 125.02320941402539, ""mdd_adj"": -62.43088820704976, ""sharpe"": 1.4961, ""trades_count"": 67, ""liquidated"": false, ""finishing_balance"": 30389.78799311275}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 454.9935, ""mdd_raw"": -71.444, ""cagr_adj"": 108.11971410474457, ""mdd_adj"": -108.22724275294975, ""sharpe"": 1.8187, ""trades_count"": 59, ""liquidated"": false, ""finishing_balance"": 64717.86712785073}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 1.5501, ""mdd_raw"": -62.17, ""cagr_adj"": -0.049553132223445484, ""mdd_adj"": -62.45407435066846, ""sharpe"": 0.3799, ""trades_count"": 33, ""liquidated"": false, ""finishing_balance"": 10169.023232205793}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 303.1576, ""mdd_raw"": -45.3552, ""cagr_adj"": 270.0410652703427, ""mdd_adj"": -43.09997790421299, ""sharpe"": 1.9047, ""trades_count"": 66, ""liquidated"": false, ""finishing_balance"": 45684.03717321569}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 15.4767, ""mdd_raw"": -44.389, ""cagr_adj"": -7.273303279078879, ""mdd_adj"": -50.42441506918761, ""sharpe"": 0.6046, ""trades_count"": 60, ""liquidated"": false, ""finishing_balance"": 11697.634971792171}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 12.9687, ""mdd_raw"": -39.8981, ""cagr_adj"": 6.798064925458691, ""mdd_adj"": -44.92913582882026, ""sharpe"": 0.4982, ""trades_count"": 51, ""liquidated"": false, ""finishing_balance"": 11398.214280754284}]"
5,0,145,2.5,7,9,25,230,3.0,1.5,0.0,3.2,181.6394750612842,-100.15490253491926,8,6,143.7070938072917,139.42730229869608,-16.808058178843755,-106.43488725197203,-63.61278841734004,470,False,52.626666415963626,6.28,37.93,False,False,False,FAIL,-38.72,175,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 350.3144, ""mdd_raw"": -83.3041, ""cagr_adj"": 350.3143731505453, ""mdd_adj"": -80.34653599502678, ""sharpe"": 1.7586, ""trades_count"": 48, ""liquidated"": false, ""finishing_balance"": 51324.39308725675}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 271.8232, ""mdd_raw"": -56.7221, ""cagr_adj"": 271.82317652389816, ""mdd_adj"": -54.634800035871024, ""sharpe"": 1.6802, ""trades_count"": 57, ""liquidated"": false, ""finishing_balance"": 41828.804723981484}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 228.7856, ""mdd_raw"": -49.5985, ""cagr_adj"": 166.23971170221773, ""mdd_adj"": -56.50239122851182, ""sharpe"": 1.6661, ""trades_count"": 67, ""liquidated"": false, ""finishing_balance"": 36581.50667448035}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 396.9327, ""mdd_raw"": -64.3695, ""cagr_adj"": 107.57095401405743, ""mdd_adj"": -106.43488725197203, ""sharpe"": 1.7677, ""trades_count"": 66, ""liquidated"": false, ""finishing_balance"": 57376.08006724569}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 24.099, ""mdd_raw"": -55.0253, ""cagr_adj"": 22.670172009513088, ""mdd_adj"": -56.13298550386947, ""sharpe"": 0.6562, ""trades_count"": 37, ""liquidated"": false, ""finishing_balance"": 12652.487854343088}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 283.78, ""mdd_raw"": -36.653, ""cagr_adj"": 254.24610934304067, ""mdd_adj"": -40.91832090601874, ""sharpe"": 1.8927, ""trades_count"": 69, ""liquidated"": false, ""finishing_balance"": 43296.60613922393}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 6.1233, ""mdd_raw"": -53.5445, ""cagr_adj"": -16.808058178843755, ""mdd_adj"": -62.03451608163106, ""sharpe"": 0.5074, ""trades_count"": 66, ""liquidated"": false, ""finishing_balance"": 10669.035616178187}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": -0.5532, ""mdd_raw"": -45.4304, ""cagr_adj"": -6.399688106095091, ""mdd_adj"": -51.897870335819405, ""sharpe"": 0.2775, ""trades_count"": 60, ""liquidated"": false, ""finishing_balance"": 9940.639628103543}]"
6,0,145,2.5,7,9,25,230,3.0,1.8,0.0,3.2,181.6394750612842,-100.15490253491926,8,7,122.60080176225203,106.15878886584062,-24.504334731528267,-105.37178573718877,-64.22396701633984,446,False,58.9027139499712,5.22,59.04,False,False,False,FAIL,-61.5,217,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 239.3867, ""mdd_raw"": -88.858, ""cagr_adj"": 239.38671534502447, ""mdd_adj"": -86.88425063445541, ""sharpe"": 1.609, ""trades_count"": 44, ""liquidated"": false, ""finishing_balance"": 37742.13144930529}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 173.1627, ""mdd_raw"": -58.612, ""cagr_adj"": 173.16271468228445, ""mdd_adj"": -58.31563373288496, ""sharpe"": 1.4296, ""trades_count"": 55, ""liquidated"": false, ""finishing_balance"": 29891.86264166941}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 236.5233, ""mdd_raw"": -50.8866, ""cagr_adj"": 175.18335309189405, ""mdd_adj"": -56.79612971100052, ""sharpe"": 1.6896, ""trades_count"": 64, ""liquidated"": false, ""finishing_balance"": 37520.601535480804}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 518.9716, ""mdd_raw"": -69.0777, ""cagr_adj"": 162.8903212799185, ""mdd_adj"": -105.37178573718877, ""sharpe"": 1.8829, ""trades_count"": 63, ""liquidated"": false, ""finishing_balance"": 72887.91969552604}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 9.8445, ""mdd_raw"": -58.5562, ""cagr_adj"": 8.413502808893991, ""mdd_adj"": -59.42072108458999, ""sharpe"": 0.4775, ""trades_count"": 37, ""liquidated"": false, ""finishing_balance"": 11077.317105998121}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 259.6903, ""mdd_raw"": -38.8271, ""cagr_adj"": 231.82229713738676, ""mdd_adj"": -42.169620482528316, ""sharpe"": 1.8184, ""trades_count"": 65, ""liquidated"": false, ""finishing_balance"": 40343.715395643376}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": -1.8735, ""mdd_raw"": -55.7295, ""cagr_adj"": -24.504334731528267, ""mdd_adj"": -64.48401298185463, ""sharpe"": 0.4217, ""trades_count"": 62, ""liquidated"": false, ""finishing_balance"": 9796.027787142557}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 20.3771, ""mdd_raw"": -35.0683, ""cagr_adj"": 14.451844484142274, ""mdd_adj"": -40.34958176621614, ""sharpe"": 0.6014, ""trades_count"": 56, ""liquidated"": false, ""finishing_balance"": 12202.32806300678}]"
7,0,145,2.5,7,9,25,230,3.0,2.0,0.0,3.2,181.6394750612842,-100.15490253491926,8,8,158.66833413013558,150.5853092374308,8.644812988909155,-105.46603921599049,-63.05962078079378,427,False,85.37608387462956,5.31,22.97,False,False,False,FAIL,15.71,52,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 457.3307, ""mdd_raw"": -80.6638, ""cagr_adj"": 457.33070047002906, ""mdd_adj"": -77.23852874659333, ""sharpe"": 1.8967, ""trades_count"": 41, ""liquidated"": false, ""finishing_balance"": 64709.8139862287}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 167.7523, ""mdd_raw"": -58.612, ""cagr_adj"": 167.75232173325074, ""mdd_adj"": -58.315633732885, ""sharpe"": 1.4067, ""trades_count"": 53, ""liquidated"": false, ""finishing_balance"": 29247.300105043476}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 229.3049, ""mdd_raw"": -51.7799, ""cagr_adj"": 169.96022133278487, ""mdd_adj"": -57.90915247198624, ""sharpe"": 1.6671, ""trades_count"": 62, ""liquidated"": false, ""finishing_balance"": 36644.47277367611}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 559.0588, ""mdd_raw"": -69.1693, ""cagr_adj"": 208.33964545609805, ""mdd_adj"": -105.46603921599049, ""sharpe"": 1.9224, ""trades_count"": 61, ""liquidated"": false, ""finishing_balance"": 78046.36264135619}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 23.9046, ""mdd_raw"": -55.9629, ""cagr_adj"": 22.3876032058024, ""mdd_adj"": -57.14390563864998, ""sharpe"": 0.6539, ""trades_count"": 34, ""liquidated"": false, ""finishing_balance"": 12630.891004469988}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 251.2245, ""mdd_raw"": -38.7341, ""cagr_adj"": 223.24910048798023, ""mdd_adj"": -42.078229568975985, ""sharpe"": 1.7847, ""trades_count"": 62, ""liquidated"": false, ""finishing_balance"": 39310.12307683227}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 41.2034, ""mdd_raw"": -55.6607, ""cagr_adj"": 8.644812988909155, ""mdd_adj"": -64.42810495256643, ""sharpe"": 0.8174, ""trades_count"": 59, ""liquidated"": false, ""finishing_balance"": 14564.012251146112}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 17.7901, ""mdd_raw"": -36.5647, ""cagr_adj"": 11.682267366230082, ""mdd_adj"": -41.89737191870279, ""sharpe"": 0.5652, ""trades_count"": 55, ""liquidated"": false, ""finishing_balance"": 11921.108115392432}]"
8,0,145,2.5,7,9,25,230,3.0,2.5,0.0,3.2,181.6394750612842,-100.15490253491926,8,7,160.10442946900204,156.39476127431845,-0.8069771060390418,-104.37018071060109,-63.648082258312385,407,False,70.620231347599,4.22,21.54,False,False,False,FAIL,-3.86,87,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 453.5715, ""mdd_raw"": -86.9995, ""cagr_adj"": 453.5715123067062, ""mdd_adj"": -82.23164548449205, ""sharpe"": 1.8055, ""trades_count"": 40, ""liquidated"": false, ""finishing_balance"": 64235.545866210625}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 148.7166, ""mdd_raw"": -60.3861, ""cagr_adj"": 148.7166043252855, ""mdd_adj"": -60.102475982369405, ""sharpe"": 1.3464, ""trades_count"": 52, ""liquidated"": false, ""finishing_balance"": 26988.91936618835}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 307.8495, ""mdd_raw"": -43.4294, ""cagr_adj"": 238.3030886037144, ""mdd_adj"": -49.82639409014216, ""sharpe"": 1.8686, ""trades_count"": 59, ""liquidated"": false, ""finishing_balance"": 46263.67976784446}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 545.9423, ""mdd_raw"": -68.9278, ""cagr_adj"": 193.09181235644655, ""mdd_adj"": -104.37018071060109, ""sharpe"": 1.9095, ""trades_count"": 57, ""liquidated"": false, ""finishing_balance"": 76355.34469636763}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 13.0213, ""mdd_raw"": -60.1607, ""cagr_adj"": 11.486720698145358, ""mdd_adj"": -61.36969070106093, ""sharpe"": 0.5224, ""trades_count"": 34, ""liquidated"": false, ""finishing_balance"": 11426.865122775274}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 261.2138, ""mdd_raw"": -38.9611, ""cagr_adj"": 232.85278914540348, ""mdd_adj"": -42.30810462585174, ""sharpe"": 1.8134, ""trades_count"": 60, ""liquidated"": false, ""finishing_balance"": 40529.952811332034}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 30.6122, ""mdd_raw"": -54.5415, ""cagr_adj"": -0.8069771060390418, ""mdd_adj"": -62.1719538648975, ""sharpe"": 0.7335, ""trades_count"": 55, ""liquidated"": false, ""finishing_balance"": 13377.756313559801}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 9.5966, ""mdd_raw"": -41.936, ""cagr_adj"": 3.6198854223537857, ""mdd_adj"": -46.80421260708422, ""sharpe"": 0.4461, ""trades_count"": 50, ""liquidated"": false, ""finishing_balance"": 11033.45821721962}]"
9,0,145,2.5,7,9,25,230,3.0,3.0,0.0,3.2,181.6394750612842,-100.15490253491926,8,8,166.17777480744041,149.33517073928724,8.545183237143416,-97.67139324711941,-61.54779706294766,398,False,85.38537552597124,-2.48,15.46,False,False,False,FAIL,9.97,68,False,,"[{""window"": ""W1"", ""complete"": true, ""cagr_raw"": 433.3439, ""mdd_raw"": -86.9654, ""cagr_adj"": 433.34392704275524, ""mdd_adj"": -82.1850321690187, ""sharpe"": 1.7885, ""trades_count"": 40, ""liquidated"": false, ""finishing_balance"": 61688.43462601816}, {""window"": ""W2"", ""complete"": true, ""cagr_raw"": 166.1777, ""mdd_raw"": -56.3226, ""cagr_adj"": 166.17771234423736, ""mdd_adj"": -56.00985697261669, ""sharpe"": 1.3902, ""trades_count"": 51, ""liquidated"": false, ""finishing_balance"": 29059.92862053149}, {""window"": ""W3"", ""complete"": true, ""cagr_raw"": 228.4323, ""mdd_raw"": -50.409, ""cagr_adj"": 169.53841625273404, ""mdd_adj"": -58.99443584599702, ""sharpe"": 1.651, ""trades_count"": 58, ""liquidated"": false, ""finishing_balance"": 36538.67566070507}, {""window"": ""W4"", ""complete"": true, ""cagr_raw"": 604.2658, ""mdd_raw"": -68.9278, ""cagr_adj"": 231.66373863114157, ""mdd_adj"": -97.67139324711941, ""sharpe"": 1.964, ""trades_count"": 56, ""liquidated"": false, ""finishing_balance"": 83897.4080444008}, {""window"": ""W5"", ""complete"": true, ""cagr_raw"": 16.1249, ""mdd_raw"": -58.9671, ""cagr_adj"": 14.532313945977272, ""mdd_adj"": -60.227172386922966, ""sharpe"": 0.5599, ""trades_count"": 32, ""liquidated"": false, ""finishing_balance"": 11769.20199589564}, {""window"": ""W6"", ""complete"": true, ""cagr_raw"": 313.2994, ""mdd_raw"": -44.7651, ""cagr_adj"": 279.7508804483937, ""mdd_adj"": -42.38274542572015, ""sharpe"": 1.9314, ""trades_count"": 60, ""liquidated"": false, ""finishing_balance"": 46937.71455538053}, {""window"": ""W7"", ""complete"": true, ""cagr_raw"": 57.3656, ""mdd_raw"": -44.4255, ""cagr_adj"": 25.870026557140633, ""mdd_adj"": -51.01995885667433, ""sharpe"": 0.9395, ""trades_count"": 53, ""liquidated"": false, ""finishing_balance"": 16389.50262011694}, {""window"": ""W8"", ""complete"": true, ""cagr_raw"": 15.0407, ""mdd_raw"": -38.6494, ""cagr_adj"": 8.545183237143416, ""mdd_adj"": -43.891781599512, ""sharpe"": 0.5284, ""trades_count"": 48, ""liquidated"": false, ""finishing_balance"": 11622.732349706122}]"
