month,pnl_usdt
2021-01,1536.3
2021-02,2757.04
2021-03,-200.28
2021-04,-724.71
2021-05,-1789.6
2021-06,-622.21
2021-08,3438.87
2021-09,-2720.63
2021-10,2913.58
2021-11,-35.15
2021-12,-2561.18
2022-01,-2304.61
2022-02,-176.94
2022-03,2190.12
2022-04,-1115.38
2022-05,-2648.8
2022-06,-2044.74
2022-11,-1406.08
2023-01,1402.35
2023-03,1633.05
2023-07,1055.65
2023-08,-1389.04
2023-10,985.4
2023-11,1231.86
2023-12,1370.02
2024-01,426.6
2024-02,3860.63
2024-03,2115.32
2024-04,-2053.88
2024-06,-71.55
2024-08,-75.54
2024-09,-306.51
2024-10,2276.43
2024-11,6033.32
2024-12,588.17
2025-02,-3329.79
2025-03,-2019.94
2025-04,1585.31
2025-05,2258.0
2025-06,-1165.59
2025-07,2293.45
2025-08,-1118.29
2025-09,-309.96
2025-10,-604.79
2025-11,-1668.7
2026-01,-613.95
2026-02,-2126.91
2026-04,-140.42
