month,pnl_usdt
2021-01,-1044.33
2021-02,1290.61
2021-03,1153.81
2021-04,-1023.68
2021-05,3185.91
2021-06,1118.47
2021-07,745.61
2021-08,-1813.76
2021-09,-283.15
2021-10,-1590.14
2021-11,-2511.3
2021-12,-1687.28
2022-01,-3256.29
2022-02,339.28
2022-03,-1010.64
2022-04,537.09
2022-05,546.49
2022-06,507.27
2022-07,-675.36
2022-08,-465.88
2022-09,-836.55
2022-10,186.58
2022-11,-147.29
2022-12,153.74
2023-01,102.83
2023-02,298.83
2023-03,-546.91
2023-04,272.01
2023-05,430.16
2023-06,307.35
2023-07,-234.39
2023-08,18.84
2023-09,-392.61
2023-10,170.1
2023-11,138.76
2023-12,537.79
2024-01,-260.91
2024-02,-153.83
2024-03,279.41
2024-04,-186.23
2024-05,-90.75
2024-06,321.12
2024-07,-507.53
2024-08,-12.77
2024-09,250.27
2024-10,-186.17
2024-11,-488.29
2024-12,-201.53
2025-01,-6.52
2025-02,8.03
2025-03,936.12
2025-04,166.5
2025-05,-134.11
2025-06,-194.18
2025-07,55.49
2025-08,-313.02
2025-09,-234.3
2025-10,-0.12
2025-11,-153.24
2025-12,-681.01
2026-01,-284.92
2026-02,-120.03
2026-03,-86.65
2026-04,12.56
