opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1609466400000.0,1609484400000.0,long,29448.4,29197.3,0.3225981717173089,-84.78820003803332,3.783799119816357
1609484400000.0,1609574400000.0,short,29197.3,29777.33,0.3226137762725961,-190.93087426911052,3.805205617715827
1609574400000.0,1609588800000.0,long,29777.33,29775.52,0.31023825438372793,-4.2566456859501525,3.6951144455151987
1609588800000.0,1609592400000.0,short,29775.52,30660.12,0.3101213032050007,-278.0817807025088,3.748475887365654
1609592400000.0,1609610400000.0,long,30660.120000000003,32904.2,0.29255741250651257,652.802995660226,3.7192425973871934
1609610400000.0,1609642800000.0,long,32904.2,32765.990000000005,0.2914524048667463,-44.10958383734186,3.827946960711231
1609642800000.0,1609653600000.0,short,32765.99,33823.58,0.2914028880424768,-312.06565896714443,3.880878602301335
1609653600000.0,1609693200000.0,long,33823.58,32742.51,0.2735263901559837,-299.34269106682984,3.6415164608996653
1609693200000.0,1609794000000.0,short,32742.509999999995,31277.46,0.2738722896637624,397.7299388182729,3.506659153621076
1609794000000.0,1609822800000.0,long,31277.46,30891.769999999997,0.2987809631893382,-118.95182617652446,3.7149964840279
1609822800000.0,1609862400000.0,short,30891.770000000004,32133.79,0.29885323469805386,-374.94877305460716,3.7670784949312557
1609862400000.0,1609909200000.0,long,32133.79,35470.73,0.27621715507714534,917.9853678261788,3.734705636951195
1609909200000.0,1609927200000.0,long,35470.73,33985.94,0.27481786123604707,-411.86439888426617,3.8175866995955827
1609927200000.0,1609970400000.0,short,33985.94,35924.05,0.2753114663340558,-537.4333103883569,3.849404371659836
1609970400000.0,1610035200000.0,long,35924.05,39049.99,0.24624610341184533,766.0581314578138,3.6924130414087655
1610035200000.0,1610074800000.0,long,39049.99,37238.41,0.24517067881854068,-447.8870340968867,3.740735762796072
1610074800000.0,1610107200000.0,short,37238.41,41399.98,0.24567160288973625,-1026.2434163018331,3.863843863993642
1610107200000.0,1610143200000.0,long,41399.98,40130.39,0.1974273569281541,-253.87106317411082,3.219265091694894
1610143200000.0,1610200800000.0,short,40130.39,41136.54,0.19766344454322615,-202.09177498941793,3.2127002622506486
1610200800000.0,1610229600000.0,long,41136.54,40852.32,0.1881617640186338,-56.56477027487168,3.085433705495361
1610229600000.0,1610334000000.0,short,40852.32,36417.07,0.18815546828826274,831.6088090735576,2.907731651959681
1610334000000.0,1610409600000.0,short,36417.07,35408.46,0.2327649030765474,231.4253163862623,3.3436925057743294
1610409600000.0,1610460000000.0,long,35408.46,33348.64,0.24560429398648775,-509.2780446396588,3.3774078004116674
1610460000000.0,1610535600000.0,short,33348.64,34973.67,0.24626658469554127,-403.5556885162371,3.3651003884420048
1610535600000.0,1610611200000.0,long,34973.67,38240.0,0.22386205888460348,727.9294062156077,3.2779525809395853
1610611200000.0,1610665200000.0,long,38240.0,39048.84,0.2228245478257196,176.7850370983594,3.4443701649948775
1610665200000.0,1610726400000.0,short,39048.84,35691.31,0.22250997709788461,743.7578375925018,3.326085812958492
1610726400000.0,1610769600000.0,short,35691.31,36564.81,0.2632384868981227,-233.742936645096,3.804118339585836
1610769600000.0,1610823600000.0,long,36564.81,36528.97,0.2508770221969974,-12.658942449044002,3.6675099735044894
1610823600000.0,1610910000000.0,short,36528.97,35710.22,0.250793949423496,201.71411573783647,3.623430352650863
1610910000000.0,1610942400000.0,long,35710.22,35148.25,0.2619102616736426,-150.89742183663603,3.7117120838987914
1610942400000.0,1610974800000.0,short,35148.25,37096.81,0.2620193185685928,-514.346283668246,3.7859202782294203
1610974800000.0,1610996400000.0,long,37096.81,35811.38,0.2350846755932305,-305.6128141866543,3.4279196388479223
1610996400000.0,1611043200000.0,short,35811.38,37225.61,0.2354156519775666,-336.3706876201005,3.438810123865802
1611043200000.0,1611061200000.0,long,37225.61,36835.35,0.21788782555013317,-88.2602991057065,3.227396306511078
1611061200000.0,1611183600000.0,short,36835.35,34982.24,0.21792001252945534,400.69965639593204,3.1300980225270574
1611183600000.0,1611201600000.0,long,34982.24,34608.01,0.24034551838598692,-93.28964428775899,3.345140942172085
1611201600000.0,1611241200000.0,short,34608.01,31230.99,0.24038364081117738,808.615038986689,3.165323705473422
1611241200000.0,1611306000000.0,short,31230.989999999998,31536.96,0.2909732842944457,-92.6818551075578,3.6527593119859105
1611306000000.0,1611370800000.0,long,31536.96,32285.999999999996,0.28535838488284254,210.10236125583515,3.6424833568084525
1611370800000.0,1611464400000.0,short,32285.999999999996,32814.74,0.2849201887167149,-154.35840360735585,3.7097030252795578
1611464400000.0,1611496800000.0,long,32814.74,32262.170000000002,0.2758605653886293,-156.02270325406278,3.590430637268989
1611496800000.0,1611540000000.0,short,32262.17,32891.37,0.2759910806182444,-177.2499471071414,3.5963591821408025
1611540000000.0,1611601200000.0,long,32891.37,33704.46,0.2655919687029674,212.4127103132732,3.537463519421628
1611601200000.0,1611687600000.0,short,33704.46,32238.9,0.2651719026631886,385.1280684192213,3.497265247840721
1611687600000.0,1611720000000.0,long,32238.900000000005,31817.080000000005,0.2885752135287987,-125.42379019197709,3.696993621259293
1611720000000.0,1611795600000.0,short,31817.08,30685.199999999997,0.2886561196298093,323.1157555640267,3.6083331225631676
1611795600000.0,1611871200000.0,long,30685.200000000004,33197.11,0.3093072497013882,773.0001212752785,3.951852322134298
1611871200000.0,1611903600000.0,long,33197.11,32545.389999999996,0.3080239494868244,-204.79542125938218,4.05005289982751
1611903600000.0,1611910800000.0,short,32545.39,36397.81,0.3082141367349459,-1191.6201584147889,4.249853774348944
1611910800000.0,1611954000000.0,long,36397.81,34607.29,0.2444902628223536,-441.23671650082525,3.4720111121454997
1611954000000.0,1612015200000.0,short,34607.29,34276.22,0.24502742781599784,77.74556067219481,3.375669854847514
1612015200000.0,1612054800000.0,long,34276.22,34097.1,0.24954891569201298,-48.11169935240662,3.4124975736526046
1612054800000.0,1612152000000.0,short,34097.1,33600.37,0.2495193849516851,120.5653978716125,3.378366215437031
1612152000000.0,1612195200000.0,long,33600.37,33178.13,0.2566169523911235,-111.78124100867944,3.427299031050128
1612195200000.0,1612252800000.0,short,33178.13,34261.84,0.2566821086557889,-281.6310947128214,3.462126741456628
1612252800000.0,1612324800000.0,long,34261.84,36446.25,0.24075422772620236,522.5012882670055,3.4046543203889623
1612324800000.0,1612350000000.0,long,36446.25,36030.92,0.23994400119442638,-103.13403444909126,3.478092433009729
1612350000000.0,1612375200000.0,short,36030.92,37216.1,0.23999058921630997,-287.9477656250141,3.5157190976277684
1612375200000.0,1612429200000.0,long,37216.1,37435.2,0.22499755061551216,45.93769140980563,3.359271930052757
1612429200000.0,1612526400000.0,short,37435.2,37745.41,0.22484645868864808,-73.13043873391743,3.380818784110473
1612526400000.0,1612551600000.0,long,37745.41,37453.9,0.22115796949891536,-67.79594503009316,3.326185341463897
1612551600000.0,1612580400000.0,short,37453.9,39424.27,0.22115966790442293,-439.16684495809676,3.400470109259954
1612580400000.0,1612645200000.0,long,39424.27,40159.0,0.19952388675846822,143.42043264778027,3.1757526702697203
1612645200000.0,1612764000000.0,short,40159.0,38718.52,0.19926624154064262,283.89551022397615,3.1435253904893736
1612764000000.0,1612789200000.0,long,38718.52,43506.1,0.2136454009281203,1019.331066194238,3.5133823812124674
