month,pnl_usdt
2021-01,-3018.84
2021-02,424.72
2021-03,-1334.48
2021-04,-436.52
2021-05,2200.3
2021-06,-1925.59
2021-07,273.35
2021-08,1235.15
2021-09,-1403.21
2021-10,767.1
2021-11,-567.33
2021-12,-243.23
2022-01,1190.24
2022-02,-1054.44
2022-03,-1104.46
2022-04,212.89
2022-05,838.9
2022-06,408.16
2022-07,-733.41
2022-08,-44.42
2022-09,-358.93
2022-10,-466.6
2022-11,910.62
2022-12,-392.43
2023-01,1440.89
2023-02,-227.6
2023-03,-448.75
2023-04,249.35
2023-05,-399.37
2023-06,-333.37
2023-07,238.61
2023-08,283.46
2023-09,-435.39
2023-10,835.4
2023-11,806.47
2023-12,16.41
2024-01,-858.44
2024-02,2127.25
2024-03,1402.5
2024-04,-2301.47
2024-05,306.71
2024-06,19.26
2024-07,-174.32
2024-08,-919.36
2024-09,927.48
2024-10,-11.18
2024-11,1025.88
2024-12,-484.1
2025-01,-132.01
2025-02,645.61
2025-03,-2472.01
2025-04,431.24
2025-05,855.46
2025-06,-438.15
2025-07,590.2
2025-08,-373.22
2025-09,-96.98
2025-10,-112.96
2025-11,262.26
2025-12,-1579.63
2026-01,279.4
2026-02,55.53
2026-03,-1802.45
2026-04,-104.69
