month,pnl_usdt
2021-01,-606.96
2021-02,3729.89
2021-03,3067.65
2021-04,-1607.89
2021-05,-4217.4
2021-06,-2295.94
2021-07,1396.95
2021-08,1891.06
2021-09,-646.84
2021-10,4301.54
2021-11,-2034.58
2021-12,-2039.36
2022-01,-2247.97
2022-02,738.78
2022-03,2054.02
2022-04,-1396.86
2022-05,-884.78
2022-06,-2378.42
2022-07,1530.98
2022-08,-1080.44
2022-09,-95.88
2022-10,95.62
2022-11,-410.77
2022-12,56.87
2023-01,2291.4
2023-02,409.73
2023-03,2590.03
2023-04,695.31
2023-05,-1098.11
2023-06,1057.94
2023-07,-637.11
2023-08,196.96
2023-09,-340.24
2023-10,2629.54
2023-11,1803.27
2023-12,1413.08
2024-01,-738.42
2024-02,7218.51
2024-03,3784.04
2024-04,-4376.14
2024-05,3391.57
2024-06,-1742.59
2024-07,2267.42
2024-08,-2052.36
2024-09,2241.8
2024-10,3085.69
2024-11,9195.07
2024-12,-3407.49
2025-01,1040.55
2025-02,-3948.68
2025-03,-2199.47
2025-04,2567.04
2025-05,3745.6
2025-06,-796.62
2025-07,3333.41
2025-08,-3518.57
2025-09,1110.58
2025-10,2435.37
2025-11,-8687.22
2025-12,-1153.26
2026-01,-3643.75
2026-02,-3407.71
2026-03,-548.17
2026-04,471.69
