month,pnl_usdt
2021-01,11.22
2021-02,4432.37
2021-03,334.09
2021-04,460.39
2021-05,-1137.52
2021-06,-991.53
2021-07,3152.12
2021-08,786.78
2021-09,-928.15
2021-10,2345.01
2021-11,282.96
2021-12,-786.34
2022-02,-102.76
2022-03,1104.35
2022-04,-1003.25
2022-07,1148.05
2022-08,-1300.28
2022-09,-1543.76
2022-10,-545.68
2022-11,-150.18
2022-12,-21.77
2023-01,4681.8
2023-02,1341.89
2023-03,4423.62
2023-04,-465.36
2023-05,-601.27
2023-06,3020.14
2023-07,-1243.65
2023-08,-2170.02
2023-09,-517.55
2023-10,5801.37
2023-11,-2519.5
2023-12,1595.71
2024-01,-716.49
2024-02,7990.65
2024-03,7355.65
2024-04,-2686.44
2024-05,-1355.24
2024-06,-161.99
2024-07,1515.27
2024-08,922.32
2024-09,1469.44
2024-10,2785.72
2024-11,10459.65
2024-12,-656.32
2025-01,1388.81
2025-02,-1890.46
2025-03,-6224.72
2025-04,1551.25
2025-05,2262.75
2025-06,879.45
2025-07,726.02
2025-08,-1253.61
2025-09,915.09
2025-10,2443.54
2025-12,-1670.46
2026-01,758.21
2026-03,-4410.76
