month,pnl_usdt
2021-01,378.22
2021-02,883.15
2021-03,537.52
2021-04,373.53
2021-05,-1316.01
2021-06,-678.64
2021-07,542.69
2021-08,318.53
2021-09,376.38
2021-10,2389.48
2021-11,-361.08
2021-12,-65.01
2022-02,829.79
2022-03,1029.91
2022-04,-761.4
2022-07,-1088.23
2022-08,-1029.8
2022-09,-328.44
2022-10,-175.65
2022-11,161.8
2022-12,-12.94
2023-01,3177.69
2023-02,38.41
2023-03,-1202.11
2023-04,-385.67
2023-05,-741.06
2023-06,439.37
2023-07,-1349.23
2023-08,-314.6
2023-09,-380.64
2023-10,2082.98
2023-11,-359.06
2023-12,762.06
2024-01,-831.22
2024-02,3211.97
2024-03,428.47
2024-04,-1009.22
2024-05,-112.71
2024-06,-650.7
2024-07,-37.17
2024-08,12.53
2024-09,-8.62
2024-10,1298.53
2024-11,4575.05
2024-12,258.32
2025-01,-792.53
2025-02,-318.92
2025-03,-1002.98
2025-04,-468.86
2025-05,313.5
2025-06,-88.33
2025-07,457.99
2025-08,-606.51
2025-09,-490.4
2025-10,575.11
2025-12,-106.14
2026-01,804.12
2026-03,-1217.85
