"id","strategy_name","symbol","exchange","type","entry_price","exit_price","qty","fee","size","PNL","PNL_percentage","holding_period","opened_at","closed_at"
"6e9ad02d-6c40-4e84-9001-347cab18d3f4","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","29448.4","31616.51","0.3225981717173089","3.939885664416403","9500.0","695.4884364175973","7.3209309096589195","129600.0","1609466400000.0","1609596000000.0"
"164c534a-7d2a-454a-a45e-fb06f63ce7f2","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","31616.51","34472.24","0.32137367516518167","4.247836894914579","10160.714014596717","913.5086084845495","8.990594629198478","64800.0","1609596000000.0","1609660800000.0"
"c7c2de1a-1593-48b9-9dc5-d75732ba1631","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","34472.24","31179.96","0.3199254586489604","4.2007620392626555","11028.547192657037","-1057.4849510400616","-9.588615187176694","93600.0","1609660800000.0","1609754400000.0"
"d70cc262-5e71-4aa9-8147-4b17cf20bcd7","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","35069.72","39049.99","0.2858288144065302","4.237109766691168","10023.93648916898","1133.4387453511877","11.307321695183184","122400.0","1609912800000.0","1610035200000.0"
"eda1c7cc-8890-4d01-a0c7-3d2d32428ae0","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","39049.99","39837.77","0.28426904327639035","4.4850696122835","11100.70329725261","219.45639729999095","1.9769593999896","252000.0","1610035200000.0","1610287200000.0"
"f6817080-b7e5-44c9-9f49-3ee015c146e8","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","38240.0","35691.31","0.2957423345891109","4.372923643726256","11309.186874687603","-758.128454387648","-6.703651312761512","115200.0","1610611200000.0","1610726400000.0"
"490128cb-1665-40ed-9f28-c66ec3411768","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","34564.99","31520.68","0.30634942590810343","4.049061413050475","10588.964843019336","-936.6716821993481","-8.845734177848735","50400.0","1611583200000.0","1611633600000.0"
"158b1810-e83f-4fe5-94e4-268a65b22b99","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","33399.75","38303.49","0.2903951899319592","4.164455199707371","9699.126744929954","1419.8580534772375","14.639029789145122","50400.0","1611878400000.0","1611928800000.0"
"eafc707a-375e-4a87-8c02-ef78090a9993","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","38303.49","33299.99","0.28843303562503914","4.130561819543355","11047.99189573333","-1447.3052555694267","-13.10016579690258","50400.0","1611928800000.0","1611979200000.0"
"bea469f7-e421-49d5-8895-9fb86741edc9","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","33534.15","33788.49","0.28845376736677014","3.8838938274153634","9673.051902942376","69.48143736464795","0.7182990235327166","86400.0","1611986400000.0","1612072800000.0"
"7c6457a1-e6f5-4424-997c-6958fef776d8","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","35399.51","37652.51","0.2751184767370732","4.019592092993242","9739.05926843879","615.8223359956327","6.323221976801374","136800.0","1612260000000.0","1612396800000.0"
"43459a0b-436f-4ffd-88eb-d3d501714766","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","37652.51","39957.35","0.27419395115052464","4.256030832327811","10324.090487634641","627.7171555374464","6.080120629408229","208800.0","1612396800000.0","1612605600000.0"
"5f7f2643-9e71-4522-98b9-58472e81924a","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","39957.35","37965.79","0.2733019528420983","4.259309266717645","10920.421785395216","-548.5565464689263","-5.023217575740127","108000.0","1612605600000.0","1612713600000.0"
"ad491dd2-7b4b-4d68-8f77-82ceb23c7c61","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","43078.22","47612.4","0.2414048924549282","4.378631873554152","10399.293066249737","1090.1946033977322","10.483353016907385","64800.0","1612792800000.0","1612857600000.0"
"8567edd9-83bd-44b1-aff6-6719f65b5d3b","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","47612.4","45039.08","0.2401680641907902","4.4503853192023435","11434.97793947758","-622.4796682626466","-5.443645554519411","136800.0","1612857600000.0","1612994400000.0"
"5d5a9450-ae95-4106-924a-81cdb9765b9a","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","46146.33","46656.62","0.234983415899554","4.361430839311103","10843.622254628066","115.54825646007251","1.0655872525507464","172800.0","1613044800000.0","1613217600000.0"
"d77d67af-1ca7-4e40-b4db-4c5c29dced07","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","47569.21","46762.189999999995","0.23026224522679975","4.344191991877468","10953.393098265135","-190.17042913481035","-1.7361782547996993","100800.0","1613268000000.0","1613368800000.0"
"5b96782b-85e9-4444-aac5-d45307e6d095","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","48638.74","52250.27","0.22148458596145926","4.469072121582304","10772.731190587067","795.4291546158064","7.383727863838575","180000.0","1613412000000.0","1613592000000.0"
"9b9b94d4-8568-413c-b30e-d5dc3dba6eb5","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","52250.27","54884.0","0.22063788163146492","4.727575676586681","11528.388887472081","576.3730323126522","4.999597410692813","165600.0","1613592000000.0","1613757600000.0"
"fe1c001a-ce46-4589-be5a-b8abe1ec9596","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","54884.0","58181.35","0.22002666110649918","4.975478289467544","12075.943268169101","720.5294327100472","5.9666513555863245","180000.0","1613757600000.0","1613937600000.0"
"74ed4c69-b5be-45e8-9038-57be33023a59","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","58181.35","54853.08000000001","0.2193219344213162","4.958185968762172","12760.446229243646","-734.920800645194","-5.7593659927107055","50400.0","1613937600000.0","1613988000000.0"
"8b191897-626c-4e49-8f9b-25e32148a734","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","49184.51","49350.45","0.2452453316833025","4.833047789520188","12062.27146863071","35.86296255000582","0.29731516690924653","244800.0","1614614400000.0","1614859200000.0"
"d80a87ea-5f24-49dd-a755-9b78868b045e","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","50084.61","53638.46","0.24151812868370576","5.0102003535458035","12096.341283053216","853.3090012690416","7.05427353033197","151200.0","1615104000000.0","1615255200000.0"
"440d8975-01f9-4ff7-9122-6331f870f333","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","53638.46","56933.32","0.24062929536490807","5.321361901728727","12906.984834258807","787.5184782242924","6.101490691567209","144000.0","1615255200000.0","1615399200000.0"
"bf323374-1672-4de7-9821-a233f8aff259","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","56933.32","60364.27","0.23984421404850242","5.626629656666696","13655.127388571884","817.2668765330419","5.985054941464852","259200.0","1615399200000.0","1615658400000.0"
"3df8d43d-1deb-4008-8cae-f85019ec0f1f","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","60364.27","57830.61","0.2390740569094644","5.651465893505463","14431.530921278274","-611.3838409227382","-4.236444797559876","136800.0","1615658400000.0","1615795200000.0"
"d23c09ee-7dc2-4365-b85a-67124ebdf1e6","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","58466.22","57813.98","0.23690117596796362","5.509383224358001","13850.716272401674","-160.0258062377021","-1.155361232520245","280800.0","1616018400000.0","1616299200000.0"
"8e67ec3b-78ec-41ab-9197-42ac56036b37","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","55189.53","55076.33","0.24821178503378916","5.4738571877771784","13698.691756475857","-33.57143125360139","-0.2450703457702885","172800.0","1616824800000.0","1616997600000.0"
"852da6c9-5d5c-4314-bd74-09044a8d4a27","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","55949.99","58948.27","0.24426812045515892","5.613196402753633","13666.798896784936","726.77102379554","5.317785307915156","93600.0","1617004800000.0","1617098400000.0"
"042a4489-9156-4354-878d-a3671388f17f","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","58948.27","58295.31","0.24355644990753247","5.711086023849955","14357.231369390698","-164.74370555547216","-1.1474615217715451","374400.0","1617098400000.0","1617472800000.0"
"f3209038-c82c-439a-b388-5539f1c4f523","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","59098.01","58308.68","0.2402910833903375","5.6423561474747","14200.724849113","-195.31131699997024","-1.3753616035463831","93600.0","1617638400000.0","1617732000000.0"
"228e2623-4df9-4ae2-af1e-37611bf0fab5","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","59286.01","63050.43","0.23639943214196785","5.7840529892539845","14015.179097963028","884.1226973546122","6.308322506439542","280800.0","1618027200000.0","1618308000000.0"
"939a1dad-7080-4deb-bde2-796069b43007","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","63050.43","62461.25","0.23560657176247504","5.9142753281897615","14855.09566044991","-144.72895527920488","-0.9742714458886328","180000.0","1618308000000.0","1618488000000.0"
"5afd2211-19f7-4a45-96fb-5b62eb53396d","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","63469.69","61902.25","0.23188396150878732","5.814348421848399","14717.603152934664","-369.2785450491826","-2.5090943220299367","36000.0","1618516800000.0","1618552800000.0"
"22c85125-7ae5-4a23-a0e6-e05b4982e588","SupertrendStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","55144.07","53894.88","0.26053188557061424","5.681624648827986","14366.788535137941","-331.1354507847842","-2.3048675768763576","151200.0","1619524800000.0","1619676000000.0"
