"id","strategy_name","symbol","exchange","type","entry_price","exit_price","qty","fee","size","PNL","PNL_percentage","holding_period","opened_at","closed_at"
"91458ed1-7521-4461-a3e8-11171a6b5f24","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","6844.8","9285.15","0.13879149135109864","1.2312848987552596","950.0","337.46853101989825","35.52300326525245","2160000.0","1586689260000.0","1588849260000.0"
"ba9ec684-f29d-43c1-81ff-576b37aff5a7","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","9285.15","11231.87","0.1368416347036831","1.5441704058264882","1270.5951044689032","264.84817670452765","20.84441973473774","7344000.0","1588849260000.0","1596193260000.0"
"071c8f89-13d4-465e-b119-45e994f90124","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","11231.87","10406.49","0.1355251505170737","1.6128980977684448","1522.2008723382046","-113.47264683155088","-7.454512009131169","4752000.0","1596193260000.0","1600945260000.0"
"69ab4add-8436-4eb3-9287-9283d3522885","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","10406.49","10593.65","0.13591536222571024","1.5698328991898447","1414.4018578482314","-27.00775209335375","-1.9094822269564458","1080000.0","1600945260000.0","1602025260000.0"
"d2009d4d-c3cc-47de-a266-0bf2dba0c9e7","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","10593.65","12796.07","0.13109216307500673","1.6864149436853104","1388.744493359545","287.03358685597107","20.668567056680185","1296000.0","1602025260000.0","1603321260000.0"
"b639f051-832e-4dae-b581-7bbd6d7ce933","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","12796.07","15598.75","0.12983880213789994","2.0277121786467065","1661.4264008727173","361.86890179720274","21.780615837518866","1296000.0","1603321260000.0","1604617260000.0"
"22a47654-5b9e-4ea9-85c5-c9b6312ab531","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","15598.75","19720.0","0.12854888100521258","2.4971021850515687","2005.2018575800598","527.2849736576809","26.29585503646126","2160000.0","1604617260000.0","1606777260000.0"
"05629ead-9add-4d77-a878-ffb2d4638f65","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","19720.0","24730.0","0.1270853236589684","3.10691845015263","2506.122582554857","633.590553081279","25.28170638945233","2160000.0","1606777260000.0","1608937260000.0"
"792078c9-e1fb-42f1-99a3-ae8a37db7fe7","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","24730.0","32031.07","0.1256786739984663","3.923510806783769","3108.0336079820718","913.6652855631986","29.396892080469065","864000.0","1608937260000.0","1609801260000.0"
"32440344-bf1e-4fc6-9af5-3be87f8283bd","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","32031.07","46451.32","0.12412996597575761","5.358109020217878","3976.0156292671104","1784.6270328417008","44.884809297660055","3024000.0","1609801260000.0","1612825260000.0"
"4ddacfe3-42c8-4242-90fe-2ea60b984d38","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","46451.32","63019.1","0.12209365224641035","7.351103864911667","5671.411310466726","2015.4696659501205","35.53735667576293","5616000.0","1612825260000.0","1618441260000.0"
"0074af76-d708-4bd3-a7de-6deb1ce82ab6","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","63019.1","50092.4","0.12037790912785712","7.488869227573586","7586.107493119341","-1563.5779871506438","-20.611070810278147","864000.0","1618441260000.0","1619305260000.0"
"2eec68df-0144-4536-95ac-4d53294ef144","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","50092.4","32513.16","0.12178910184631259","5.533251327951428","6100.708405326229","2135.426599412821","35.002928472183406","4968000.0","1619305260000.0","1624273260000.0"
"8ddc4258-9c62-414f-9ecd-7504f097ffda","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","32513.16","40003.08","0.2500330227750366","9.972300078114012","8129.363674768409","-1882.6996380213163","-23.159249768401473","3240000.0","1624273260000.0","1627513260000.0"
"5a4f847f-8047-45f6-bc0a-e15717da7652","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","40003.08","52683.97","0.15850777036788558","8.080389700612201","6340.799018648157","2001.9392104798042","31.57234923535887","3456000.0","1627513260000.0","1630969260000.0"
"f7ca35a4-e896-4af8-bfdf-83ccad5ccb2f","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","52683.97000000001","41510.06","0.15645444465563188","8.105391059439262","8242.641268603971","-1756.3132747414525","-21.307651485831475","1512000.0","1630969260000.0","1632481260000.0"
"034a377f-31ad-406c-914a-fb5ef8566906","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","41510.06","57500.01000000001","0.15837470862724823","8.624380043077398","6574.143657599591","-2541.028052257347","-38.65184858441547","1512000.0","1632481260000.0","1633993260000.0"
"84ac1493-44c1-4807-acd5-f7cef262a463","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","57500.009999999995","54540.07","0.07235071799039884","4.45839912743595","4160.167007955113","-218.61218333593672","-5.2548895974104965","4104000.0","1633993260000.0","1638097260000.0"
"110afc0c-b8fa-423f-bcaf-d2fbe43e714c","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","54540.07","42656.61","0.0724693868890519","3.8740810939882557","3952.485433785973","857.3129792265844","21.690477892675972","4320000.0","1638097260000.0","1642417260000.0"
"948f51e0-f408-477e-8509-e000cd0d8a8f","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","42656.61","39966.8","0.11175132679439898","5.078301630477688","4766.932764051227","295.51153469436434","6.199196618062236","2808000.0","1642417260000.0","1645225260000.0"
"b26d7297-d7c6-4317-90e9-c50912e86fc2","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","39966.8","39433.4","0.12629654418194283","5.515383977045304","5047.668722010873","-72.88196064369379","-1.4438736901628386","5616000.0","1645225260000.0","1650841260000.0"
"f5052719-b90c-4dc8-b550-09221413c0de","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","39433.4","28460.5","0.1262490898426046","4.714348694475647","4978.430859399365","1380.6042892394407","27.731715639534006","1512000.0","1650841260000.0","1652353260000.0"
"1d8b1709-e3cd-4828-89b7-63f0d3f0626c","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","28460.5","19180.0","0.22100823717702897","5.790918607777737","6290.004934176833","2045.2760265136399","32.51628651991357","4320000.0","1652353260000.0","1656673260000.0"
"9226c053-47b4-4dd8-a76c-23a3724b32ec","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","19180.0","23788.4","0.4292501125841914","10.144304795659412","8233.01715936479","-1988.3005236286474","-24.150326485922843","2592000.0","1656673260000.0","1659265260000.0"
"98dcf0ec-15a4-44e8-8838-0d614c10ff57","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","23788.4","19843.0","0.2666901372903422","6.3998352308934106","6344.131661917577","-1058.5991028962098","-16.68627259504633","3024000.0","1659265260000.0","1662289260000.0"
"c8226ecc-4f0a-4287-a2a2-2e09b67242a8","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","19843.0","20758.3","0.26903505085754054","6.007745045710244","5338.462514166177","-252.25552709561688","-4.725246762082342","4536000.0","1662289260000.0","1666825260000.0"
"79530a75-c3a7-43dd-9dd0-c472b58862d9","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","20758.3","16744.0","0.24562800245806937","5.06638827012079","5098.819763425341","-991.0908785375485","-19.437652722043712","1944000.0","1666825260000.0","1668769260000.0"
"202a5a39-c56a-4262-ae6a-0dccea6afd30","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","16744.0","16728.5","0.2482849634982483","4.570895142382314","4157.28342881467","-0.7224782081594654","-0.017378613234591497","3888000.0","1668769260000.0","1672657260000.0"
"f0f02681-5e31-402e-a04e-87433c7b9f61","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","16728.5","20962.8","0.24847398598301812","5.150919151334952","4156.597074516919","1046.9624796965586","25.18797133634217","1080000.0","1672657260000.0","1673737260000.0"
"726b367c-53d5-436d-9c22-c69457fd47af","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","20962.8","22092.6","0.24573107744331146","5.819027407464014","5151.211430228649","271.8079438879891","5.276582946934567","4968000.0","1673737260000.0","1678705260000.0"
"43a0a589-5b06-422c-a643-6b56572822a0","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","22092.6","27440.0","0.2448525287617681","6.670500301379835","5409.428976922238","-1315.994912602059","-24.327797226220554","432000.0","1678705260000.0","1679137260000.0"
"6432d42b-0367-404e-8ffb-8b5d8dcad3af","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","27440.0","26901.9","0.15157557616436884","4.530297641301583","4159.233809950281","-86.09311517534825","-2.0699272776967876","4968000.0","1679137260000.0","1684105260000.0"
"1c4e8f45-3a7f-48c0-8b89-3689b37bb5d4","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","26901.9","30673.4","0.15156718858272833","4.799589494043937","4077.4453505336996","-576.4352412338038","-14.137166575595032","3456000.0","1684105260000.0","1687561260000.0"
"96a1020c-7d9d-4a0f-9511-4b939a977e87","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","30673.4","29420.7","0.11507794608232494","3.803528079816214","3529.831871361586","-147.96167113714475","-4.191748404154742","4320000.0","1687561260000.0","1691881260000.0"
"87c7d38d-8e10-408f-80b8-0d8c4df6bc6e","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","29420.7","25150.4","0.11520012385093822","3.4576286132750647","3389.268283781298","488.48146026738635","14.41259349709558","2592000.0","1691881260000.0","1694473260000.0"
"8305a8f7-5e40-4c81-942e-a5aadeb95454","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","25150.4","27981.399999999998","0.15321130761480195","4.477215904660474","3853.3256710353153","-438.2184277621642","-11.372473161460636","1728000.0","1694473260000.0","1696201260000.0"
"6a153a0f-1433-4acc-82da-1d3ffad29ac8","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","27981.4","34550.0","0.12283224444313934","4.224479715594448","3437.018164661259","802.6114011336103","23.351968557684742","1944000.0","1696201260000.0","1698145260000.0"
"c544e196-5b1c-4972-960a-dba55c2b6ad9","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","34550.0","44081.7","0.1215484513961849","5.256658751107166","4199.498995738189","1153.3067154219082","27.46295966714905","3672000.0","1698145260000.0","1701817260000.0"
"62c552c0-978b-4d51-8a8d-bb711f0dd52f","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","44081.7","40809.4","0.12012105647896978","5.60846473971403","5295.140375389002","-398.6805978558463","-7.529179013059832","4104000.0","1701817260000.0","1705921260000.0"
"71bc2958-3c9d-4056-b909-ac036d77c078","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","40809.4","49696.4","0.12047209239601529","5.996882704986405","4916.393807425947","-1076.6323678283743","-21.898822795728435","1944000.0","1705921260000.0","1707865260000.0"
"fff30b31-62c8-40f1-a076-8b177da769d6","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","49696.4","62487.899999999994","0.07834758771236933","4.834153106310415","3893.593057988991","997.3490151164613","25.615132353651354","1296000.0","1707865260000.0","1709161260000.0"
"ddd73ffe-6d61-4796-9c51-d0a408849959","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","62487.9","63445.00000000001","0.07747219257407642","5.365963834116551","4841.07462234963","68.78267167853244","1.4208141176131792","4320000.0","1709161260000.0","1713481260000.0"
"d174f9f6-419f-4803-97c3-e8fa77b178d2","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","63445.00000000001","69160.3","0.07733340941672684","5.640150975650339","4906.418160444235","-447.6237858150689","-9.123229434943644","3240000.0","1713481260000.0","1716721260000.0"
"aba84256-c2cd-4903-8230-4097a387bdb5","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","long","69160.3","61682.0","0.06479404461692499","4.6627910031895965","4481.175563919917","-489.21209486193993","-10.917048169253174","2808000.0","1716721260000.0","1719529260000.0"
"5d0760a2-c529-4848-8c5b-13a89392a489","MomentumMAStrategy","BTC-USDT","Bybit Perpetual","short","61682.0","66532.5","0.06511501043742217","4.591778678150876","4016.4240738010744","-320.4321368048671","-7.978045418436497","2808000.0","1719529260000.0","1722337260000.0"
