"id","strategy_name","symbol","exchange","type","entry_price","exit_price","qty","fee","size","PNL","PNL_percentage","holding_period","opened_at","closed_at"
"dd580ea5-9a57-4828-838a-dec151fb9e59","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","55321.6","56975.0","0.17172316057380843","10.606159890531005","9500.0","273.32091380220413","2.877062250549517","4752000.0","1633561260000.0","1638313260000.0"
"f3650e59-c5a7-4b0b-9ea0-3312a0d78887","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","27440.0","26626.5","0.3556725535026274","10.576483562672394","9759.654868112095","-299.9161058370597","-3.0730195881924196","5184000.0","1679137260000.0","1684321260000.0"
"37c173ea-bc8e-4a71-9b2c-bd8e1bf00fcb","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","30673.4","26609.7","0.3088909141981941","9.731826019908617","9474.734567566888","-1264.9718340471102","-13.351000231470916","4752000.0","1687561260000.0","1692313260000.0"
"6a8d2d0c-3e52-4f88-9c50-8e04a53d1d74","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","29895.399999999998","35025.5","0.27673191612161513","9.88112677933687","8273.011325222133","1409.7812761161615","17.040727018203476","1296000.0","1697929260000.0","1699225260000.0"
"6446ab96-c516-4b67-8261-bed3b8ac01e3","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","35025.5","44081.7","0.2744372967561487","11.940481367071403","9612.303537532485","2473.4185655159617","25.731798375469296","2592000.0","1699225260000.0","1701817260000.0"
"972ac729-e9e7-4048-844b-d53b9ecd9f8e","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","44081.7","52241.1","0.27136093151517865","14.376034603782639","11962.05117477265","2199.7663500011668","18.389541374311797","6264000.0","1701817260000.0","1708081260000.0"
"dba59bf5-0bb1-4eef-b131-03b06e5e7f59","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","52241.1","62487.9","0.26898034703085805","16.972915428976826","14051.829207273759","2739.21490452682","19.49365356012795","1080000.0","1708081260000.0","1709161260000.0"
"c06fa12f-190d-4d09-8c14-a800e2776908","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","62487.90000000001","57862.1","0.26651693154313455","17.641421991168937","16654.08336657424","-1250.4954439234034","-7.508641673027913","5400000.0","1709161260000.0","1714561260000.0"
"ca499713-3b7b-40cd-b4c6-bcc63feae90e","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","74776.9","90743.4","0.20683008649525467","18.829017881146275","15466.112694847008","3283.5235581453376","21.23043859132968","864000.0","1730977260000.0","1731841260000.0"
"1edce0bf-b4e4-42df-8946-700558b22b53","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","90743.4","95743.2","0.20481335364428793","21.007220275646475","18585.460075085077","1003.0185852750649","5.396791799734198","7992000.0","1731841260000.0","1739833260000.0"
"630a536f-6bc0-4a1c-a15e-85b2f221f777","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","107136.3","110047.79999999999","0.18236888646608468","21.784192361326333","19538.32773109639","509.18282058467656","2.6060716535851856","5616000.0","1750849260000.0","1756465260000.0"
"f9364824-0f5f-405e-9872-058db2e1b069","SupertrendTrendTypeStrategy_LongOnly","BTC-USDT","Bybit Perpetual","long","123426.70000000001","107151.0","0.1622181538569194","20.572138848016035","20022.051410651835","-2660.786145577081","-13.289278361164975","1080000.0","1759705260000.0","1760785260000.0"
