"id","strategy_name","symbol","exchange","type","entry_price","exit_price","qty","fee","size","PNL","PNL_percentage","holding_period","opened_at","closed_at"
"dc81d5a7-c5bd-4d09-bf38-d90388e4c1c9","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","long","55030.0","36689.14","0.17263310921315647","3.1667520625113577","9500.0","-3169.4064395057244","-33.362173047428676","4665600.0","1616803200000.0","1621468800000.0"
"42b0b643-0b3d-4c61-ac56-07a51c706f77","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","38344.97","31866.43","0.16922855546554247","2.3763547598426777","6489.0638824695625","1093.977610965893","16.858789353597096","2505600.0","1623888000000.0","1626393600000.0"
"05dafa2a-26f2-47ee-82de-ed6863a0432e","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","long","60622.03","47539.76","0.12418493100424319","2.686412885689088","7528.342612887161","-1627.3072102145693","-21.615743250432224","3628800.0","1635465600000.0","1639094400000.0"
"c01acb6c-9253-44c9-84b9-4e367de2546c","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","47522.03","40661.69","0.1258868942085033","2.2202349261104555","5982.40076318332","861.4066608882525","14.399012954623352","1987200.0","1640736000000.0","1642723200000.0"
"c2ae8d3d-24aa-4fab-bf9f-39730efc0e63","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","29796.9","22471.5","0.22823639677373014","2.3859102562256074","6800.73709102716","1669.5369906700575","24.549353523353105","1036800.0","1654128000000.0","1655164800000.0"
"0c1a2115-9f31-49c3-a4ab-74b6a8c32fe2","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","20853.8","24387.5","0.40217117418234155","3.638949348507114","8386.797232163713","-1424.7912275566478","-16.988502143494237","2851200.0","1657497600000.0","1660348800000.0"
"aab16733-c00a-485c-b5c2-2352070d061d","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","long","21352.0","19055.0","0.3293951651360481","2.661974087530459","7033.245565984899","-759.282668405033","-10.795622892469089","2764800.0","1662768000000.0","1665532800000.0"
"5dfe8461-df67-44b4-b4f8-6f4d97c60dac","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","19318.1","21289.9","0.326736430135475","2.653622590988274","6311.927031000119","-646.9125155321187","-10.249049337150149","1036800.0","1666656000000.0","1667692800000.0"
"cf8798e1-52d8-440b-990e-f1f368deb9a4","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","16958.3","18838.0","0.3359629291405746","2.40524596007895","5697.360141244606","-633.9147638656171","-11.126464681011662","3283200.0","1670284800000.0","1673568000000.0"
"7f255aeb-8dfc-42e1-91b1-636a19bb1786","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","long","22187.4","27384.0","0.22964119795795224","2.276727136090567","5095.14111557227","1191.0767221722037","23.37671705562616","2678400.0","1676419200000.0","1679097600000.0"
"ad77b99b-13a2-42c4-b92b-18a491cfb928","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","27201.1","30673.400000000005","0.22891221316916832","2.6496359762118065","6226.664001635864","-797.5015137635165","-12.807845638595525","1987200.0","1685577600000.0","1687564800000.0"
"7d7f6d60-3d23-4f6f-a9c6-ef7a21d19618","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","long","30269.3","26609.7","0.18067935378619668","2.0553721928010162","5469.037563560523","-663.2695353087661","-12.127719504580543","3456000.0","1688860800000.0","1692316800000.0"
"f59f70ce-765d-45e8-bfd8-c98c70eef58d","TradeIQ220323Strategy","BTC-USDT","Bybit Perpetual","short","25928.0","27981.400000000005","0.18662957054216278","2.0122176340371345","4838.931505017196","-385.2373777853152","-7.961207497685921","2678400.0","1693526400000.0","1696204800000.0"
